Requirement ID,Independent source,Expected exact location,Effective location,Invalid anchors,Match
KBDL-A11Y-001,accessibility.md authoritative block,accessibility.md#6-text-alternatives,accessibility.md#6-text-alternatives,None,True
KBDL-A11Y-002,accessibility.md authoritative block,accessibility.md#7-captions-transcripts-and-audio-description,accessibility.md#7-captions-transcripts-and-audio-description,None,True
KBDL-A11Y-003,accessibility.md authoritative block,accessibility.md#8-semantic-structure-and-relationships,accessibility.md#8-semantic-structure-and-relationships,None,True
KBDL-A11Y-004,accessibility.md authoritative block,accessibility.md#9-landmark-and-heading-architecture,accessibility.md#9-landmark-and-heading-architecture,None,True
KBDL-A11Y-005,accessibility.md authoritative block,accessibility.md#10-reading-and-focus-order; responsive.md#12-source-order-and-reading-order,accessibility.md#10-reading-and-focus-order; responsive.md#12-source-order-and-reading-order,None,True
KBDL-A11Y-006,accessibility.md authoritative block,accessibility.md#11-color-independent-communication,accessibility.md#11-color-independent-communication,None,True
KBDL-A11Y-007,accessibility.md authoritative block,accessibility.md#12-text-contrast,accessibility.md#12-text-contrast,None,True
KBDL-A11Y-008,accessibility.md authoritative block,accessibility.md#13-non-text-contrast,accessibility.md#13-non-text-contrast,None,True
KBDL-A11Y-009,accessibility.md authoritative block,accessibility.md#14-focus-visibility,accessibility.md#14-focus-visibility,None,True
KBDL-A11Y-010,accessibility.md authoritative block,accessibility.md#15-focus-not-obscured; responsive.md#18-sticky-and-fixed-regions,accessibility.md#15-focus-not-obscured; responsive.md#18-sticky-and-fixed-regions,None,True
KBDL-A11Y-011,accessibility.md authoritative block,accessibility.md#16-light-dark-forced-colors-and-high-contrast-behavior,accessibility.md#16-light-dark-forced-colors-and-high-contrast-behavior,None,True
KBDL-A11Y-012,accessibility.md authoritative block,accessibility.md#17-resize-text,accessibility.md#17-resize-text,None,True
KBDL-A11Y-013,accessibility.md authoritative block,accessibility.md#18-reflow,accessibility.md#18-reflow,None,True
KBDL-A11Y-014,accessibility.md authoritative block,accessibility.md#19-text-spacing-overrides,accessibility.md#19-text-spacing-overrides,None,True
KBDL-A11Y-015,accessibility.md authoritative block,accessibility.md#20-orientation; responsive.md#20-orientation-changes,accessibility.md#20-orientation; responsive.md#20-orientation-changes,None,True
KBDL-A11Y-016,accessibility.md authoritative block,accessibility.md#21-keyboard-operability,accessibility.md#21-keyboard-operability,None,True
KBDL-A11Y-017,accessibility.md authoritative block,accessibility.md#22-keyboard-traps-and-escape-behavior,accessibility.md#22-keyboard-traps-and-escape-behavior,None,True
KBDL-A11Y-018,accessibility.md authoritative block,accessibility.md#23-bypass-mechanisms,accessibility.md#23-bypass-mechanisms,None,True
KBDL-A11Y-019,accessibility.md authoritative block,accessibility.md#24-pointer-and-touch-behavior,accessibility.md#24-pointer-and-touch-behavior,None,True
KBDL-A11Y-020,accessibility.md authoritative block,accessibility.md#25-target-sizing-and-spacing,accessibility.md#25-target-sizing-and-spacing,None,True
KBDL-A11Y-021,accessibility.md authoritative block,accessibility.md#25-target-sizing-and-spacing; accessibility.md#49-accessibility-decision-packet,accessibility.md#25-target-sizing-and-spacing; accessibility.md#49-accessibility-decision-packet,None,True
KBDL-A11Y-022,accessibility.md authoritative block,accessibility.md#26-pointer-cancellation,accessibility.md#26-pointer-cancellation,None,True
KBDL-A11Y-023,accessibility.md authoritative block,accessibility.md#27-dragging-and-gesture-alternatives,accessibility.md#27-dragging-and-gesture-alternatives,None,True
KBDL-A11Y-024,accessibility.md authoritative block,accessibility.md#28-motion-actuation-alternatives,accessibility.md#28-motion-actuation-alternatives,None,True
KBDL-A11Y-025,accessibility.md authoritative block,accessibility.md#29-reduced-motion-and-no-motion-parity,accessibility.md#29-reduced-motion-and-no-motion-parity,None,True
KBDL-A11Y-026,accessibility.md authoritative block,accessibility.md#30-flashing-vestibular-and-motion-safety-limits,accessibility.md#30-flashing-vestibular-and-motion-safety-limits,None,True
KBDL-A11Y-027,accessibility.md authoritative block,accessibility.md#31-timing-automatic-movement-and-interruptions,accessibility.md#31-timing-automatic-movement-and-interruptions,None,True
KBDL-A11Y-028,accessibility.md authoritative block,accessibility.md#32-forms-labels-instructions-and-autocomplete,accessibility.md#32-forms-labels-instructions-and-autocomplete,None,True
KBDL-A11Y-029,accessibility.md authoritative block,accessibility.md#33-error-identification-and-recovery,accessibility.md#33-error-identification-and-recovery,None,True
KBDL-A11Y-030,accessibility.md authoritative block,accessibility.md#34-error-prevention-for-consequential-actions,accessibility.md#34-error-prevention-for-consequential-actions,None,True
KBDL-A11Y-031,accessibility.md authoritative block,accessibility.md#35-status-messages-and-live-communication,accessibility.md#35-status-messages-and-live-communication,None,True
KBDL-A11Y-032,accessibility.md authoritative block,accessibility.md#36-authentication-accessibility,accessibility.md#36-authentication-accessibility,None,True
KBDL-A11Y-033,accessibility.md authoritative block,accessibility.md#37-plain-language-and-cognitive-accessibility,accessibility.md#37-plain-language-and-cognitive-accessibility,None,True
KBDL-A11Y-034,accessibility.md authoritative block,accessibility.md#38-consistent-navigation-identification-and-help,accessibility.md#38-consistent-navigation-identification-and-help,None,True
KBDL-A11Y-035,accessibility.md authoritative block,accessibility.md#39-screen-reader-behavior; accessibility.md#49-accessibility-decision-packet,accessibility.md#39-screen-reader-behavior; accessibility.md#49-accessibility-decision-packet,None,True
KBDL-A11Y-036,accessibility.md authoritative block,accessibility.md#40-media-and-animation-controls,accessibility.md#40-media-and-animation-controls,None,True
KBDL-A11Y-037,accessibility.md authoritative block,accessibility.md#41-accessible-data-presentation,accessibility.md#41-accessible-data-presentation,None,True
KBDL-A11Y-038,accessibility.md authoritative block,accessibility.md#42-mobile-accessibility,accessibility.md#42-mobile-accessibility,None,True
KBDL-A11Y-039,accessibility.md authoritative block,accessibility.md#43-virtual-keyboard-accessibility,accessibility.md#43-virtual-keyboard-accessibility,None,True
KBDL-A11Y-040,accessibility.md authoritative block,accessibility.md#44-profile-interpretation,accessibility.md#44-profile-interpretation,None,True
KBDL-CMP-001,components-core.md authoritative block,components-core.md#6-shared-component-contract; components-core.md#7-component-anatomy-model,components-core.md#6-shared-component-contract; components-core.md#7-component-anatomy-model,None,True
KBDL-CMP-002,components-core.md authoritative block,components-core.md#5-native-semantics-first-rule,components-core.md#5-native-semantics-first-rule,None,True
KBDL-CMP-003,components-core.md authoritative block,components-core.md#10-accessible-naming-and-description,components-core.md#10-accessible-naming-and-description,None,True
KBDL-CMP-004,components-core.md authoritative block,components-core.md#8-component-state-model; components-core.md#9-interaction-state-priority,components-core.md#8-component-state-model; components-core.md#9-interaction-state-priority,None,True
KBDL-CMP-005,components-core.md authoritative block,components-core.md#11-kbdl-008-scope-boundary,components-core.md#11-kbdl-008-scope-boundary,None,True
KBDL-CMP-006,components-core.md authoritative block,components-core.md#12-focus-behavior,components-core.md#12-focus-behavior,None,True
KBDL-CMP-007,components-core.md authoritative block,components-core.md#13-keyboard-interaction,components-core.md#13-keyboard-interaction,None,True
KBDL-CMP-008,components-core.md authoritative block,components-core.md#14-pointer-and-touch-interaction,components-core.md#14-pointer-and-touch-interaction,None,True
KBDL-CMP-009,components-core.md authoritative block,components-core.md#15-responsive-behavior,components-core.md#15-responsive-behavior,None,True
KBDL-CMP-010,components-core.md authoritative block,components-core.md#16-target-size-handling,components-core.md#16-target-size-handling,None,True
KBDL-CMP-011,components-core.md authoritative block,components-core.md#17-theme-and-contrast-behavior,components-core.md#17-theme-and-contrast-behavior,None,True
KBDL-CMP-012,components-core.md authoritative block,components-core.md#18-foundation-behavior,components-core.md#18-foundation-behavior,None,True
KBDL-CMP-013,components-core.md authoritative block,components-core.md#19-motion-behavior,components-core.md#19-motion-behavior,None,True
KBDL-CMP-014,components-core.md authoritative block,components-core.md#201-button,components-core.md#201-button,None,True
