Requirement ID,Lifecycle/readiness class,Ledger packet destination,Derived packet rows,Exact resolved source,Contingent,Deferred,Result
KBDL-A11Y-001,Approved,None — Approved,"[{""Document"": ""customization.md"", ""Line"": 316, ""Item numbers"": [], ""Row"": ""- Related requirements: `KBDL-GOV-002`, `KBDL-A11Y-001`–`040`. Applicable Profiles: all. Customization class: A–F.""}, {""Document"": ""traceability-matrix.md"", ""Line"": 799, ""Item numbers"": [], ""Row"": ""### WCAG 2.2 Level A/AA baseline requirements (KBDL-A11Y-001 through KBDL-A11Y-010, KBDL-A11Y-012 through KBDL-A11Y-020, KBDL-A11Y-022 through KBDL-A11Y-034, KBDL-A11Y-036 through KBDL-A11Y-040)""}, {""Document"": ""traceability-matrix.md"", ""Line"": 803, ""Item numbers"": [], ""Row"": ""- **Requirement ID:** KBDL-A11Y-001–010, 012–020, 022–034, 036–040 (37 requirements; excludes `KBDL-A11Y-011`, `021`, `035`, which are new KBDL enhancements listed separately below)""}, {""Document"": ""traceability-matrix.md"", ""Line"": 806, ""Item numbers"": [], ""Row"": ""- **Validation status:** Not verified: KBDL-A11Y-001, KBDL-A11Y-002, KBDL-A11Y-003, KBDL-A11Y-004, KBDL-A11Y-005, KBDL-A11Y-006, KBDL-A11Y-010, KBDL-A11Y-012, KBDL-A11Y-013, KBDL-A11Y-014, KBDL-A11Y-015, KBDL-A11Y-016, KBDL-A11Y-017, KBDL-A11Y-018, KBDL-A11Y-020, KBDL-A11Y-022, KBDL-A11Y-023, KBDL-A11Y-024, KBDL-A11Y-025, KBDL-A11Y-026, KBDL-A11Y-027, KBDL-A11Y-028, KBDL-A11Y-029, KBDL-A11Y-030, KBDL-A11Y-031, KBDL-A11Y-032, KBDL-A11Y-033, KBDL-A11Y-034, KBDL-A11Y-037, KBDL-A11Y-040; Verified: KBDL-A11Y-007, KBDL-A11Y-008, KBDL-A11Y-009; Not applicable: KBDL-A11Y-019, KBDL-A11Y-036, KBDL-A11Y-038, KBDL-A11Y-039""}, {""Document"": ""accessibility.md"", ""Line"": 119, ""Item numbers"": [], ""Row"": ""Status: `Approved` (`KBDL-A11Y-001`, directly restates WCAG 2.2 SC 1.1.1""}, {""Document"": ""accessibility.md"", ""Line"": 677, ""Item numbers"": [], ""Row"": ""- **KBDL-A11Y-001** — Non-decorative images/icons **must** have a text""}, {""Document"": ""accessibility.md"", ""Line"": 697, ""Item numbers"": [], ""Row"": ""- Related requirement: `KBDL-A11Y-001`.""}]",Explicit None permitted only for Approved,False,False,PASS
KBDL-A11Y-002,Approved,None — Approved,"[{""Document"": ""conventions.md"", ""Line"": 208, ""Item numbers"": [], ""Row"": ""plus the approving decision ID, e.g. \""exception to `KBDL-A11Y-002` approved""}, {""Document"": ""traceability-matrix.md"", ""Line"": 806, ""Item numbers"": [], ""Row"": ""- **Validation status:** Not verified: KBDL-A11Y-001, KBDL-A11Y-002, KBDL-A11Y-003, KBDL-A11Y-004, KBDL-A11Y-005, KBDL-A11Y-006, KBDL-A11Y-010, KBDL-A11Y-012, KBDL-A11Y-013, KBDL-A11Y-014, KBDL-A11Y-015, KBDL-A11Y-016, KBDL-A11Y-017, KBDL-A11Y-018, KBDL-A11Y-020, KBDL-A11Y-022, KBDL-A11Y-023, KBDL-A11Y-024, KBDL-A11Y-025, KBDL-A11Y-026, KBDL-A11Y-027, KBDL-A11Y-028, KBDL-A11Y-029, KBDL-A11Y-030, KBDL-A11Y-031, KBDL-A11Y-032, KBDL-A11Y-033, KBDL-A11Y-034, KBDL-A11Y-037, KBDL-A11Y-040; Verified: KBDL-A11Y-007, KBDL-A11Y-008, KBDL-A11Y-009; Not applicable: KBDL-A11Y-019, KBDL-A11Y-036, KBDL-A11Y-038, KBDL-A11Y-039""}, {""Document"": ""accessibility.md"", ""Line"": 132, ""Item numbers"": [], ""Row"": ""Status: `Approved` (`KBDL-A11Y-002`, restates WCAG 2.2 SC 1.2.x caption/""}, {""Document"": ""accessibility.md"", ""Line"": 691, ""Item numbers"": [], ""Row"": ""- **KBDL-A11Y-002** — Video with audio **must** provide captions;""}, {""Document"": ""components-system.md"", ""Line"": 299, ""Item numbers"": [], ""Row"": ""- Related requirement: `KBDL-A11Y-002` (semantic structure).""}]",Explicit None permitted only for Approved,False,False,PASS
KBDL-A11Y-003,Approved,None — Approved,"[{""Document"": ""conventions.md"", ""Line"": 202, ""Item numbers"": [], ""Row"": ""2. **Requirement IDs** — always state the ID as literal text (`KBDL-A11Y-003`)""}, {""Document"": ""traceability-matrix.md"", ""Line"": 806, ""Item numbers"": [], ""Row"": ""- **Validation status:** Not verified: KBDL-A11Y-001, KBDL-A11Y-002, KBDL-A11Y-003, KBDL-A11Y-004, KBDL-A11Y-005, KBDL-A11Y-006, KBDL-A11Y-010, KBDL-A11Y-012, KBDL-A11Y-013, KBDL-A11Y-014, KBDL-A11Y-015, KBDL-A11Y-016, KBDL-A11Y-017, KBDL-A11Y-018, KBDL-A11Y-020, KBDL-A11Y-022, KBDL-A11Y-023, KBDL-A11Y-024, KBDL-A11Y-025, KBDL-A11Y-026, KBDL-A11Y-027, KBDL-A11Y-028, KBDL-A11Y-029, KBDL-A11Y-030, KBDL-A11Y-031, KBDL-A11Y-032, KBDL-A11Y-033, KBDL-A11Y-034, KBDL-A11Y-037, KBDL-A11Y-040; Verified: KBDL-A11Y-007, KBDL-A11Y-008, KBDL-A11Y-009; Not applicable: KBDL-A11Y-019, KBDL-A11Y-036, KBDL-A11Y-038, KBDL-A11Y-039""}, {""Document"": ""components-core.md"", ""Line"": 1411, ""Item numbers"": [], ""Row"": ""- Related requirement: `KBDL-A11Y-003`.""}, {""Document"": ""components-core.md"", ""Line"": 1421, ""Item numbers"": [], ""Row"": ""- Related requirement: `KBDL-A11Y-003`, `KBDL-A11Y-028`.""}, {""Document"": ""accessibility.md"", ""Line"": 144, ""Item numbers"": [], ""Row"": ""Status: `Approved` (`KBDL-A11Y-003`, directly restates WCAG 2.2 SC 1.3.1""}, {""Document"": ""accessibility.md"", ""Line"": 702, ""Item numbers"": [], ""Row"": ""- **KBDL-A11Y-003** — Every component **must** expose name, role,""}, {""Document"": ""accessibility.md"", ""Line"": 720, ""Item numbers"": [], ""Row"": ""- Related requirement: `KBDL-A11Y-003`.""}, {""Document"": ""accessibility.md"", ""Line"": 1056, ""Item numbers"": [], ""Row"": ""- Related requirement: `KBDL-A11Y-003`.""}, {""Document"": ""accessibility.md"", ""Line"": 1075, ""Item numbers"": [], ""Row"": ""- Lifecycle status: Approved (restates `KBDL-A11Y-003` applied to""}]",Explicit None permitted only for Approved,False,False,PASS
KBDL-A11Y-004,Approved,None — Approved,"[{""Document"": ""traceability-matrix.md"", ""Line"": 806, ""Item numbers"": [], ""Row"": ""- **Validation status:** Not verified: KBDL-A11Y-001, KBDL-A11Y-002, KBDL-A11Y-003, KBDL-A11Y-004, KBDL-A11Y-005, KBDL-A11Y-006, KBDL-A11Y-010, KBDL-A11Y-012, KBDL-A11Y-013, KBDL-A11Y-014, KBDL-A11Y-015, KBDL-A11Y-016, KBDL-A11Y-017, KBDL-A11Y-018, KBDL-A11Y-020, KBDL-A11Y-022, KBDL-A11Y-023, KBDL-A11Y-024, KBDL-A11Y-025, KBDL-A11Y-026, KBDL-A11Y-027, KBDL-A11Y-028, KBDL-A11Y-029, KBDL-A11Y-030, KBDL-A11Y-031, KBDL-A11Y-032, KBDL-A11Y-033, KBDL-A11Y-034, KBDL-A11Y-037, KBDL-A11Y-040; Verified: KBDL-A11Y-007, KBDL-A11Y-008, KBDL-A11Y-009; Not applicable: KBDL-A11Y-019, KBDL-A11Y-036, KBDL-A11Y-038, KBDL-A11Y-039""}, {""Document"": ""accessibility.md"", ""Line"": 154, ""Item numbers"": [], ""Row"": ""Status: `Approved` (`KBDL-A11Y-004`, directly restates WCAG 2.2 SC 2.4.2""}, {""Document"": ""accessibility.md"", ""Line"": 714, ""Item numbers"": [], ""Row"": ""- **KBDL-A11Y-004** — Every page **must** have a descriptive title;""}, {""Document"": ""accessibility.md"", ""Line"": 875, ""Item numbers"": [], ""Row"": ""- Related requirement: `KBDL-A11Y-004`.""}]",Explicit None permitted only for Approved,False,False,PASS
KBDL-A11Y-005,Approved,None — Approved,"[{""Document"": ""traceability-matrix.md"", ""Line"": 806, ""Item numbers"": [], ""Row"": ""- **Validation status:** Not verified: KBDL-A11Y-001, KBDL-A11Y-002, KBDL-A11Y-003, KBDL-A11Y-004, KBDL-A11Y-005, KBDL-A11Y-006, KBDL-A11Y-010, KBDL-A11Y-012, KBDL-A11Y-013, KBDL-A11Y-014, KBDL-A11Y-015, KBDL-A11Y-016, KBDL-A11Y-017, KBDL-A11Y-018, KBDL-A11Y-020, KBDL-A11Y-022, KBDL-A11Y-023, KBDL-A11Y-024, KBDL-A11Y-025, KBDL-A11Y-026, KBDL-A11Y-027, KBDL-A11Y-028, KBDL-A11Y-029, KBDL-A11Y-030, KBDL-A11Y-031, KBDL-A11Y-032, KBDL-A11Y-033, KBDL-A11Y-034, KBDL-A11Y-037, KBDL-A11Y-040; Verified: KBDL-A11Y-007, KBDL-A11Y-008, KBDL-A11Y-009; Not applicable: KBDL-A11Y-019, KBDL-A11Y-036, KBDL-A11Y-038, KBDL-A11Y-039""}, {""Document"": ""accessibility.md"", ""Line"": 164, ""Item numbers"": [], ""Row"": ""Status: `Approved` (`KBDL-A11Y-005`, directly restates WCAG 2.2 SC 1.3.2""}, {""Document"": ""accessibility.md"", ""Line"": 726, ""Item numbers"": [], ""Row"": ""- **KBDL-A11Y-005** — Reading order **must** match source order; focus""}]",Explicit None permitted only for Approved,False,False,PASS
KBDL-A11Y-006,Approved,None — Approved,"[{""Document"": ""traceability-matrix.md"", ""Line"": 806, ""Item numbers"": [], ""Row"": ""- **Validation status:** Not verified: KBDL-A11Y-001, KBDL-A11Y-002, KBDL-A11Y-003, KBDL-A11Y-004, KBDL-A11Y-005, KBDL-A11Y-006, KBDL-A11Y-010, KBDL-A11Y-012, KBDL-A11Y-013, KBDL-A11Y-014, KBDL-A11Y-015, KBDL-A11Y-016, KBDL-A11Y-017, KBDL-A11Y-018, KBDL-A11Y-020, KBDL-A11Y-022, KBDL-A11Y-023, KBDL-A11Y-024, KBDL-A11Y-025, KBDL-A11Y-026, KBDL-A11Y-027, KBDL-A11Y-028, KBDL-A11Y-029, KBDL-A11Y-030, KBDL-A11Y-031, KBDL-A11Y-032, KBDL-A11Y-033, KBDL-A11Y-034, KBDL-A11Y-037, KBDL-A11Y-040; Verified: KBDL-A11Y-007, KBDL-A11Y-008, KBDL-A11Y-009; Not applicable: KBDL-A11Y-019, KBDL-A11Y-036, KBDL-A11Y-038, KBDL-A11Y-039""}, {""Document"": ""components-core.md"", ""Line"": 1434, ""Item numbers"": [], ""Row"": ""- Related requirement: `KBDL-PRN-005`, `KBDL-A11Y-006`.""}, {""Document"": ""accessibility.md"", ""Line"": 173, ""Item numbers"": [], ""Row"": ""Status: `Approved` (`KBDL-A11Y-006`, directly restates WCAG 2.2 SC 1.4.1""}, {""Document"": ""accessibility.md"", ""Line"": 738, ""Item numbers"": [], ""Row"": ""- **KBDL-A11Y-006** — Color **must never** be the sole means of""}]",Explicit None permitted only for Approved,False,False,PASS
KBDL-A11Y-007,Approved,None — Approved,"[{""Document"": ""traceability-matrix.md"", ""Line"": 806, ""Item numbers"": [], ""Row"": ""- **Validation status:** Not verified: KBDL-A11Y-001, KBDL-A11Y-002, KBDL-A11Y-003, KBDL-A11Y-004, KBDL-A11Y-005, KBDL-A11Y-006, KBDL-A11Y-010, KBDL-A11Y-012, KBDL-A11Y-013, KBDL-A11Y-014, KBDL-A11Y-015, KBDL-A11Y-016, KBDL-A11Y-017, KBDL-A11Y-018, KBDL-A11Y-020, KBDL-A11Y-022, KBDL-A11Y-023, KBDL-A11Y-024, KBDL-A11Y-025, KBDL-A11Y-026, KBDL-A11Y-027, KBDL-A11Y-028, KBDL-A11Y-029, KBDL-A11Y-030, KBDL-A11Y-031, KBDL-A11Y-032, KBDL-A11Y-033, KBDL-A11Y-034, KBDL-A11Y-037, KBDL-A11Y-040; Verified: KBDL-A11Y-007, KBDL-A11Y-008, KBDL-A11Y-009; Not applicable: KBDL-A11Y-019, KBDL-A11Y-036, KBDL-A11Y-038, KBDL-A11Y-039""}, {""Document"": ""accessibility.md"", ""Line"": 183, ""Item numbers"": [], ""Row"": ""Status: `Approved` (`KBDL-A11Y-007`, directly restates WCAG 2.2 SC 1.4.3""}, {""Document"": ""accessibility.md"", ""Line"": 748, ""Item numbers"": [], ""Row"": ""- **KBDL-A11Y-007** — Normal text **must** meet 4.5:1 contrast; large""}, {""Document"": ""accessibility.md"", ""Line"": 765, ""Item numbers"": [], ""Row"": ""- Related requirement: `KBDL-A11Y-007`.""}]",Explicit None permitted only for Approved,False,False,PASS
KBDL-A11Y-008,Approved,None — Approved,"[{""Document"": ""traceability-matrix.md"", ""Line"": 806, ""Item numbers"": [], ""Row"": ""- **Validation status:** Not verified: KBDL-A11Y-001, KBDL-A11Y-002, KBDL-A11Y-003, KBDL-A11Y-004, KBDL-A11Y-005, KBDL-A11Y-006, KBDL-A11Y-010, KBDL-A11Y-012, KBDL-A11Y-013, KBDL-A11Y-014, KBDL-A11Y-015, KBDL-A11Y-016, KBDL-A11Y-017, KBDL-A11Y-018, KBDL-A11Y-020, KBDL-A11Y-022, KBDL-A11Y-023, KBDL-A11Y-024, KBDL-A11Y-025, KBDL-A11Y-026, KBDL-A11Y-027, KBDL-A11Y-028, KBDL-A11Y-029, KBDL-A11Y-030, KBDL-A11Y-031, KBDL-A11Y-032, KBDL-A11Y-033, KBDL-A11Y-034, KBDL-A11Y-037, KBDL-A11Y-040; Verified: KBDL-A11Y-007, KBDL-A11Y-008, KBDL-A11Y-009; Not applicable: KBDL-A11Y-019, KBDL-A11Y-036, KBDL-A11Y-038, KBDL-A11Y-039""}, {""Document"": ""accessibility.md"", ""Line"": 195, ""Item numbers"": [], ""Row"": ""Status: `Approved` (`KBDL-A11Y-008`, directly restates WCAG 2.2 SC 1.4.11""}, {""Document"": ""accessibility.md"", ""Line"": 760, ""Item numbers"": [], ""Row"": ""- **KBDL-A11Y-008** — Borders, icons, and UI-component states **must**""}, {""Document"": ""accessibility.md"", ""Line"": 777, ""Item numbers"": [], ""Row"": ""- Related requirement: `KBDL-A11Y-008`.""}]",Explicit None permitted only for Approved,False,False,PASS
KBDL-A11Y-009,Approved,None — Approved,"[{""Document"": ""traceability-matrix.md"", ""Line"": 806, ""Item numbers"": [], ""Row"": ""- **Validation status:** Not verified: KBDL-A11Y-001, KBDL-A11Y-002, KBDL-A11Y-003, KBDL-A11Y-004, KBDL-A11Y-005, KBDL-A11Y-006, KBDL-A11Y-010, KBDL-A11Y-012, KBDL-A11Y-013, KBDL-A11Y-014, KBDL-A11Y-015, KBDL-A11Y-016, KBDL-A11Y-017, KBDL-A11Y-018, KBDL-A11Y-020, KBDL-A11Y-022, KBDL-A11Y-023, KBDL-A11Y-024, KBDL-A11Y-025, KBDL-A11Y-026, KBDL-A11Y-027, KBDL-A11Y-028, KBDL-A11Y-029, KBDL-A11Y-030, KBDL-A11Y-031, KBDL-A11Y-032, KBDL-A11Y-033, KBDL-A11Y-034, KBDL-A11Y-037, KBDL-A11Y-040; Verified: KBDL-A11Y-007, KBDL-A11Y-008, KBDL-A11Y-009; Not applicable: KBDL-A11Y-019, KBDL-A11Y-036, KBDL-A11Y-038, KBDL-A11Y-039""}, {""Document"": ""components-core.md"", ""Line"": 1457, ""Item numbers"": [], ""Row"": ""- Related requirement: `KBDL-A11Y-009`, `KBDL-A11Y-010`.""}, {""Document"": ""accessibility.md"", ""Line"": 207, ""Item numbers"": [], ""Row"": ""Status: `Approved` (`KBDL-A11Y-009`, directly restates WCAG 2.2 SC 2.4.7""}, {""Document"": ""accessibility.md"", ""Line"": 771, ""Item numbers"": [], ""Row"": ""- **KBDL-A11Y-009** — Every interactive element **must** show a visible""}]",Explicit None permitted only for Approved,False,False,PASS
KBDL-A11Y-010,Approved,None — Approved,"[{""Document"": ""traceability-matrix.md"", ""Line"": 799, ""Item numbers"": [], ""Row"": ""### WCAG 2.2 Level A/AA baseline requirements (KBDL-A11Y-001 through KBDL-A11Y-010, KBDL-A11Y-012 through KBDL-A11Y-020, KBDL-A11Y-022 through KBDL-A11Y-034, KBDL-A11Y-036 through KBDL-A11Y-040)""}, {""Document"": ""traceability-matrix.md"", ""Line"": 806, ""Item numbers"": [], ""Row"": ""- **Validation status:** Not verified: KBDL-A11Y-001, KBDL-A11Y-002, KBDL-A11Y-003, KBDL-A11Y-004, KBDL-A11Y-005, KBDL-A11Y-006, KBDL-A11Y-010, KBDL-A11Y-012, KBDL-A11Y-013, KBDL-A11Y-014, KBDL-A11Y-015, KBDL-A11Y-016, KBDL-A11Y-017, KBDL-A11Y-018, KBDL-A11Y-020, KBDL-A11Y-022, KBDL-A11Y-023, KBDL-A11Y-024, KBDL-A11Y-025, KBDL-A11Y-026, KBDL-A11Y-027, KBDL-A11Y-028, KBDL-A11Y-029, KBDL-A11Y-030, KBDL-A11Y-031, KBDL-A11Y-032, KBDL-A11Y-033, KBDL-A11Y-034, KBDL-A11Y-037, KBDL-A11Y-040; Verified: KBDL-A11Y-007, KBDL-A11Y-008, KBDL-A11Y-009; Not applicable: KBDL-A11Y-019, KBDL-A11Y-036, KBDL-A11Y-038, KBDL-A11Y-039""}, {""Document"": ""responsive.md"", ""Line"": 639, ""Item numbers"": [], ""Row"": ""- Related requirement: `KBDL-A11Y-010`.""}, {""Document"": ""components-core.md"", ""Line"": 1457, ""Item numbers"": [], ""Row"": ""- Related requirement: `KBDL-A11Y-009`, `KBDL-A11Y-010`.""}, {""Document"": ""accessibility.md"", ""Line"": 218, ""Item numbers"": [], ""Row"": ""Status: `Approved` (`KBDL-A11Y-010`, directly restates WCAG 2.2 SC 2.4.11""}, {""Document"": ""accessibility.md"", ""Line"": 783, ""Item numbers"": [], ""Row"": ""- **KBDL-A11Y-010** — A sticky/fixed region **must not** entirely""}]",Explicit None permitted only for Approved,False,False,PASS
