Requirement ID,Independent authority source,Expected authority,Effective authority,Targets,Invalid targets,Resolved
KBDL-A11Y-001,accessibility.md authoritative block/prompt state,"Approved (directly restates WCAG 2.2 SC 1.1.1, Level A, and SC 1.4.5, Level AA)","Approved (directly restates WCAG 2.2 SC 1.1.1, Level A, and SC 1.4.5, Level AA)",Prompt/standard,None,True
KBDL-A11Y-002,accessibility.md authoritative block/prompt state,"Approved (directly restates WCAG 2.2 SC 1.2.x, Level A/AA)","Approved (directly restates WCAG 2.2 SC 1.2.x, Level A/AA)",Prompt/standard,None,True
KBDL-A11Y-003,accessibility.md authoritative block/prompt state,"Approved (directly restates WCAG 2.2 SC 1.3.1 and SC 4.1.2, both Level A)","Approved (directly restates WCAG 2.2 SC 1.3.1 and SC 4.1.2, both Level A)",Prompt/standard,None,True
KBDL-A11Y-004,accessibility.md authoritative block/prompt state,"Approved (directly restates WCAG 2.2 SC 2.4.2, Level A, and SC 2.4.6, Level AA)","Approved (directly restates WCAG 2.2 SC 2.4.2, Level A, and SC 2.4.6, Level AA)",Prompt/standard,None,True
KBDL-A11Y-005,accessibility.md authoritative block/prompt state,"Approved (directly restates WCAG 2.2 SC 1.3.2 and SC 2.4.3, both Level A)","Approved (directly restates WCAG 2.2 SC 1.3.2 and SC 2.4.3, both Level A)",Prompt/standard,None,True
KBDL-A11Y-006,accessibility.md authoritative block/prompt state,"Approved (directly restates WCAG 2.2 SC 1.4.1, Level A, and the locked component-state-clarity rule)","Approved (directly restates WCAG 2.2 SC 1.4.1, Level A, and the locked component-state-clarity rule)",Prompt/standard,None,True
KBDL-A11Y-007,accessibility.md authoritative block/prompt state,"Approved (directly restates WCAG 2.2 SC 1.4.3, Level AA)","Approved (directly restates WCAG 2.2 SC 1.4.3, Level AA)",Prompt/standard,None,True
KBDL-A11Y-008,accessibility.md authoritative block/prompt state,"Approved (directly restates WCAG 2.2 SC 1.4.11, Level AA)","Approved (directly restates WCAG 2.2 SC 1.4.11, Level AA)",Prompt/standard,None,True
KBDL-A11Y-009,accessibility.md authoritative block/prompt state,"Approved (directly restates WCAG 2.2 SC 2.4.7, Level AA)","Approved (directly restates WCAG 2.2 SC 2.4.7, Level AA)",Prompt/standard,None,True
KBDL-A11Y-010,accessibility.md authoritative block/prompt state,"Approved (directly restates WCAG 2.2 SC 2.4.11, Level AA)","Approved (directly restates WCAG 2.2 SC 2.4.11, Level AA)",Prompt/standard,None,True
KBDL-A11Y-012,accessibility.md authoritative block/prompt state,"Approved (directly restates WCAG 2.2 SC 1.4.4, Level AA)","Approved (directly restates WCAG 2.2 SC 1.4.4, Level AA)",Prompt/standard,None,True
KBDL-A11Y-013,accessibility.md authoritative block/prompt state,"Approved (directly restates WCAG 2.2 SC 1.4.10, Level AA)","Approved (directly restates WCAG 2.2 SC 1.4.10, Level AA)",Prompt/standard,None,True
KBDL-A11Y-014,accessibility.md authoritative block/prompt state,"Approved (directly restates WCAG 2.2 SC 1.4.12, Level AA)","Approved (directly restates WCAG 2.2 SC 1.4.12, Level AA)",Prompt/standard,None,True
