Requirement ID,Authority kind,Expected authority,Approval evidence source,Authority scope,Target lifecycle,Targets,Resolution result
KBDL-A11Y-001,approved-prompt authority registry,Project-owner-approved KBDL-006 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-006,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-A11Y-002,approved-prompt authority registry,Project-owner-approved KBDL-006 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-006,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-A11Y-003,approved-prompt authority registry,Project-owner-approved KBDL-006 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-006,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-A11Y-004,approved-prompt authority registry,Project-owner-approved KBDL-006 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-006,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-A11Y-005,approved-prompt authority registry,Project-owner-approved KBDL-006 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-006,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-A11Y-006,approved-prompt authority registry,Project-owner-approved KBDL-006 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-006,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-A11Y-007,approved-prompt authority registry,Project-owner-approved KBDL-006 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-006,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-A11Y-008,approved-prompt authority registry,Project-owner-approved KBDL-006 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-006,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-A11Y-009,approved-prompt authority registry,Project-owner-approved KBDL-006 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-006,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-A11Y-010,approved-prompt authority registry,Project-owner-approved KBDL-006 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-006,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-A11Y-012,approved-prompt authority registry,Project-owner-approved KBDL-006 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-006,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-A11Y-013,approved-prompt authority registry,Project-owner-approved KBDL-006 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-006,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-A11Y-014,approved-prompt authority registry,Project-owner-approved KBDL-006 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-006,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-A11Y-015,approved-prompt authority registry,Project-owner-approved KBDL-006 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-006,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-A11Y-016,approved-prompt authority registry,Project-owner-approved KBDL-006 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-006,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-A11Y-017,approved-prompt authority registry,Project-owner-approved KBDL-006 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-006,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-A11Y-018,approved-prompt authority registry,Project-owner-approved KBDL-006 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-006,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-A11Y-019,approved-prompt authority registry,Project-owner-approved KBDL-006 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-006,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-A11Y-020,approved-prompt authority registry,Project-owner-approved KBDL-006 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-006,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-A11Y-022,approved-prompt authority registry,Project-owner-approved KBDL-006 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-006,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-A11Y-023,approved-prompt authority registry,Project-owner-approved KBDL-006 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-006,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-A11Y-024,approved-prompt authority registry,Project-owner-approved KBDL-006 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-006,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-A11Y-025,approved-prompt authority registry,Project-owner-approved KBDL-006 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-006,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-A11Y-026,approved-prompt authority registry,Project-owner-approved KBDL-006 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-006,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-A11Y-027,approved-prompt authority registry,Project-owner-approved KBDL-006 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-006,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-A11Y-028,approved-prompt authority registry,Project-owner-approved KBDL-006 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-006,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-A11Y-029,approved-prompt authority registry,Project-owner-approved KBDL-006 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-006,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-A11Y-030,approved-prompt authority registry,Project-owner-approved KBDL-006 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-006,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-A11Y-031,approved-prompt authority registry,Project-owner-approved KBDL-006 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-006,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-A11Y-032,approved-prompt authority registry,Project-owner-approved KBDL-006 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-006,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-A11Y-033,approved-prompt authority registry,Project-owner-approved KBDL-006 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-006,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-A11Y-034,approved-prompt authority registry,Project-owner-approved KBDL-006 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-006,requirement normative scope only,Approved,Approved prompt,PASS
KBDL-A11Y-036,approved-prompt authority registry,Project-owner-approved KBDL-006 implementation prompt; authoritative provenance: Confirmed,validation.md scope-completion/progression record for KBDL-006,requirement normative scope only,Approved,Approved prompt,PASS
