Requirement ID,Validation method,Validation evidence,Known limitation,Method copied as evidence,Generic limitation
KBDL-A11Y-001,"WCAG relative-luminance contrast calculation (completed for contrast/focus rows); manual + automated static accessibility review, keyboard testing, screen-reader testing, and flash analysis (all pending an implementation)",themes/validation.md §3 for the three Verified rows; not verified for the rest,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",False,False
KBDL-A11Y-002,"WCAG relative-luminance contrast calculation (completed for contrast/focus rows); manual + automated static accessibility review, keyboard testing, screen-reader testing, and flash analysis (all pending an implementation)",themes/validation.md §3 for the three Verified rows; not verified for the rest,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",False,False
KBDL-A11Y-003,"WCAG relative-luminance contrast calculation (completed for contrast/focus rows); manual + automated static accessibility review, keyboard testing, screen-reader testing, and flash analysis (all pending an implementation)",themes/validation.md §3 for the three Verified rows; not verified for the rest,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",False,False
KBDL-A11Y-004,"WCAG relative-luminance contrast calculation (completed for contrast/focus rows); manual + automated static accessibility review, keyboard testing, screen-reader testing, and flash analysis (all pending an implementation)",themes/validation.md §3 for the three Verified rows; not verified for the rest,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",False,False
KBDL-A11Y-005,"WCAG relative-luminance contrast calculation (completed for contrast/focus rows); manual + automated static accessibility review, keyboard testing, screen-reader testing, and flash analysis (all pending an implementation)",themes/validation.md §3 for the three Verified rows; not verified for the rest,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",False,False
KBDL-A11Y-006,"WCAG relative-luminance contrast calculation (completed for contrast/focus rows); manual + automated static accessibility review, keyboard testing, screen-reader testing, and flash analysis (all pending an implementation)",themes/validation.md §3 for the three Verified rows; not verified for the rest,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",False,False
KBDL-A11Y-007,"WCAG relative-luminance contrast calculation (completed for contrast/focus rows); manual + automated static accessibility review, keyboard testing, screen-reader testing, and flash analysis (all pending an implementation)",themes/validation.md §3 for the three Verified rows; not verified for the rest,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",False,False
KBDL-A11Y-008,"WCAG relative-luminance contrast calculation (completed for contrast/focus rows); manual + automated static accessibility review, keyboard testing, screen-reader testing, and flash analysis (all pending an implementation)",themes/validation.md §3 for the three Verified rows; not verified for the rest,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",False,False
KBDL-A11Y-009,"WCAG relative-luminance contrast calculation (completed for contrast/focus rows); manual + automated static accessibility review, keyboard testing, screen-reader testing, and flash analysis (all pending an implementation)",themes/validation.md §3 for the three Verified rows; not verified for the rest,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",False,False
KBDL-A11Y-010,"WCAG relative-luminance contrast calculation (completed for contrast/focus rows); manual + automated static accessibility review, keyboard testing, screen-reader testing, and flash analysis (all pending an implementation)",themes/validation.md §3 for the three Verified rows; not verified for the rest,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",False,False
KBDL-A11Y-011,Project-owner review (not yet performed); implementation-level review once an implementation exists,Not verified — no implementation exists yet,Forced-colors/high-contrast mode is currently unaddressed elsewhere in the specification and was explicitly excluded from the KBDL-004 theme approval (KBDL-DEC-013); these three requirements must not be treated as Approved until reviewed,False,False
KBDL-A11Y-012,"WCAG relative-luminance contrast calculation (completed for contrast/focus rows); manual + automated static accessibility review, keyboard testing, screen-reader testing, and flash analysis (all pending an implementation)",themes/validation.md §3 for the three Verified rows; not verified for the rest,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",False,False
KBDL-A11Y-013,"WCAG relative-luminance contrast calculation (completed for contrast/focus rows); manual + automated static accessibility review, keyboard testing, screen-reader testing, and flash analysis (all pending an implementation)",themes/validation.md §3 for the three Verified rows; not verified for the rest,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",False,False
KBDL-A11Y-014,"WCAG relative-luminance contrast calculation (completed for contrast/focus rows); manual + automated static accessibility review, keyboard testing, screen-reader testing, and flash analysis (all pending an implementation)",themes/validation.md §3 for the three Verified rows; not verified for the rest,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",False,False
KBDL-A11Y-015,"WCAG relative-luminance contrast calculation (completed for contrast/focus rows); manual + automated static accessibility review, keyboard testing, screen-reader testing, and flash analysis (all pending an implementation)",themes/validation.md §3 for the three Verified rows; not verified for the rest,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",False,False
KBDL-A11Y-016,"WCAG relative-luminance contrast calculation (completed for contrast/focus rows); manual + automated static accessibility review, keyboard testing, screen-reader testing, and flash analysis (all pending an implementation)",themes/validation.md §3 for the three Verified rows; not verified for the rest,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",False,False
KBDL-A11Y-017,"WCAG relative-luminance contrast calculation (completed for contrast/focus rows); manual + automated static accessibility review, keyboard testing, screen-reader testing, and flash analysis (all pending an implementation)",themes/validation.md §3 for the three Verified rows; not verified for the rest,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",False,False
KBDL-A11Y-018,"WCAG relative-luminance contrast calculation (completed for contrast/focus rows); manual + automated static accessibility review, keyboard testing, screen-reader testing, and flash analysis (all pending an implementation)",themes/validation.md §3 for the three Verified rows; not verified for the rest,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",False,False
KBDL-A11Y-019,"WCAG relative-luminance contrast calculation (completed for contrast/focus rows); manual + automated static accessibility review, keyboard testing, screen-reader testing, and flash analysis (all pending an implementation)",themes/validation.md §3 for the three Verified rows; not verified for the rest,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",False,False
KBDL-A11Y-020,"WCAG relative-luminance contrast calculation (completed for contrast/focus rows); manual + automated static accessibility review, keyboard testing, screen-reader testing, and flash analysis (all pending an implementation)",themes/validation.md §3 for the three Verified rows; not verified for the rest,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",False,False
KBDL-A11Y-021,Project-owner review (not yet performed); implementation-level review once an implementation exists,Not verified — no implementation exists yet,Forced-colors/high-contrast mode is currently unaddressed elsewhere in the specification and was explicitly excluded from the KBDL-004 theme approval (KBDL-DEC-013); these three requirements must not be treated as Approved until reviewed,False,False
KBDL-A11Y-022,"WCAG relative-luminance contrast calculation (completed for contrast/focus rows); manual + automated static accessibility review, keyboard testing, screen-reader testing, and flash analysis (all pending an implementation)",themes/validation.md §3 for the three Verified rows; not verified for the rest,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",False,False
KBDL-A11Y-023,"WCAG relative-luminance contrast calculation (completed for contrast/focus rows); manual + automated static accessibility review, keyboard testing, screen-reader testing, and flash analysis (all pending an implementation)",themes/validation.md §3 for the three Verified rows; not verified for the rest,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",False,False
KBDL-A11Y-024,"WCAG relative-luminance contrast calculation (completed for contrast/focus rows); manual + automated static accessibility review, keyboard testing, screen-reader testing, and flash analysis (all pending an implementation)",themes/validation.md §3 for the three Verified rows; not verified for the rest,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",False,False
KBDL-A11Y-025,"WCAG relative-luminance contrast calculation (completed for contrast/focus rows); manual + automated static accessibility review, keyboard testing, screen-reader testing, and flash analysis (all pending an implementation)",themes/validation.md §3 for the three Verified rows; not verified for the rest,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",False,False
KBDL-A11Y-026,"WCAG relative-luminance contrast calculation (completed for contrast/focus rows); manual + automated static accessibility review, keyboard testing, screen-reader testing, and flash analysis (all pending an implementation)",themes/validation.md §3 for the three Verified rows; not verified for the rest,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",False,False
KBDL-A11Y-027,"WCAG relative-luminance contrast calculation (completed for contrast/focus rows); manual + automated static accessibility review, keyboard testing, screen-reader testing, and flash analysis (all pending an implementation)",themes/validation.md §3 for the three Verified rows; not verified for the rest,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",False,False
KBDL-A11Y-028,"WCAG relative-luminance contrast calculation (completed for contrast/focus rows); manual + automated static accessibility review, keyboard testing, screen-reader testing, and flash analysis (all pending an implementation)",themes/validation.md §3 for the three Verified rows; not verified for the rest,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",False,False
KBDL-A11Y-029,"WCAG relative-luminance contrast calculation (completed for contrast/focus rows); manual + automated static accessibility review, keyboard testing, screen-reader testing, and flash analysis (all pending an implementation)",themes/validation.md §3 for the three Verified rows; not verified for the rest,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",False,False
KBDL-A11Y-030,"WCAG relative-luminance contrast calculation (completed for contrast/focus rows); manual + automated static accessibility review, keyboard testing, screen-reader testing, and flash analysis (all pending an implementation)",themes/validation.md §3 for the three Verified rows; not verified for the rest,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",False,False
KBDL-A11Y-031,"WCAG relative-luminance contrast calculation (completed for contrast/focus rows); manual + automated static accessibility review, keyboard testing, screen-reader testing, and flash analysis (all pending an implementation)",themes/validation.md §3 for the three Verified rows; not verified for the rest,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",False,False
KBDL-A11Y-032,"WCAG relative-luminance contrast calculation (completed for contrast/focus rows); manual + automated static accessibility review, keyboard testing, screen-reader testing, and flash analysis (all pending an implementation)",themes/validation.md §3 for the three Verified rows; not verified for the rest,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",False,False
KBDL-A11Y-033,"WCAG relative-luminance contrast calculation (completed for contrast/focus rows); manual + automated static accessibility review, keyboard testing, screen-reader testing, and flash analysis (all pending an implementation)",themes/validation.md §3 for the three Verified rows; not verified for the rest,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",False,False
KBDL-A11Y-034,"WCAG relative-luminance contrast calculation (completed for contrast/focus rows); manual + automated static accessibility review, keyboard testing, screen-reader testing, and flash analysis (all pending an implementation)",themes/validation.md §3 for the three Verified rows; not verified for the rest,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",False,False
KBDL-A11Y-035,Project-owner review (not yet performed); implementation-level review once an implementation exists,Not verified — no implementation exists yet,Forced-colors/high-contrast mode is currently unaddressed elsewhere in the specification and was explicitly excluded from the KBDL-004 theme approval (KBDL-DEC-013); these three requirements must not be treated as Approved until reviewed,False,False
KBDL-A11Y-036,"WCAG relative-luminance contrast calculation (completed for contrast/focus rows); manual + automated static accessibility review, keyboard testing, screen-reader testing, and flash analysis (all pending an implementation)",themes/validation.md §3 for the three Verified rows; not verified for the rest,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",False,False
KBDL-A11Y-037,"WCAG relative-luminance contrast calculation (completed for contrast/focus rows); manual + automated static accessibility review, keyboard testing, screen-reader testing, and flash analysis (all pending an implementation)",themes/validation.md §3 for the three Verified rows; not verified for the rest,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",False,False
KBDL-A11Y-038,"WCAG relative-luminance contrast calculation (completed for contrast/focus rows); manual + automated static accessibility review, keyboard testing, screen-reader testing, and flash analysis (all pending an implementation)",themes/validation.md §3 for the three Verified rows; not verified for the rest,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",False,False
KBDL-A11Y-039,"WCAG relative-luminance contrast calculation (completed for contrast/focus rows); manual + automated static accessibility review, keyboard testing, screen-reader testing, and flash analysis (all pending an implementation)",themes/validation.md §3 for the three Verified rows; not verified for the rest,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",False,False
KBDL-A11Y-040,"WCAG relative-luminance contrast calculation (completed for contrast/focus rows); manual + automated static accessibility review, keyboard testing, screen-reader testing, and flash analysis (all pending an implementation)",themes/validation.md §3 for the three Verified rows; not verified for the rest,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",False,False
KBDL-CMP-001,"Manual completeness/mapping review per component once implemented; manual scope-compliance review (performed, see implementation report)",Not verified — no implementation exists yet,Implementation-dependent; cannot be tested until real components exist,False,False
KBDL-CMP-002,"Manual completeness/mapping review per component once implemented; manual scope-compliance review (performed, see implementation report)",Not verified — no implementation exists yet,Implementation-dependent; cannot be tested until real components exist,False,False
