Requirement ID,Field name,Group heading,Raw group field,Parsed grammar,Per-ID resolved value,Classification,Overriding status,Resolution result,Defect details
KBDL-GOV-001,Blueprint section,Specification architecture,Specification architecture and governance foundation,Uniform default,Specification architecture and governance foundation,Uniform default,Yes,PASS,None
KBDL-GOV-001,Roadmap prompt,Specification architecture,KBDL-001,Uniform default,KBDL-001,Uniform default,Yes,PASS,None
KBDL-GOV-001,Specification location,Specification architecture,[governance.md § KBDL-GOV-001](governance.md#kbdl-gov-001--specification-architecture-is-established),Broad descriptive summary,[governance.md § KBDL-GOV-001](governance.md#kbdl-gov-001--specification-architecture-is-established),Non-overriding summary,No,PASS,None
KBDL-GOV-001,Lifecycle status,Specification architecture,MISSING,Missing,MISSING,Missing,No,PASS,None
KBDL-GOV-001,Provenance,Specification architecture,MISSING,Missing,MISSING,Missing,No,PASS,None
KBDL-GOV-001,Validation classification,Specification architecture,Verified,Uniform status default,Verified,Uniform default,Yes,PASS,None
KBDL-GOV-001,Authority,Specification architecture,MISSING,Missing,MISSING,Missing,No,PASS,None
KBDL-GOV-001,Validation method,Specification architecture,"Manual review — heading hierarchy, relative-link resolution, and heading-anchor correctness checked across all KBDL-001 files.",Broad descriptive summary,"Manual review — heading hierarchy, relative-link resolution, and heading-anchor correctness checked across all KBDL-001 files.",Non-overriding summary,No,PASS,None
KBDL-GOV-001,Validation evidence,Specification architecture,Manual review recorded in commit `2d356b4` (KBDL-001 initial commit); re-checked for this remediation in commit-to-follow (see [decision-register.md § KBDL-DEC-011](decision-register.md#kbdl-dec-011--status-model-correction-approval-vs-provenance-vs-validation)).,Broad descriptive summary,Manual review recorded in commit `2d356b4` (KBDL-001 initial commit); re-checked for this remediation in commit-to-follow (see [decision-register.md § KBDL-DEC-011](decision-register.md#kbdl-dec-011--status-model-correction-approval-vs-provenance-vs-validation)).,Non-overriding summary,No,PASS,None
KBDL-GOV-001,Known limitation,Specification architecture,"No automated Markdown linter or link checker was available in this environment; verification is manual, not tool-based.",Broad descriptive summary,"No automated Markdown linter or link checker was available in this environment; verification is manual, not tool-based.",Non-overriding summary,No,PASS,None
KBDL-GOV-001,Packet or tracking destination,Specification architecture,MISSING,Missing,MISSING,Missing,No,PASS,None
KBDL-GOV-001,Pending dependencies,Specification architecture,MISSING,Missing,MISSING,Missing,No,PASS,None
KBDL-GOV-001,Related decision,Specification architecture,Not applicable,Broad descriptive summary,Not applicable,Non-overriding summary,No,PASS,None
KBDL-GOV-001,Notes or exclusions,Specification architecture,Demonstrates the requirement-ID convention.,Broad descriptive summary,Demonstrates the requirement-ID convention.,Non-overriding summary,No,PASS,None
KBDL-GOV-002,Blueprint section,Accessibility baseline protection,WCAG 2.2 AA baseline with enhanced motion safety (locked-rule protection),Uniform default,WCAG 2.2 AA baseline with enhanced motion safety (locked-rule protection),Uniform default,Yes,PASS,None
