Requirement ID,Owning source row,Expected destination,Effective destination,Expected dependency,Effective dependency,Classification,Match
KBDL-A11Y-011,"| 2 | Forced-colors and high-contrast policy | Adopt the requirements in [§16](#16-light-dark-forced-colors-and-high-contrast-behavior) (`KBDL-A11Y-011`) | Fills a genuine gap explicitly excluded from KBDL-004's theme approval; framework-neutral, does not prescribe CSS | No forced-colors policy at all (rejected — leaves users of this OS/browser feature unsupported) | Requires testing light/dark/forced-colors as three separate cases, an added QA cost | This is itself the accessibility deliverable | Not applicable | Not applicable | Does not reopen any approved theme mapping; adds a parallel, independent presentation mode | Negligible | None | `KBDL-A11Y-011` | Item 2 only — does not approve any specific palette or CSS mechanism, policy only |",accessibility.md — 49.2 Recommended Decisions — Ready for Approval — item 2,accessibility.md — 49.2 Recommended Decisions — Ready for Approval — item 2,None,None,None,True
KBDL-A11Y-021,"| 1 | Preferred enhanced target size | Adopt a 44-by-44 CSS-pixel preferred target for primary actions, above the 24-by-24 WCAG minimum (`KBDL-A11Y-021`) | Improves touch usability beyond the floor, consistent with common platform guidance | Keep only the WCAG 24×24 minimum (rejected — KBDL-005/006 already prefer generous touch targets elsewhere) | Larger targets consume more layout space at `compact`; must be reconciled with [responsive.md §10](responsive.md#10-gutters-and-responsive-spacing) | Exceeds, never weakens, the WCAG floor | Interacts with spacing-compression limits | Not applicable | Not applicable | Negligible | `KBDL-A11Y-020` | `KBDL-A11Y-021` | Item 1 only — does not touch the WCAG-mandated minimum (`KBDL-A11Y-020`), which remains Approved and unaffected either way |",accessibility.md — 49.2 Recommended Decisions — Ready for Approval — item 1,accessibility.md — 49.2 Recommended Decisions — Ready for Approval — item 1,None,None,None,True
KBDL-A11Y-035,"| 3 | Preferred accessibility testing matrix | Adopt a defined set of screen-reader/browser pairings to test once an implementation exists (`KBDL-A11Y-035`) | Gives future implementation work a concrete, repeatable testing target | No defined matrix (rejected — ad hoc testing risks inconsistent coverage) | Matrix will need periodic revision as products update | Ensures testing actually covers real assistive-technology combinations | Not applicable | Not applicable | Not applicable | Not applicable | None | `KBDL-A11Y-035` | Item 3 only — testing-process guidance only, not a conformance claim |",accessibility.md — 49.2 Recommended Decisions — Ready for Approval — item 3,accessibility.md — 49.2 Recommended Decisions — Ready for Approval — item 3,None,None,None,True
KBDL-CMP-015,"| 1 | Button hierarchy taxonomy | Adopt Primary/Secondary/Tertiary/Destructive as the button-variant taxonomy (`KBDL-CMP-015`) | Gives a consistent, small vocabulary for action prominence across the system | An unbounded/ad hoc variant set (rejected — fragments consistency) | Requires per-project mapping to visual treatment once themes are implemented | Destructive variant must still map to Critical status + action role, unaffected either way | None | None | None | None | Showcase may use more variants visibly; Precision favors Primary/Secondary only | None | `KBDL-CMP-015` | Item 1 only |",components-core.md — 35.2 Recommended Decisions — Ready for Approval — item 1,components-core.md — 35.2 Recommended Decisions — Ready for Approval — item 1,None,None,None,True
KBDL-CMP-017,"| 3 | Icon-only visible-label threshold | Adopt a qualitative threshold: universally understood actions (e.g., close, search) may remain icon-only; anything else requires a visible label (`KBDL-CMP-017`) | Balances compact icon-only density against discoverability | Icon-only always requiring a label (rejected — overly verbose for extremely common actions); no threshold at all (rejected — risks ambiguous icon-only actions) | Requires an enumerated ""universally understood"" list eventually, not yet produced | Directly serves discoverability; the accessible-name requirement (`KBDL-CMP-016`) is unaffected either way | None | None | None | None | Precision/Flow lean toward more visible labels; Showcase may use more icon-only in controlled contexts | `KBDL-CMP-016` | `KBDL-CMP-017` | Item 3 only |",components-core.md — 35.2 Recommended Decisions — Ready for Approval — item 3,components-core.md — 35.2 Recommended Decisions — Ready for Approval — item 3,None,None,None,True
KBDL-CMP-020,"| 9 | Button-group composition guidance | Adopt the labeling, tab-order, primary-action-clarity, and destructive-action-separation guidance in [§20.5](#205-button-group) (`KBDL-CMP-020`) | Gives related-action groups a consistent, predictable composition pattern | No composition guidance, left entirely to per-project judgment (rejected — risks inconsistent action-group density and unclear primary-action prominence across projects) | None significant | Primary-action clarity and destructive-action separation directly support comprehension and error prevention | None | None | None | None | Applies identically across profiles | `KBDL-CMP-014` | `KBDL-CMP-020` | Item 9 only |",components-core.md — 35.2 Recommended Decisions — Ready for Approval — item 9,components-core.md — 35.2 Recommended Decisions — Ready for Approval — item 9,None,None,None,True
KBDL-CMP-025,"| 4 | Search-field model (filtering vs. navigation) | Adopt both models as valid, selected per use case, with the field contract in §22.3 (`KBDL-CMP-025`) | Reflects real product needs without forcing one universal search behavior | A single mandated model (rejected — too restrictive for different search contexts) | Requires clear per-instance documentation of which model applies | Result/loading-status boundary with KBDL-008 remains unaffected | None | None | None | None | Applies identically across profiles | None | `KBDL-CMP-025` | Item 4 only |",components-core.md — 35.2 Recommended Decisions — Ready for Approval — item 4,components-core.md — 35.2 Recommended Decisions — Ready for Approval — item 4,None,None,None,True
KBDL-CMP-029,"| 5 | Combobox-justification threshold | Adopt a threshold: a custom combobox is justified only when native select cannot support filtering/searching within a large option set (`KBDL-CMP-029`) | Keeps native select as the default, reserving the added ARIA complexity for genuine need | No threshold, leaving it to implementer judgment (rejected — invites unnecessary custom widgets) | Requires implementers to document why native select was insufficient | Reinforces native-semantics-first; the ARIA contract itself (`KBDL-CMP-028`) is unaffected | None | None | None | None | Applies identically across profiles | `KBDL-CMP-028` | `KBDL-CMP-029` | Item 5 only |",components-core.md — 35.2 Recommended Decisions — Ready for Approval — item 5,components-core.md — 35.2 Recommended Decisions — Ready for Approval — item 5,None,None,None,True
KBDL-CMP-036,"| 6 | Form action row reflow order | Adopt primary action first (top or leading) at every breakpoint, with secondary/cancel following, reversing to a stacked column at `compact` (`KBDL-CMP-036`) | Keeps the primary action most reachable and visually first regardless of viewport | Reversing order at `compact` (rejected — de-emphasizes the primary action exactly where thumb reach matters most) | None significant | None beyond what §23 already requires | Depends on eventual approved breakpoint values for exact stacking point | None | None | None | Applies identically across profiles | `KBDL-RSP-002` (eventual) | `KBDL-CMP-036` | Item 6 only |",components-core.md — 35.2 Recommended Decisions — Ready for Approval — item 6,components-core.md — 35.2 Recommended Decisions — Ready for Approval — item 6,None,None,None,True
KBDL-CMP-041,Explicit contingent/deferred source,components-core.md — §35.3 Unresolved or Not Approval-Ready — contingent item KBDL-CMP-041,components-core.md — §35.3 Unresolved or Not Approval-Ready — contingent item KBDL-CMP-041,None,None,None,True
