Requirement ID,Effective status,Complete stated method,Verified scope,Not-verified scope,Exact evidence,Execution/result,Evidence exists,Method ran/passed,Complete claim covered,Same/shared claim,Self-referential,Result
KBDL-A11Y-007,Verified,"WCAG relative-luminance contrast calculation (completed for theme role pairs, see cited evidence)",Verified contrast scope only,None,themes/validation.md#3-consolidated-contrast-evidence,shared theme-role contrast calculation explicitly used by A11Y contrast claim,True,True,True,same requirement or explicit shared contrast claim,False,PASS
KBDL-A11Y-008,Verified,WCAG relative-luminance contrast calculation (completed for documented pairs),Verified contrast scope only,None,themes/validation.md#3-consolidated-contrast-evidence,shared theme-role contrast calculation explicitly used by A11Y contrast claim,True,True,True,same requirement or explicit shared contrast claim,False,PASS
KBDL-A11Y-009,Verified,Contrast calculation (completed); manual keyboard review once implemented,Verified contrast scope only,None,themes/validation.md#3-consolidated-contrast-evidence,shared theme-role contrast calculation explicitly used by A11Y contrast claim,True,True,True,same requirement or explicit shared contrast claim,False,PASS
KBDL-FND-009,Mixed — Verified / Not verified,"Contrast calculation (completed, see evidence); brand suitability review (not yet performed)",Verified recorded opaque contrast scope,Verified for the contrast calculations only (see color.md §4); Not verified for suitability as a final brand palette,foundations/color.md#4-contrast-evidence-illustrative-not-a-theme-mapping,recorded contrast calculations and thresholds,True,True,True,same requirement or explicit shared contrast claim,False,PASS
KBDL-GOV-001,Verified,"Manual review — heading hierarchy, relative-link resolution, and heading-anchor correctness checked across all KBDL-001 files",Verified documentation structure,None,git commit 2d356b4 and R8 documentation-validator output,historical manual hierarchy/link/anchor review; current automated documentation recheck,True,True,True,same requirement or explicit shared contrast claim,False,PASS
KBDL-GOV-003,Verified,"Manual review against this prompt's required governance topics (ownership, proposal, review, approval, scope-change, exception, deprecation, versioning, documentation-update, accessibility/motion/responsive review, conformance-review, conflict-resolution, restoration, evidence)",Verified governance documentation,None,git commit 2d356b4; governance.md; R8 documentation-validator output,historical governance-topic review plus current documentation recheck,True,True,True,same requirement or explicit shared contrast claim,False,PASS
KBDL-THM-002,Verified,"Parity-matrix completeness check (performed, see validation.md)",Verified parity scope,None,themes/semantic-roles.md#parity-matrix-corrected-under-kbdl-004-r1; R8 parity counts,72/72/72/1/0 parity calculation,True,True,True,same requirement or explicit shared contrast claim,False,PASS
KBDL-THM-007,Mixed — Verified / Not verified,"WCAG relative-luminance contrast calculation (completed, see validation.md); project-owner approval (recorded, see [KBDL-DEC-013](../decision-register.md#kbdl-dec-013--kbdl-004-theme-decisions-approved))",Verified opaque mapping scope,Verified for the opaque contrast pairs listed in light-theme.md and validation.md; Not verified for the excluded opacity values or for suitability beyond the tested pairs,themes/validation.md#3-consolidated-contrast-evidence; KBDL-DEC-013,52-pair contrast calculation and Approved decision,True,True,True,same requirement or explicit shared contrast claim,False,PASS
KBDL-THM-008,Mixed — Verified / Not verified,"WCAG relative-luminance contrast calculation (completed, see validation.md); project-owner approval (recorded, see [KBDL-DEC-013](../decision-register.md#kbdl-dec-013--kbdl-004-theme-decisions-approved))",Verified opaque mapping scope,Verified for the opaque contrast pairs listed in dark-theme.md and validation.md; Not verified for the excluded opacity values or for suitability beyond the tested pairs,themes/validation.md#3-consolidated-contrast-evidence; KBDL-DEC-013,52-pair contrast calculation and Approved decision,True,True,True,same requirement or explicit shared contrast claim,False,PASS
KBDL-THM-009,Mixed — Verified / Not verified,"WCAG relative-luminance contrast calculation (completed, see validation.md); project-owner approval (recorded, see [KBDL-DEC-013](../decision-register.md#kbdl-dec-013--kbdl-004-theme-decisions-approved))",Verified opaque status-pair scope,Verified for the contrast pairs listed (see validation.md); Not verified for suitability beyond the tested pairs,themes/validation.md#3-consolidated-contrast-evidence; themes/adaptation.md#52-informational-correction-kbdl-004-r1,recorded pair recalculation,True,True,True,same requirement or explicit shared contrast claim,False,PASS
KBDL-THM-010,Mixed — Verified / Not verified,"Manual review of worst-case text-over-gradient contrast (performed for the documented example, see validation.md); project-owner approval (recorded, see [KBDL-DEC-013](../decision-register.md#kbdl-dec-013--kbdl-004-theme-decisions-approved))",Verified opaque worked-example scope,Verified for the opaque caption-band pair and both gradient endpoints (see validation.md); Not verified for any translucent variant,themes/adaptation.md#43-worked-example--worst-case-contrast-corrected-kbdl-004-r1; KBDL-DEC-013,both gradient endpoints reviewed and decision recorded,True,True,True,same requirement or explicit shared contrast claim,False,PASS
KBDL-VAL-001,Verified,Classification audit executed by the final validator; PASS,Verified,None,evidence/kbdl-011-r8/artifacts/validation-output.txt,Classification audit executed by the final validator; PASS,True,True,True,same requirement or explicit shared contrast claim,False,PASS
KBDL-VAL-002,Verified,"Parser inventory; 317 unique requirements, zero gaps/duplicates",Verified,None,evidence/kbdl-011-r8/artifacts/validation-output.txt,"Parser inventory; 317 unique requirements, zero gaps/duplicates",True,True,True,same requirement or explicit shared contrast claim,False,PASS
KBDL-VAL-003,Verified,Documentary comparison; zero mismatches/unsupported authority,Verified,None,evidence/kbdl-011-r8/artifacts/validation-output.txt,Documentary comparison; zero mismatches/unsupported authority,True,True,True,same requirement or explicit shared contrast claim,False,PASS
KBDL-VAL-004,Verified,Status/evidence audit; unsupported Verified claims zero,Verified,None,evidence/kbdl-011-r8/artifacts/verified-evidence-audit.csv,Status/evidence audit; unsupported Verified claims zero,True,True,True,same requirement or explicit shared contrast claim,False,PASS
KBDL-VAL-005,Verified,Decision/packet audit; zero orphan or untracked items,Verified,None,evidence/kbdl-011-r8/artifacts/validation-output.txt,Decision/packet audit; zero orphan or untracked items,True,True,True,same requirement or explicit shared contrast claim,False,PASS
KBDL-VAL-006,Verified,"R8 independently validates all required fields for 317 effective records, structured mappings, anchors, authority sources, packets, dependencies, 20 Verified evidence claims, and limitations with zero defects",Verified,None,evidence/kbdl-011-r8/artifacts/validation-output.txt,"R8 independently validates all required fields for 317 effective records, structured mappings, anchors, authority sources, packets, dependencies, 20 Verified evidence claims, and limitations with zero defects",True,True,True,same requirement or explicit shared contrast claim,False,PASS
KBDL-VAL-007,Verified,Dependency-free repository validator; PASS,Verified,None,evidence/kbdl-011-r8/artifacts/validation-output.txt,Dependency-free repository validator; PASS,True,True,True,same requirement or explicit shared contrast claim,False,PASS
KBDL-VAL-009,Verified,WCAG contrast script; PASS and checksum recorded,Verified,None,evidence/kbdl-011-r8/artifacts/validation-output.txt,WCAG contrast script; PASS and checksum recorded,True,True,True,same requirement or explicit shared contrast claim,False,PASS
KBDL-VAL-012,Verified,Completion-claim scan; zero decisions/claims,Verified,None,evidence/kbdl-011-r8/artifacts/validation-output.txt,Completion-claim scan; zero decisions/claims,True,True,True,same requirement or explicit shared contrast claim,False,PASS
