Requirement ID,Method,Evidence,Independent attribution rule,Mismatch
KBDL-A11Y-001,Manual + automated static accessibility check once implemented,Not verified — the requirement’s stated validation method has not been executed.,same requirement and stated method,None
KBDL-A11Y-002,Manual review once implemented,Not verified — the requirement’s stated validation method has not been executed.,same requirement and stated method,None
KBDL-A11Y-003,Automated static accessibility check + manual screen-reader review once implemented,Not verified — the requirement’s stated validation method has not been executed.,same requirement and stated method,None
KBDL-A11Y-004,Automated static check + manual review once implemented,Not verified — the requirement’s stated validation method has not been executed.,same requirement and stated method,None
KBDL-A11Y-005,Manual keyboard/screen-reader order review once implemented,Not verified — the requirement’s stated validation method has not been executed.,same requirement and stated method,None
KBDL-A11Y-006,Manual review once implemented,Not verified — the requirement’s stated validation method has not been executed.,same requirement and stated method,None
KBDL-A11Y-007,"WCAG relative-luminance contrast calculation (completed for theme role pairs, see cited evidence)",themes/validation.md §3 for the three Verified rows; not verified for the rest,same requirement and stated method,None
KBDL-A11Y-008,WCAG relative-luminance contrast calculation (completed for documented pairs),themes/validation.md §3 for the three Verified rows; not verified for the rest,same requirement and stated method,None
KBDL-A11Y-009,Contrast calculation (completed); manual keyboard review once implemented,themes/validation.md §3 for the three Verified rows; not verified for the rest,same requirement and stated method,None
KBDL-A11Y-010,Manual keyboard-focus review once implemented,Not verified — the requirement’s stated validation method has not been executed.,same requirement and stated method,None
KBDL-A11Y-011,Manual forced-colors testing once implemented; project-owner review (not yet performed),Not verified — the requirement’s stated validation method has not been executed.,same requirement and stated method,None
KBDL-A11Y-012,Manual zoom testing once implemented,Not verified — the requirement’s stated validation method has not been executed.,same requirement and stated method,None
KBDL-A11Y-013,Manual reflow testing once implemented,Not verified — the requirement’s stated validation method has not been executed.,same requirement and stated method,None
KBDL-A11Y-014,Manual text-spacing override testing once implemented,Not verified — the requirement’s stated validation method has not been executed.,same requirement and stated method,None
KBDL-A11Y-015,Manual orientation testing once implemented,Not verified — the requirement’s stated validation method has not been executed.,same requirement and stated method,None
KBDL-A11Y-016,Manual keyboard testing once implemented,Not verified — the requirement’s stated validation method has not been executed.,same requirement and stated method,None
KBDL-A11Y-017,Manual keyboard testing once implemented,Not verified — the requirement’s stated validation method has not been executed.,same requirement and stated method,None
KBDL-A11Y-018,Manual keyboard testing once implemented,Not verified — the requirement’s stated validation method has not been executed.,same requirement and stated method,None
KBDL-A11Y-019,Not applicable (umbrella section),Not applicable — no executed implementation claim is asserted for this requirement.,same requirement and stated method,None
KBDL-A11Y-020,Manual measurement once implemented,Not verified — the requirement’s stated validation method has not been executed.,same requirement and stated method,None
KBDL-A11Y-021,Project-owner review (not yet performed),Not applicable — no executed implementation claim is asserted for this requirement.,same requirement and stated method,None
KBDL-A11Y-022,Manual testing once implemented,Not verified — the requirement’s stated validation method has not been executed.,same requirement and stated method,None
KBDL-A11Y-023,Manual testing once implemented,Not verified — the requirement’s stated validation method has not been executed.,same requirement and stated method,None
KBDL-A11Y-024,Manual testing once implemented,Not verified — the requirement’s stated validation method has not been executed.,same requirement and stated method,None
KBDL-A11Y-025,Cross-reference only; see KBDL-MOT-022's own validation method,Not verified — the requirement’s stated validation method has not been executed.,same requirement and stated method,None
KBDL-A11Y-026,Flash-analysis testing once implemented (exact threshold measurement is implementation-dependent and deferred until an implementation exists),Not verified — the requirement’s stated validation method has not been executed.,same requirement and stated method,None
KBDL-A11Y-027,Manual testing once implemented,Not verified — the requirement’s stated validation method has not been executed.,same requirement and stated method,None
