Requirement ID,Lifecycle,In AR2 mapping,Population
KBDL-A11Y-001,Approved,False,Other Approved
KBDL-A11Y-002,Approved,False,Other Approved
KBDL-A11Y-003,Approved,False,Other Approved
KBDL-A11Y-004,Approved,False,Other Approved
KBDL-A11Y-005,Approved,False,Other Approved
KBDL-A11Y-006,Approved,False,Other Approved
KBDL-A11Y-007,Approved,False,Other Approved
KBDL-A11Y-008,Approved,False,Other Approved
KBDL-A11Y-009,Approved,False,Other Approved
KBDL-A11Y-010,Approved,False,Other Approved
KBDL-A11Y-011,Recommended,False,Non-Approved other
KBDL-A11Y-012,Approved,False,Other Approved
KBDL-A11Y-013,Approved,False,Other Approved
KBDL-A11Y-014,Approved,False,Other Approved
KBDL-A11Y-015,Approved,False,Other Approved
KBDL-A11Y-016,Approved,False,Other Approved
KBDL-A11Y-017,Approved,False,Other Approved
KBDL-A11Y-018,Approved,False,Other Approved
KBDL-A11Y-019,Approved,True,Approved prompt-derived
KBDL-A11Y-020,Approved,False,Other Approved
KBDL-A11Y-021,Recommended,False,Non-Approved other
KBDL-A11Y-022,Approved,False,Other Approved
KBDL-A11Y-023,Approved,False,Other Approved
KBDL-A11Y-024,Approved,False,Other Approved
KBDL-A11Y-025,Approved,False,Other Approved
KBDL-A11Y-026,Approved,False,Other Approved
KBDL-A11Y-027,Approved,False,Other Approved
KBDL-A11Y-028,Approved,False,Other Approved
KBDL-A11Y-029,Approved,False,Other Approved
KBDL-A11Y-030,Approved,False,Other Approved
KBDL-A11Y-031,Approved,False,Other Approved
KBDL-A11Y-032,Approved,False,Other Approved
KBDL-A11Y-033,Approved,False,Other Approved
KBDL-A11Y-034,Approved,False,Other Approved
KBDL-A11Y-035,Recommended,False,Non-Approved other
KBDL-A11Y-036,Approved,True,Approved prompt-derived
KBDL-A11Y-037,Approved,False,Other Approved
KBDL-A11Y-038,Approved,True,Approved prompt-derived
KBDL-A11Y-039,Approved,True,Approved prompt-derived
KBDL-A11Y-040,Approved,True,Approved prompt-derived
KBDL-CMP-001,Approved,True,Approved prompt-derived
KBDL-CMP-002,Approved,False,Other Approved
KBDL-CMP-003,Approved,False,Other Approved
KBDL-CMP-004,Approved,True,Approved prompt-derived
KBDL-CMP-005,Approved,True,Approved prompt-derived
KBDL-CMP-006,Approved,False,Other Approved
KBDL-CMP-007,Approved,False,Other Approved
KBDL-CMP-008,Approved,False,Other Approved
