Group,Requirement ID,Field,Resolved value,Source syntax,Resolution status,Defect details
2,KBDL-GOV-001,blueprint section,Specification architecture and governance foundation,uniform/shared summary,resolved,None
2,KBDL-GOV-001,roadmap prompt,KBDL-001,uniform/shared summary,resolved,None
2,KBDL-GOV-001,requirement id,KBDL-GOV-001,uniform/shared summary,resolved,None
2,KBDL-GOV-001,specification location,governance.md § KBDL-GOV-001,uniform/shared summary,resolved,None
2,KBDL-GOV-001,approval status,Approved,uniform/shared summary,resolved,None
2,KBDL-GOV-001,validation status,Verified,uniform/shared summary,resolved,None
2,KBDL-GOV-001,validation method,"Manual review — heading hierarchy, relative-link resolution, and heading-anchor correctness checked across all KBDL-001 files",uniform/shared summary,resolved,None
2,KBDL-GOV-001,validation evidence,Manual review recorded in commit 2d356b4 (KBDL-001 initial commit); re-checked for this remediation in commit-to-follow (see decision-register.md § KBDL-DEC-011),uniform/shared summary,resolved,None
2,KBDL-GOV-001,known limitation,"No automated Markdown linter or link checker was available in this environment; verification is manual, not tool-based",uniform/shared summary,resolved,None
2,KBDL-GOV-001,related decision,Not applicable,uniform/shared summary,non-overriding summary,Exact authoritative/per-ID value has precedence
2,KBDL-GOV-001,notes,Demonstrates the requirement-ID convention,uniform/shared summary,non-overriding summary,Exact authoritative/per-ID value has precedence
3,KBDL-GOV-002,blueprint section,WCAG 2.2 AA baseline with enhanced motion safety (locked-rule protection),uniform/shared summary,resolved,None
3,KBDL-GOV-002,roadmap prompt,KBDL-001,uniform/shared summary,resolved,None
3,KBDL-GOV-002,requirement id,KBDL-GOV-002,uniform/shared summary,resolved,None
3,KBDL-GOV-002,specification location,governance.md § KBDL-GOV-002,uniform/shared summary,resolved,None
3,KBDL-GOV-002,approval status,Approved,uniform/shared summary,resolved,None
3,KBDL-GOV-002,validation status,Not verified,uniform/shared summary,resolved,None
3,KBDL-GOV-002,validation method,Manual review; no automated check is applicable yet,uniform/shared summary,resolved,None
3,KBDL-GOV-002,validation evidence,Not verified — no A11Y requirement exists yet for this rule to be checked against,uniform/shared summary,resolved,None
3,KBDL-GOV-002,known limitation,"Cannot be validated against a real accessibility requirement, since none exist yet",uniform/shared summary,resolved,None
3,KBDL-GOV-002,related decision,KBDL-DEC-010,uniform/shared summary,resolved,None
3,KBDL-GOV-002,notes,Rule takes effect once A11Y requirements exist in a later module,uniform/shared summary,non-overriding summary,Exact authoritative/per-ID value has precedence
4,KBDL-GOV-003,blueprint section,Governance and change control,uniform/shared summary,resolved,None
4,KBDL-GOV-003,roadmap prompt,KBDL-001,uniform/shared summary,resolved,None
4,KBDL-GOV-003,requirement id,KBDL-GOV-003,uniform/shared summary,resolved,None
4,KBDL-GOV-003,specification location,governance.md § KBDL-GOV-003,uniform/shared summary,resolved,None
4,KBDL-GOV-003,approval status,Approved,uniform/shared summary,resolved,None
4,KBDL-GOV-003,validation status,Verified,uniform/shared summary,resolved,None
4,KBDL-GOV-003,validation method,"Manual review against this prompt's required governance topics (ownership, proposal, review, approval, scope-change, exception, deprecation, versioning, documentation-update, accessibility/motion/responsive review, conformance-review, conflict-resolution, restoration, evidence)",uniform/shared summary,resolved,None
4,KBDL-GOV-003,validation evidence,"Manual review recorded in commit 2d356b4, corrected in the remediation commit for this status-model fix",uniform/shared summary,resolved,None
4,KBDL-GOV-003,known limitation,None identified,uniform/shared summary,resolved,None
4,KBDL-GOV-003,related decision,Not applicable,uniform/shared summary,non-overriding summary,Exact authoritative/per-ID value has precedence
4,KBDL-GOV-003,notes,Establishes change control before design content exists,uniform/shared summary,non-overriding summary,Exact authoritative/per-ID value has precedence
15,KBDL-PRN-001,blueprint section,"KBDL identity, personality, and explicit exclusions",uniform/shared summary,resolved,None
15,KBDL-PRN-001,roadmap prompt,KBDL-002,uniform/shared summary,resolved,None
15,KBDL-PRN-001,requirement id,KBDL-PRN-001,uniform/shared summary,resolved,None
15,KBDL-PRN-001,specification location,principles.md § 1,uniform/shared summary,resolved,None
15,KBDL-PRN-001,approval status,Approved,uniform/shared summary,resolved,None
15,KBDL-PRN-001,validation status,Not verified,uniform/shared summary,resolved,None
15,KBDL-PRN-001,validation method,Manual design review against Section 1 at each later module's approval gate,uniform/shared summary,non-overriding summary,Exact authoritative/per-ID value has precedence
15,KBDL-PRN-001,validation evidence,"Not verified — validation method has not yet been run against a later module, since none exist yet",uniform/shared summary,resolved,None
15,KBDL-PRN-001,known limitation,"Cannot be checked against real foundation, theme, or component content until those modules exist",uniform/shared summary,resolved,None
