Requirement ID,Method clause,Evidence source,Evidence passage/result field,Execution proof,Coverage result,Remaining Not-verified scope,Overall result
KBDL-A11Y-007,"WCAG relative-luminance contrast calculation (completed for theme role pairs, see cited evidence)",themes/validation.md §3 for the three Verified rows; not verified for the rest,Not semantically revalidated in R10,BLOCKED by unresolved authority/fixed-point precondition,NOT VERIFIED,None,BLOCKED
KBDL-A11Y-008,WCAG relative-luminance contrast calculation (completed for documented pairs),themes/validation.md §3 for the three Verified rows; not verified for the rest,Not semantically revalidated in R10,BLOCKED by unresolved authority/fixed-point precondition,NOT VERIFIED,None,BLOCKED
KBDL-A11Y-009,Contrast calculation (completed),themes/validation.md §3 for the three Verified rows; not verified for the rest,Not semantically revalidated in R10,BLOCKED by unresolved authority/fixed-point precondition,NOT VERIFIED,None,BLOCKED
KBDL-A11Y-009,manual keyboard review once implemented,themes/validation.md §3 for the three Verified rows; not verified for the rest,Not semantically revalidated in R10,BLOCKED by unresolved authority/fixed-point precondition,NOT VERIFIED,None,BLOCKED
KBDL-FND-009,"Contrast calculation (completed, see evidence)","Contrast-ratio table in foundations/color.md §4, computed via a local dependency-free script (see the KBDL-003 validation evidence for the script and full output). Updated under KBDL-003-R1: neutral-50 (3.25:1) was found to fail the 4.5:1 normal-text threshold and is now restricted to large-text/non-text-UI/decorative use only; a new neutral-60 (5.59:1) was added and verified as the safe value for normal-sized secondary/tertiary text",Not semantically revalidated in R10,BLOCKED by unresolved authority/fixed-point precondition,NOT VERIFIED,Verified for the contrast calculations only (see color.md §4); Not verified for suitability as a final brand palette,BLOCKED
KBDL-FND-009,brand suitability review (not yet performed),"Contrast-ratio table in foundations/color.md §4, computed via a local dependency-free script (see the KBDL-003 validation evidence for the script and full output). Updated under KBDL-003-R1: neutral-50 (3.25:1) was found to fail the 4.5:1 normal-text threshold and is now restricted to large-text/non-text-UI/decorative use only; a new neutral-60 (5.59:1) was added and verified as the safe value for normal-sized secondary/tertiary text",Not semantically revalidated in R10,BLOCKED by unresolved authority/fixed-point precondition,NOT VERIFIED,Verified for the contrast calculations only (see color.md §4); Not verified for suitability as a final brand palette,BLOCKED
KBDL-GOV-001,"Manual review — heading hierarchy, relative-link resolution,",Manual review recorded in commit 2d356b4 (KBDL-001 initial commit); re-checked for this remediation in commit-to-follow (see decision-register.md § KBDL-DEC-011),Not semantically revalidated in R10,BLOCKED by unresolved authority/fixed-point precondition,NOT VERIFIED,None,BLOCKED
KBDL-GOV-001,heading-anchor correctness checked across all KBDL-001 files,Manual review recorded in commit 2d356b4 (KBDL-001 initial commit); re-checked for this remediation in commit-to-follow (see decision-register.md § KBDL-DEC-011),Not semantically revalidated in R10,BLOCKED by unresolved authority/fixed-point precondition,NOT VERIFIED,None,BLOCKED
KBDL-GOV-003,"Manual review against this prompt's required governance topics (ownership, proposal, review, approval, scope-change, exception, deprecation, versioning, documentation-update, accessibility/motion/responsive review, conformance-review, conflict-resolution, restoration, evidence)","Manual review recorded in commit 2d356b4, corrected in the remediation commit for this status-model fix",Not semantically revalidated in R10,BLOCKED by unresolved authority/fixed-point precondition,NOT VERIFIED,None,BLOCKED
KBDL-THM-002,"Parity-matrix completeness check (performed, see validation.md)","Parity matrix in themes/semantic-roles.md § Parity Matrix — 72 unique roles, 72 light mappings, 72 dark mappings, 1 role-level alias (corrected under KBDL-004-R3, previously miscounted as 2), 0 unresolved; recorded in the KBDL-004-R3 commit. The KBDL-004-R1 re-run found and fixed a real table-formatting defect (an inserted paragraph had broken the Status Families table in light-theme.md §5, orphaning its ""Neutral status"" row)",Not semantically revalidated in R10,BLOCKED by unresolved authority/fixed-point precondition,NOT VERIFIED,None,BLOCKED
KBDL-THM-007,"WCAG relative-luminance contrast calculation (completed, see validation.md)","themes/validation.md §3 — 52 pairs tested, all opaque, all passing their applicable threshold except 4 explicitly decorative-exempt borders/gridlines. The two Informational failures identified in the original KBDL-004 report (3.78:1, 4.21:1) are resolved by a revised hue (#164499) for the Text/Icon/Border/Strong-surface roles, with neutral-10 correctly retained for On-strong-surface content (role assignment corrected under KBDL-004-R2) — see adaptation.md §5.2. The Media caption row was corrected under KBDL-004-R2 to describe a fully opaque neutral-100 band (17.17:1 is directly correct for this pair, not inherited or assumed)",Not semantically revalidated in R10,BLOCKED by unresolved authority/fixed-point precondition,NOT VERIFIED,Verified for the opaque contrast pairs listed in light-theme.md and validation.md; Not verified for the excluded opacity values or for suitability beyond the tested pairs,BLOCKED
KBDL-THM-007,"project-owner approval (recorded, see [KBDL-DEC-013](../decision-register.md#kbdl-dec-013--kbdl-004-theme-decisions-approved))","themes/validation.md §3 — 52 pairs tested, all opaque, all passing their applicable threshold except 4 explicitly decorative-exempt borders/gridlines. The two Informational failures identified in the original KBDL-004 report (3.78:1, 4.21:1) are resolved by a revised hue (#164499) for the Text/Icon/Border/Strong-surface roles, with neutral-10 correctly retained for On-strong-surface content (role assignment corrected under KBDL-004-R2) — see adaptation.md §5.2. The Media caption row was corrected under KBDL-004-R2 to describe a fully opaque neutral-100 band (17.17:1 is directly correct for this pair, not inherited or assumed)",Not semantically revalidated in R10,BLOCKED by unresolved authority/fixed-point precondition,NOT VERIFIED,Verified for the opaque contrast pairs listed in light-theme.md and validation.md; Not verified for the excluded opacity values or for suitability beyond the tested pairs,BLOCKED
KBDL-THM-008,"WCAG relative-luminance contrast calculation (completed, see validation.md)","themes/validation.md §3 — 52 pairs tested, all opaque, all passing their applicable threshold except 4 explicitly decorative-exempt borders/gridlines. The two Informational failures identified in the original KBDL-004 report (3.78:1, 4.21:1) are resolved by a revised hue (#164499) for the Text/Icon/Border/Strong-surface roles, with neutral-10 correctly retained for On-strong-surface content (role assignment corrected under KBDL-004-R2) — see adaptation.md §5.2. The Media caption row was corrected under KBDL-004-R2 to describe a fully opaque neutral-100 band (17.17:1 is directly correct for this pair, not inherited or assumed)",Not semantically revalidated in R10,BLOCKED by unresolved authority/fixed-point precondition,NOT VERIFIED,Verified for the opaque contrast pairs listed in dark-theme.md and validation.md; Not verified for the excluded opacity values or for suitability beyond the tested pairs,BLOCKED
KBDL-THM-008,"project-owner approval (recorded, see [KBDL-DEC-013](../decision-register.md#kbdl-dec-013--kbdl-004-theme-decisions-approved))","themes/validation.md §3 — 52 pairs tested, all opaque, all passing their applicable threshold except 4 explicitly decorative-exempt borders/gridlines. The two Informational failures identified in the original KBDL-004 report (3.78:1, 4.21:1) are resolved by a revised hue (#164499) for the Text/Icon/Border/Strong-surface roles, with neutral-10 correctly retained for On-strong-surface content (role assignment corrected under KBDL-004-R2) — see adaptation.md §5.2. The Media caption row was corrected under KBDL-004-R2 to describe a fully opaque neutral-100 band (17.17:1 is directly correct for this pair, not inherited or assumed)",Not semantically revalidated in R10,BLOCKED by unresolved authority/fixed-point precondition,NOT VERIFIED,Verified for the opaque contrast pairs listed in dark-theme.md and validation.md; Not verified for the excluded opacity values or for suitability beyond the tested pairs,BLOCKED
KBDL-THM-009,"WCAG relative-luminance contrast calculation (completed, see validation.md)","themes/validation.md §3 for the recalculated pairs and themes/adaptation.md §5.2 for the Informational correction record. themes/adaptation.md §4.3 documents both gradient endpoints tested against both candidate text colors and the corrected, fully-opaque caption-band resolution (KBDL-004-R2)",Not semantically revalidated in R10,BLOCKED by unresolved authority/fixed-point precondition,NOT VERIFIED,Verified for the contrast pairs listed (see validation.md); Not verified for suitability beyond the tested pairs,BLOCKED
KBDL-THM-009,"project-owner approval (recorded, see [KBDL-DEC-013](../decision-register.md#kbdl-dec-013--kbdl-004-theme-decisions-approved))","themes/validation.md §3 for the recalculated pairs and themes/adaptation.md §5.2 for the Informational correction record. themes/adaptation.md §4.3 documents both gradient endpoints tested against both candidate text colors and the corrected, fully-opaque caption-band resolution (KBDL-004-R2)",Not semantically revalidated in R10,BLOCKED by unresolved authority/fixed-point precondition,NOT VERIFIED,Verified for the contrast pairs listed (see validation.md); Not verified for suitability beyond the tested pairs,BLOCKED
KBDL-THM-010,"Manual review of worst-case text-over-gradient contrast (performed for the documented example, see validation.md)","themes/validation.md §3 for the recalculated pairs and themes/adaptation.md §5.2 for the Informational correction record. themes/adaptation.md §4.3 documents both gradient endpoints tested against both candidate text colors and the corrected, fully-opaque caption-band resolution (KBDL-004-R2)",Not semantically revalidated in R10,BLOCKED by unresolved authority/fixed-point precondition,NOT VERIFIED,Verified for the opaque caption-band pair and both gradient endpoints (see validation.md); Not verified for any translucent variant,BLOCKED
KBDL-THM-010,"project-owner approval (recorded, see [KBDL-DEC-013](../decision-register.md#kbdl-dec-013--kbdl-004-theme-decisions-approved))","themes/validation.md §3 for the recalculated pairs and themes/adaptation.md §5.2 for the Informational correction record. themes/adaptation.md §4.3 documents both gradient endpoints tested against both candidate text colors and the corrected, fully-opaque caption-band resolution (KBDL-004-R2)",Not semantically revalidated in R10,BLOCKED by unresolved authority/fixed-point precondition,NOT VERIFIED,Verified for the opaque caption-band pair and both gradient endpoints (see validation.md); Not verified for any translucent variant,BLOCKED
KBDL-VAL-001,Classification audit executed by the final validator,Executed evidence — docs/kbdl/evidence/kbdl-011-r8/artifacts/validation-output.txt; stated repository method PASS.,Not semantically revalidated in R10,BLOCKED by unresolved authority/fixed-point precondition,NOT VERIFIED,None,BLOCKED
KBDL-VAL-001,PASS,Executed evidence — docs/kbdl/evidence/kbdl-011-r8/artifacts/validation-output.txt; stated repository method PASS.,Not semantically revalidated in R10,BLOCKED by unresolved authority/fixed-point precondition,NOT VERIFIED,None,BLOCKED
KBDL-VAL-002,Parser inventory,Executed evidence — docs/kbdl/evidence/kbdl-011-r8/artifacts/validation-output.txt; stated repository method PASS.,Not semantically revalidated in R10,BLOCKED by unresolved authority/fixed-point precondition,NOT VERIFIED,None,BLOCKED
KBDL-VAL-002,"317 unique requirements, zero gaps/duplicates",Executed evidence — docs/kbdl/evidence/kbdl-011-r8/artifacts/validation-output.txt; stated repository method PASS.,Not semantically revalidated in R10,BLOCKED by unresolved authority/fixed-point precondition,NOT VERIFIED,None,BLOCKED
KBDL-VAL-005,Decision/packet audit,Executed evidence — docs/kbdl/evidence/kbdl-011-r8/artifacts/validation-output.txt; stated repository method PASS.,Not semantically revalidated in R10,BLOCKED by unresolved authority/fixed-point precondition,NOT VERIFIED,None,BLOCKED
KBDL-VAL-005,zero orphan or untracked items,Executed evidence — docs/kbdl/evidence/kbdl-011-r8/artifacts/validation-output.txt; stated repository method PASS.,Not semantically revalidated in R10,BLOCKED by unresolved authority/fixed-point precondition,NOT VERIFIED,None,BLOCKED
KBDL-VAL-009,WCAG contrast script,Executed evidence — docs/kbdl/evidence/kbdl-011-r8/artifacts/validation-output.txt; stated repository method PASS.,Not semantically revalidated in R10,BLOCKED by unresolved authority/fixed-point precondition,NOT VERIFIED,None,BLOCKED
KBDL-VAL-009,PASS,Executed evidence — docs/kbdl/evidence/kbdl-011-r8/artifacts/validation-output.txt; stated repository method PASS.,Not semantically revalidated in R10,BLOCKED by unresolved authority/fixed-point precondition,NOT VERIFIED,None,BLOCKED
KBDL-VAL-009,checksum recorded,Executed evidence — docs/kbdl/evidence/kbdl-011-r8/artifacts/validation-output.txt; stated repository method PASS.,Not semantically revalidated in R10,BLOCKED by unresolved authority/fixed-point precondition,NOT VERIFIED,None,BLOCKED
KBDL-VAL-012,Completion-claim scan,Executed evidence — docs/kbdl/evidence/kbdl-011-r8/artifacts/validation-output.txt; stated repository method PASS.,Not semantically revalidated in R10,BLOCKED by unresolved authority/fixed-point precondition,NOT VERIFIED,None,BLOCKED
KBDL-VAL-012,zero decisions/claims,Executed evidence — docs/kbdl/evidence/kbdl-011-r8/artifacts/validation-output.txt; stated repository method PASS.,Not semantically revalidated in R10,BLOCKED by unresolved authority/fixed-point precondition,NOT VERIFIED,None,BLOCKED
