Requirement ID,Normative dependency,Packet/tracking basis,Ledger dependency,Classification,Result
KBDL-A11Y-001,ABSENT,Explicit None,None,Explicit none,PASS
KBDL-A11Y-002,ABSENT,Explicit None,None,Explicit none,PASS
KBDL-A11Y-003,ABSENT,Explicit None,None,Explicit none,PASS
KBDL-A11Y-004,ABSENT,Explicit None,None,Explicit none,PASS
KBDL-A11Y-005,ABSENT,Explicit None,None,Explicit none,PASS
KBDL-A11Y-006,ABSENT,Explicit None,None,Explicit none,PASS
KBDL-A11Y-007,ABSENT,Explicit None,None,Explicit none,PASS
KBDL-A11Y-008,ABSENT,Explicit None,None,Explicit none,PASS
KBDL-A11Y-009,ABSENT,Explicit None,None,Explicit none,PASS
KBDL-A11Y-010,ABSENT,Explicit None,None,Explicit none,PASS
KBDL-A11Y-011,ABSENT,Packet/tracking record,None,Explicit none,PASS
KBDL-A11Y-012,ABSENT,Explicit None,None,Explicit none,PASS
KBDL-A11Y-013,ABSENT,Explicit None,None,Explicit none,PASS
KBDL-A11Y-014,ABSENT,Explicit None,None,Explicit none,PASS
KBDL-A11Y-015,ABSENT,Explicit None,None,Explicit none,PASS
KBDL-A11Y-016,ABSENT,Explicit None,None,Explicit none,PASS
KBDL-A11Y-017,ABSENT,Explicit None,None,Explicit none,PASS
KBDL-A11Y-018,ABSENT,Explicit None,None,Explicit none,PASS
KBDL-A11Y-019,ABSENT,Explicit None,None,Explicit none,PASS
KBDL-A11Y-020,ABSENT,Explicit None,None,Explicit none,PASS
KBDL-A11Y-021,ABSENT,Packet/tracking record,None,Explicit none,PASS
KBDL-A11Y-022,ABSENT,Explicit None,None,Explicit none,PASS
KBDL-A11Y-023,ABSENT,Explicit None,None,Explicit none,PASS
KBDL-A11Y-024,ABSENT,Explicit None,None,Explicit none,PASS
KBDL-A11Y-025,ABSENT,Explicit None,None,Explicit none,PASS
KBDL-A11Y-026,ABSENT,Explicit None,None,Explicit none,PASS
KBDL-A11Y-027,ABSENT,Explicit None,None,Explicit none,PASS
KBDL-A11Y-028,ABSENT,Explicit None,None,Explicit none,PASS
KBDL-A11Y-029,ABSENT,Explicit None,None,Explicit none,PASS
KBDL-A11Y-030,ABSENT,Explicit None,None,Explicit none,PASS
KBDL-A11Y-031,ABSENT,Explicit None,None,Explicit none,PASS
KBDL-A11Y-032,ABSENT,Explicit None,None,Explicit none,PASS
KBDL-A11Y-033,ABSENT,Explicit None,None,Explicit none,PASS
KBDL-A11Y-034,ABSENT,Explicit None,None,Explicit none,PASS
KBDL-A11Y-035,ABSENT,Packet/tracking record,None,Explicit none,PASS
KBDL-A11Y-036,ABSENT,Explicit None,None,Explicit none,PASS
KBDL-A11Y-037,ABSENT,Explicit None,None,Explicit none,PASS
KBDL-A11Y-038,ABSENT,Explicit None,None,Explicit none,PASS
KBDL-A11Y-039,ABSENT,Explicit None,None,Explicit none,PASS
KBDL-A11Y-040,ABSENT,Explicit None,None,Explicit none,PASS
KBDL-CMP-001,ABSENT,Explicit None,None,Explicit none,PASS
KBDL-CMP-002,ABSENT,Explicit None,None,Explicit none,PASS
KBDL-CMP-003,ABSENT,Explicit None,None,Explicit none,PASS
KBDL-CMP-004,ABSENT,Explicit None,None,Explicit none,PASS
KBDL-CMP-005,ABSENT,Explicit None,None,Explicit none,PASS
KBDL-CMP-006,ABSENT,Explicit None,None,Explicit none,PASS
KBDL-CMP-007,ABSENT,Explicit None,None,Explicit none,PASS
KBDL-CMP-008,ABSENT,Explicit None,None,Explicit none,PASS
KBDL-CMP-009,ABSENT,Explicit None,None,Explicit none,PASS
KBDL-CMP-010,ABSENT,Explicit None,None,Explicit none,PASS
