Requirement ID,Authority kind,Normative authority expression,Resolved targets,Historical prompt approval,Result,Defect details
KBDL-A11Y-001,other,UNRESOLVED,None,UNRECOVERED where prompt-derived,UNRESOLVED,complete authority expression absent from normative block
KBDL-A11Y-002,other,UNRESOLVED,None,UNRECOVERED where prompt-derived,UNRESOLVED,complete authority expression absent from normative block
KBDL-A11Y-003,other,UNRESOLVED,None,UNRECOVERED where prompt-derived,UNRESOLVED,complete authority expression absent from normative block
KBDL-A11Y-004,other,UNRESOLVED,None,UNRECOVERED where prompt-derived,UNRESOLVED,complete authority expression absent from normative block
KBDL-A11Y-005,other,UNRESOLVED,None,UNRECOVERED where prompt-derived,UNRESOLVED,complete authority expression absent from normative block
KBDL-A11Y-006,other,UNRESOLVED,None,UNRECOVERED where prompt-derived,UNRESOLVED,complete authority expression absent from normative block
KBDL-A11Y-007,other,UNRESOLVED,None,UNRECOVERED where prompt-derived,UNRESOLVED,complete authority expression absent from normative block
KBDL-A11Y-008,other,UNRESOLVED,None,UNRECOVERED where prompt-derived,UNRESOLVED,complete authority expression absent from normative block
KBDL-A11Y-009,other,UNRESOLVED,None,UNRECOVERED where prompt-derived,UNRESOLVED,complete authority expression absent from normative block
KBDL-A11Y-010,other,UNRESOLVED,None,UNRECOVERED where prompt-derived,UNRESOLVED,complete authority expression absent from normative block
KBDL-A11Y-012,other,UNRESOLVED,None,UNRECOVERED where prompt-derived,UNRESOLVED,complete authority expression absent from normative block
KBDL-A11Y-013,other,UNRESOLVED,None,UNRECOVERED where prompt-derived,UNRESOLVED,complete authority expression absent from normative block
KBDL-A11Y-014,other,UNRESOLVED,None,UNRECOVERED where prompt-derived,UNRESOLVED,complete authority expression absent from normative block
KBDL-A11Y-015,other,UNRESOLVED,None,UNRECOVERED where prompt-derived,UNRESOLVED,complete authority expression absent from normative block
KBDL-A11Y-016,other,UNRESOLVED,None,UNRECOVERED where prompt-derived,UNRESOLVED,complete authority expression absent from normative block
KBDL-A11Y-017,other,UNRESOLVED,None,UNRECOVERED where prompt-derived,UNRESOLVED,complete authority expression absent from normative block
KBDL-A11Y-018,other,UNRESOLVED,None,UNRECOVERED where prompt-derived,UNRESOLVED,complete authority expression absent from normative block
KBDL-A11Y-019,prompt-derived,UNRESOLVED,AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
KBDL-A11Y-020,other,UNRESOLVED,None,UNRECOVERED where prompt-derived,UNRESOLVED,complete authority expression absent from normative block
KBDL-A11Y-022,other,UNRESOLVED,None,UNRECOVERED where prompt-derived,UNRESOLVED,complete authority expression absent from normative block
KBDL-A11Y-023,other,UNRESOLVED,None,UNRECOVERED where prompt-derived,UNRESOLVED,complete authority expression absent from normative block
KBDL-A11Y-024,other,UNRESOLVED,None,UNRECOVERED where prompt-derived,UNRESOLVED,complete authority expression absent from normative block
KBDL-A11Y-025,other,UNRESOLVED,None,UNRECOVERED where prompt-derived,UNRESOLVED,complete authority expression absent from normative block
KBDL-A11Y-026,other,UNRESOLVED,None,UNRECOVERED where prompt-derived,UNRESOLVED,complete authority expression absent from normative block
KBDL-A11Y-027,other,UNRESOLVED,None,UNRECOVERED where prompt-derived,UNRESOLVED,complete authority expression absent from normative block
KBDL-A11Y-028,other,UNRESOLVED,None,UNRECOVERED where prompt-derived,UNRESOLVED,complete authority expression absent from normative block
KBDL-A11Y-029,other,UNRESOLVED,None,UNRECOVERED where prompt-derived,UNRESOLVED,complete authority expression absent from normative block
KBDL-A11Y-030,other,UNRESOLVED,None,UNRECOVERED where prompt-derived,UNRESOLVED,complete authority expression absent from normative block
KBDL-A11Y-031,other,UNRESOLVED,None,UNRECOVERED where prompt-derived,UNRESOLVED,complete authority expression absent from normative block
KBDL-A11Y-032,other,UNRESOLVED,None,UNRECOVERED where prompt-derived,UNRESOLVED,complete authority expression absent from normative block
KBDL-A11Y-033,other,UNRESOLVED,None,UNRECOVERED where prompt-derived,UNRESOLVED,complete authority expression absent from normative block
KBDL-A11Y-034,other,UNRESOLVED,None,UNRECOVERED where prompt-derived,UNRESOLVED,complete authority expression absent from normative block
KBDL-A11Y-036,prompt-derived,UNRESOLVED,AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
KBDL-A11Y-037,other,UNRESOLVED,None,UNRECOVERED where prompt-derived,UNRESOLVED,complete authority expression absent from normative block
KBDL-A11Y-038,prompt-derived,UNRESOLVED,AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
KBDL-A11Y-039,prompt-derived,UNRESOLVED,AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
KBDL-A11Y-040,prompt-derived,UNRESOLVED,AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
KBDL-CMP-001,prompt-derived,UNRESOLVED,AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
KBDL-CMP-002,other,UNRESOLVED,None,UNRECOVERED where prompt-derived,UNRESOLVED,complete authority expression absent from normative block
KBDL-CMP-003,other,UNRESOLVED,None,UNRECOVERED where prompt-derived,UNRESOLVED,complete authority expression absent from normative block
KBDL-CMP-004,prompt-derived,UNRESOLVED,AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
KBDL-CMP-005,prompt-derived,UNRESOLVED,AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
KBDL-CMP-006,other,UNRESOLVED,None,UNRECOVERED where prompt-derived,UNRESOLVED,complete authority expression absent from normative block
KBDL-CMP-007,other,UNRESOLVED,None,UNRECOVERED where prompt-derived,UNRESOLVED,complete authority expression absent from normative block
KBDL-CMP-008,other,UNRESOLVED,None,UNRECOVERED where prompt-derived,UNRESOLVED,complete authority expression absent from normative block
KBDL-CMP-009,other,UNRESOLVED,None,UNRECOVERED where prompt-derived,UNRESOLVED,complete authority expression absent from normative block
KBDL-CMP-010,other,UNRESOLVED,None,UNRECOVERED where prompt-derived,UNRESOLVED,complete authority expression absent from normative block
KBDL-CMP-011,prompt-derived,UNRESOLVED,AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
KBDL-CMP-012,prompt-derived,UNRESOLVED,AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
KBDL-CMP-013,prompt-derived,UNRESOLVED,AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
KBDL-CMP-014,prompt-derived,UNRESOLVED,AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
KBDL-CMP-016,other,UNRESOLVED,None,UNRECOVERED where prompt-derived,UNRESOLVED,complete authority expression absent from normative block
KBDL-CMP-018,other,UNRESOLVED,None,UNRECOVERED where prompt-derived,UNRESOLVED,complete authority expression absent from normative block
KBDL-CMP-019,other,UNRESOLVED,None,UNRECOVERED where prompt-derived,UNRESOLVED,complete authority expression absent from normative block
KBDL-CMP-021,other,UNRESOLVED,None,UNRECOVERED where prompt-derived,UNRESOLVED,complete authority expression absent from normative block
KBDL-CMP-022,other,UNRESOLVED,None,UNRECOVERED where prompt-derived,UNRESOLVED,complete authority expression absent from normative block
KBDL-CMP-023,prompt-derived,UNRESOLVED,AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
KBDL-CMP-024,other,UNRESOLVED,None,UNRECOVERED where prompt-derived,UNRESOLVED,complete authority expression absent from normative block
KBDL-CMP-026,prompt-derived,UNRESOLVED,AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
KBDL-CMP-027,prompt-derived,UNRESOLVED,AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
KBDL-CMP-028,other,UNRESOLVED,None,UNRECOVERED where prompt-derived,UNRESOLVED,complete authority expression absent from normative block
KBDL-CMP-030,prompt-derived,UNRESOLVED,AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
KBDL-CMP-031,prompt-derived,UNRESOLVED,AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
KBDL-CMP-032,other,UNRESOLVED,None,UNRECOVERED where prompt-derived,UNRESOLVED,complete authority expression absent from normative block
KBDL-CMP-033,prompt-derived,UNRESOLVED,AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
KBDL-CMP-034,prompt-derived,UNRESOLVED,AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
KBDL-CMP-035,prompt-derived,UNRESOLVED,AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
KBDL-CMP-037,other,UNRESOLVED,None,UNRECOVERED where prompt-derived,UNRESOLVED,complete authority expression absent from normative block
KBDL-CMP-038,other,UNRESOLVED,None,UNRECOVERED where prompt-derived,UNRESOLVED,complete authority expression absent from normative block
KBDL-CMP-039,prompt-derived,UNRESOLVED,AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
KBDL-CMP-040,prompt-derived,UNRESOLVED,AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
KBDL-CMP-042,prompt-derived,UNRESOLVED,AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
KBDL-CMP-043,prompt-derived,UNRESOLVED,AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
KBDL-CMP-045,other,UNRESOLVED,None,UNRECOVERED where prompt-derived,UNRESOLVED,complete authority expression absent from normative block
KBDL-CMP-047,prompt-derived,UNRESOLVED,AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
KBDL-CMP-049,prompt-derived,UNRESOLVED,AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
KBDL-CMP-050,prompt-derived,UNRESOLVED,AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
KBDL-CMP-051,prompt-derived,UNRESOLVED,AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
KBDL-CMP-052,other,UNRESOLVED,None,UNRECOVERED where prompt-derived,UNRESOLVED,complete authority expression absent from normative block
KBDL-CMP-053,other,UNRESOLVED,None,UNRECOVERED where prompt-derived,UNRESOLVED,complete authority expression absent from normative block
KBDL-CMP-054,other,UNRESOLVED,None,UNRECOVERED where prompt-derived,UNRESOLVED,complete authority expression absent from normative block
KBDL-CMP-055,prompt-derived,UNRESOLVED,AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
KBDL-CMP-056,other,UNRESOLVED,None,UNRECOVERED where prompt-derived,UNRESOLVED,complete authority expression absent from normative block
KBDL-CMP-057,other,UNRESOLVED,None,UNRECOVERED where prompt-derived,UNRESOLVED,complete authority expression absent from normative block
KBDL-CMP-058,other,UNRESOLVED,None,UNRECOVERED where prompt-derived,UNRESOLVED,complete authority expression absent from normative block
KBDL-CMP-059,other,UNRESOLVED,None,UNRECOVERED where prompt-derived,UNRESOLVED,complete authority expression absent from normative block
KBDL-CMP-060,prompt-derived,UNRESOLVED,AR2 confirmation,UNRECOVERED where prompt-derived,PASS,None
KBDL-CMP-061,other,UNRESOLVED,None,UNRECOVERED where prompt-derived,UNRESOLVED,complete authority expression absent from normative block
KBDL-CMP-062,other,UNRESOLVED,None,UNRECOVERED where prompt-derived,UNRESOLVED,complete authority expression absent from normative block
KBDL-CMP-063,other,UNRESOLVED,None,UNRECOVERED where prompt-derived,UNRESOLVED,complete authority expression absent from normative block
KBDL-CMP-064,other,UNRESOLVED,None,UNRECOVERED where prompt-derived,UNRESOLVED,complete authority expression absent from normative block
KBDL-CMP-065,other,UNRESOLVED,None,UNRECOVERED where prompt-derived,UNRESOLVED,complete authority expression absent from normative block
KBDL-CMP-066,other,UNRESOLVED,None,UNRECOVERED where prompt-derived,UNRESOLVED,complete authority expression absent from normative block
