Requirement ID,Field name,Field ownership class,Primary source type,Primary source path,Primary source section or anchor,Derivation rule,Authoritative expected value,Normative-block value,Approved-decision or confirmation value,Ledger value,Readable-group value,Effective value,Precedence result,Conflict result,Validation result,Defect details
KBDL-A11Y-001,Requirement ID,A — Normative-owned,Normative requirement block,accessibility.md,KBDL-A11Y-001,ID parsed from normative block heading,KBDL-A11Y-001,KBDL-A11Y-001,Not applicable,KBDL-A11Y-001,GROUP PRESENT,KBDL-A11Y-001,Higher source preserved,None,PASS,None
KBDL-A11Y-001,Blueprint section,C — Traceability-owned administrative metadata,Exact per-ID ledger with derivation rule,traceability-metadata.csv,KBDL-A11Y-001,Administrative grouping derived from readable traceability group,Text alternatives; captions; semantic structure; landmarks; reading/focus order; color independence; text/non-text contrast; focus visibility/obscuration; text spacing; keyboard operability/traps/bypass; pointer cancellation; dragging/gesture alternatives; motion actuation; reduced-motion cross-reference; flashing; timing/automatic movement; forms/labels/autocomplete; error identification/prevention; status messages; authentication; plain language; consistent navigation/help; media controls cross-reference; data presentation; mobile/virtual-keyboard cross-reference; profile consistency,ABSENT,Not applicable,Text alternatives; captions; semantic structure; landmarks; reading/focus order; color independence; text/non-text contrast; focus visibility/obscuration; text spacing; keyboard operability/traps/bypass; pointer cancellation; dragging/gesture alternatives; motion actuation; reduced-motion cross-reference; flashing; timing/automatic movement; forms/labels/autocomplete; error identification/prevention; status messages; authentication; plain language; consistent navigation/help; media controls cross-reference; data presentation; mobile/virtual-keyboard cross-reference; profile consistency,GROUP PRESENT,Text alternatives; captions; semantic structure; landmarks; reading/focus order; color independence; text/non-text contrast; focus visibility/obscuration; text spacing; keyboard operability/traps/bypass; pointer cancellation; dragging/gesture alternatives; motion actuation; reduced-motion cross-reference; flashing; timing/automatic movement; forms/labels/autocomplete; error identification/prevention; status messages; authentication; plain language; consistent navigation/help; media controls cross-reference; data presentation; mobile/virtual-keyboard cross-reference; profile consistency,Owned fallback applied,None,PASS,None
KBDL-A11Y-001,Roadmap prompt,C — Traceability-owned administrative metadata,Exact per-ID ledger with derivation rule,traceability-metadata.csv,KBDL-A11Y-001,Derived from owning module and approved roadmap sequence,KBDL-006,ABSENT,Not applicable,KBDL-006,GROUP PRESENT,KBDL-006,Owned fallback applied,None,PASS,None
KBDL-A11Y-001,Specification location,C — Traceability-owned administrative metadata,Exact per-ID ledger with derivation rule,traceability-metadata.csv,KBDL-A11Y-001,Derived from normative source file and validated heading anchor,accessibility.md#6-text-alternatives,[§6](#6-text-alternatives).,Not applicable,accessibility.md#6-text-alternatives,GROUP PRESENT,accessibility.md#6-text-alternatives,Higher source preserved,None,PASS,None
KBDL-A11Y-001,Lifecycle status,A — Normative-owned,Normative block when explicit; exact per-ID traceability fallback,accessibility.md,KBDL-A11Y-001,Use explicit normative value; otherwise ledger is the assigned per-ID registry and may not contradict a higher source,Approved,Approved,Not applicable,Approved,GROUP PRESENT,Approved,Higher source preserved,None,PASS,None
KBDL-A11Y-001,Provenance,A — Normative-owned,Normative block when explicit; exact per-ID traceability fallback,accessibility.md,KBDL-A11Y-001,Use explicit normative value; otherwise ledger is the assigned per-ID registry and may not contradict a higher source,Confirmed,Confirmed,Not applicable,Confirmed,GROUP PRESENT,Confirmed,Higher source preserved,None,PASS,None
KBDL-A11Y-001,Validation classification,A — Normative-owned,Normative block when explicit; exact per-ID traceability fallback,accessibility.md,KBDL-A11Y-001,Use explicit normative value; otherwise ledger is the assigned per-ID registry and may not contradict a higher source,Not verified,Not verified,Not applicable,Not verified,GROUP PRESENT,Not verified,Higher source preserved,None,PASS,None
KBDL-A11Y-001,Verified scope,D — Evidence-owned,Executed evidence record or honest Not-verified per-ID record,traceability-metadata.csv and cited evidence,KBDL-A11Y-001,"Evidence/limitation must be nonempty, scoped, and must not promote unexecuted behavior",None,ABSENT,Not applicable,None,GROUP PRESENT,None,Owned fallback applied,None,PASS,None
KBDL-A11Y-001,Not-verified scope,D — Evidence-owned,Executed evidence record or honest Not-verified per-ID record,traceability-metadata.csv and cited evidence,KBDL-A11Y-001,"Evidence/limitation must be nonempty, scoped, and must not promote unexecuted behavior",Not verified,ABSENT,Not applicable,Not verified,GROUP PRESENT,Not verified,Owned fallback applied,None,PASS,None
KBDL-A11Y-001,Authority,B — Governance-owned,AR2/decision/standard resolution of candidate expression,evidence/kbdl-011-r13/artifacts/approved-authority-chain-audit.csv,KBDL-A11Y-001,Ledger expression is candidate only; independently resolve every target and scope,"Approved (directly restates WCAG 2.2 SC 1.1.1, Level A, and SC 1.4.5, Level AA)",ABSENT,PASS,"Approved (directly restates WCAG 2.2 SC 1.1.1, Level A, and SC 1.4.5, Level AA)",GROUP PRESENT,"Approved (directly restates WCAG 2.2 SC 1.1.1, Level A, and SC 1.4.5, Level AA)",Owned fallback applied,None,PASS,None
KBDL-A11Y-001,Validation method,A — Normative-owned,Normative block when explicit; exact per-ID traceability fallback,accessibility.md,KBDL-A11Y-001,Use explicit normative value; otherwise ledger is the assigned per-ID registry and may not contradict a higher source,Manual + automated static accessibility check once implemented.,Manual + automated static accessibility check once implemented.,Not applicable,Manual + automated static accessibility check once implemented,GROUP PRESENT,Manual + automated static accessibility check once implemented.,Higher source preserved,None,PASS,None
KBDL-A11Y-001,Validation evidence,D — Evidence-owned,Executed evidence record or honest Not-verified per-ID record,traceability-metadata.csv and cited evidence,KBDL-A11Y-001,"Evidence/limitation must be nonempty, scoped, and must not promote unexecuted behavior",Not verified — the requirement’s stated validation method has not been executed.,ABSENT,Not applicable,Not verified — the requirement’s stated validation method has not been executed.,GROUP PRESENT,Not verified — the requirement’s stated validation method has not been executed.,Owned fallback applied,None,PASS,None
KBDL-A11Y-001,Known limitation,D — Evidence-owned,Executed evidence record or honest Not-verified per-ID record,traceability-metadata.csv and cited evidence,KBDL-A11Y-001,"Evidence/limitation must be nonempty, scoped, and must not promote unexecuted behavior","This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",ABSENT,Not applicable,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",GROUP PRESENT,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",Owned fallback applied,None,PASS,None
KBDL-A11Y-001,Packet or tracking destination,C — Traceability-owned administrative metadata,Exact per-ID ledger with derivation rule,traceability-metadata.csv,KBDL-A11Y-001,Derived from exact packet/tracking row; Approved permits explicit None,None — Approved,ABSENT,Not applicable,None — Approved,GROUP PRESENT,None — Approved,Owned fallback applied,None,PASS,None
KBDL-A11Y-001,Pending dependencies,C — Traceability-owned administrative metadata,Exact per-ID ledger with derivation rule,traceability-metadata.csv,KBDL-A11Y-001,Derived from normative metadata or tracking row; explicit None permitted,None,ABSENT,Not applicable,None,GROUP PRESENT,None,Owned fallback applied,None,PASS,None
KBDL-A11Y-001,Related decision,B — Governance-owned,Approved decision register or explicit None,decision-register.md,KBDL-A11Y-001,Every cited decision must exist and be Approved; None is explicit,None,ABSENT,Not applicable,None,GROUP PRESENT,None,Owned fallback applied,None,PASS,None
KBDL-A11Y-001,Notes or exclusions,C — Traceability-owned administrative metadata,Exact per-ID ledger with derivation rule,traceability-metadata.csv,KBDL-A11Y-001,Administrative reconciliation note bounded by higher-priority sources,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,ABSENT,Not applicable,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,GROUP PRESENT,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,Owned fallback applied,None,PASS,None
KBDL-A11Y-002,Requirement ID,A — Normative-owned,Normative requirement block,accessibility.md,KBDL-A11Y-002,ID parsed from normative block heading,KBDL-A11Y-002,KBDL-A11Y-002,Not applicable,KBDL-A11Y-002,GROUP PRESENT,KBDL-A11Y-002,Higher source preserved,None,PASS,None
KBDL-A11Y-002,Blueprint section,C — Traceability-owned administrative metadata,Exact per-ID ledger with derivation rule,traceability-metadata.csv,KBDL-A11Y-002,Administrative grouping derived from readable traceability group,Text alternatives; captions; semantic structure; landmarks; reading/focus order; color independence; text/non-text contrast; focus visibility/obscuration; text spacing; keyboard operability/traps/bypass; pointer cancellation; dragging/gesture alternatives; motion actuation; reduced-motion cross-reference; flashing; timing/automatic movement; forms/labels/autocomplete; error identification/prevention; status messages; authentication; plain language; consistent navigation/help; media controls cross-reference; data presentation; mobile/virtual-keyboard cross-reference; profile consistency,ABSENT,Not applicable,Text alternatives; captions; semantic structure; landmarks; reading/focus order; color independence; text/non-text contrast; focus visibility/obscuration; text spacing; keyboard operability/traps/bypass; pointer cancellation; dragging/gesture alternatives; motion actuation; reduced-motion cross-reference; flashing; timing/automatic movement; forms/labels/autocomplete; error identification/prevention; status messages; authentication; plain language; consistent navigation/help; media controls cross-reference; data presentation; mobile/virtual-keyboard cross-reference; profile consistency,GROUP PRESENT,Text alternatives; captions; semantic structure; landmarks; reading/focus order; color independence; text/non-text contrast; focus visibility/obscuration; text spacing; keyboard operability/traps/bypass; pointer cancellation; dragging/gesture alternatives; motion actuation; reduced-motion cross-reference; flashing; timing/automatic movement; forms/labels/autocomplete; error identification/prevention; status messages; authentication; plain language; consistent navigation/help; media controls cross-reference; data presentation; mobile/virtual-keyboard cross-reference; profile consistency,Owned fallback applied,None,PASS,None
KBDL-A11Y-002,Roadmap prompt,C — Traceability-owned administrative metadata,Exact per-ID ledger with derivation rule,traceability-metadata.csv,KBDL-A11Y-002,Derived from owning module and approved roadmap sequence,KBDL-006,ABSENT,Not applicable,KBDL-006,GROUP PRESENT,KBDL-006,Owned fallback applied,None,PASS,None
KBDL-A11Y-002,Specification location,C — Traceability-owned administrative metadata,Exact per-ID ledger with derivation rule,traceability-metadata.csv,KBDL-A11Y-002,Derived from normative source file and validated heading anchor,accessibility.md#7-captions-transcripts-and-audio-description,[§7](#7-captions-transcripts-and-audio-description).,Not applicable,accessibility.md#7-captions-transcripts-and-audio-description,GROUP PRESENT,accessibility.md#7-captions-transcripts-and-audio-description,Higher source preserved,None,PASS,None
KBDL-A11Y-002,Lifecycle status,A — Normative-owned,Normative block when explicit; exact per-ID traceability fallback,accessibility.md,KBDL-A11Y-002,Use explicit normative value; otherwise ledger is the assigned per-ID registry and may not contradict a higher source,Approved,Approved,Not applicable,Approved,GROUP PRESENT,Approved,Higher source preserved,None,PASS,None
KBDL-A11Y-002,Provenance,A — Normative-owned,Normative block when explicit; exact per-ID traceability fallback,accessibility.md,KBDL-A11Y-002,Use explicit normative value; otherwise ledger is the assigned per-ID registry and may not contradict a higher source,Confirmed,Confirmed,Not applicable,Confirmed,GROUP PRESENT,Confirmed,Higher source preserved,None,PASS,None
KBDL-A11Y-002,Validation classification,A — Normative-owned,Normative block when explicit; exact per-ID traceability fallback,accessibility.md,KBDL-A11Y-002,Use explicit normative value; otherwise ledger is the assigned per-ID registry and may not contradict a higher source,Not verified,Not verified,Not applicable,Not verified,GROUP PRESENT,Not verified,Higher source preserved,None,PASS,None
