Requirement ID,Expected packet,Effective packet,Expected dependency,Effective dependency,Result
KBDL-A11Y-011,accessibility.md — 49.2 Recommended Decisions — Ready for Approval — item 2,accessibility.md — 49.2 Recommended Decisions — Ready for Approval — item 2,None,None,PASS
KBDL-A11Y-021,accessibility.md — 49.2 Recommended Decisions — Ready for Approval — item 1,accessibility.md — 49.2 Recommended Decisions — Ready for Approval — item 1,None,None,PASS
KBDL-A11Y-035,accessibility.md — 49.2 Recommended Decisions — Ready for Approval — item 3,accessibility.md — 49.2 Recommended Decisions — Ready for Approval — item 3,None,None,PASS
KBDL-CMP-015,components-core.md — 35.2 Recommended Decisions — Ready for Approval — item 1,components-core.md — 35.2 Recommended Decisions — Ready for Approval — item 1,None,None,PASS
KBDL-CMP-017,components-core.md — 35.2 Recommended Decisions — Ready for Approval — item 3,components-core.md — 35.2 Recommended Decisions — Ready for Approval — item 3,None,None,PASS
KBDL-CMP-020,components-core.md — 35.2 Recommended Decisions — Ready for Approval — item 9,components-core.md — 35.2 Recommended Decisions — Ready for Approval — item 9,None,None,PASS
KBDL-CMP-025,components-core.md — 35.2 Recommended Decisions — Ready for Approval — item 4,components-core.md — 35.2 Recommended Decisions — Ready for Approval — item 4,None,None,PASS
KBDL-CMP-029,components-core.md — 35.2 Recommended Decisions — Ready for Approval — item 5,components-core.md — 35.2 Recommended Decisions — Ready for Approval — item 5,None,None,PASS
KBDL-CMP-036,components-core.md — 35.2 Recommended Decisions — Ready for Approval — item 6,components-core.md — 35.2 Recommended Decisions — Ready for Approval — item 6,None,None,PASS
KBDL-CMP-041,components-core.md — §35.3 Unresolved or Not Approval-Ready — contingent item KBDL-CMP-041,components-core.md — §35.3 Unresolved or Not Approval-Ready — contingent item KBDL-CMP-041,None,None,PASS
KBDL-CMP-044,components-core.md — 35.2 Recommended Decisions — Ready for Approval — item 7,components-core.md — 35.2 Recommended Decisions — Ready for Approval — item 7,None,None,PASS
KBDL-CMP-046,components-core.md — 35.2 Recommended Decisions — Ready for Approval — item 2,components-core.md — 35.2 Recommended Decisions — Ready for Approval — item 2,None,None,PASS
KBDL-CMP-048,components-core.md — 35.2 Recommended Decisions — Ready for Approval — item 8,components-core.md — 35.2 Recommended Decisions — Ready for Approval — item 8,None,None,PASS
KBDL-CMP-067,components-system.md — 33.2 Recommended Decisions — Ready for Approval — item 1,components-system.md — 33.2 Recommended Decisions — Ready for Approval — item 1,None,None,PASS
KBDL-CMP-069,components-system.md — 33.2 Recommended Decisions — Ready for Approval — item 2,components-system.md — 33.2 Recommended Decisions — Ready for Approval — item 2,None,None,PASS
KBDL-CMP-073,components-system.md — 33.2 Recommended Decisions — Ready for Approval — item 3,components-system.md — 33.2 Recommended Decisions — Ready for Approval — item 3,None,None,PASS
KBDL-CMP-074,components-system.md — 33.2 Recommended Decisions — Ready for Approval — item 4,components-system.md — 33.2 Recommended Decisions — Ready for Approval — item 4,None,None,PASS
