Requirement ID,Authoritative lifecycle,Effective lifecycle,Authoritative provenance,Effective provenance,Authoritative validation status,Effective validation status,Authority source,Effective authority,Exact specification location,Group location,Ledger location,Validation method,Validation evidence,Known limitation,Packet destination,Pending dependencies,Match result,Defect details
KBDL-A11Y-001,Approved,Approved,Confirmed,Confirmed,Not verified,Not verified,authoritative/prompt/decision/standard/prior Approved requirement,"Approved (directly restates WCAG 2.2 SC 1.1.1, Level A, and SC 1.4.5, Level AA)",accessibility.md §6–§45,accessibility.md §6–§45,accessibility.md §6–§45,"WCAG relative-luminance contrast calculation (completed for contrast/focus rows); manual + automated static accessibility review, keyboard testing, screen-reader testing, and flash analysis (all pending an implementation)",themes/validation.md §3 for the three Verified rows; not verified for the rest,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",None — Approved,None,PASS,None
KBDL-A11Y-002,Approved,Approved,Confirmed,Confirmed,Not verified,Not verified,authoritative/prompt/decision/standard/prior Approved requirement,"Approved (directly restates WCAG 2.2 SC 1.2.x, Level A/AA)",accessibility.md §6–§45,accessibility.md §6–§45,accessibility.md §6–§45,"WCAG relative-luminance contrast calculation (completed for contrast/focus rows); manual + automated static accessibility review, keyboard testing, screen-reader testing, and flash analysis (all pending an implementation)",themes/validation.md §3 for the three Verified rows; not verified for the rest,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",None — Approved,None,PASS,None
KBDL-A11Y-003,Approved,Approved,Confirmed,Confirmed,Not verified,Not verified,authoritative/prompt/decision/standard/prior Approved requirement,"Approved (directly restates WCAG 2.2 SC 1.3.1 and SC 4.1.2, both Level A)",accessibility.md §6–§45,accessibility.md §6–§45,accessibility.md §6–§45,"WCAG relative-luminance contrast calculation (completed for contrast/focus rows); manual + automated static accessibility review, keyboard testing, screen-reader testing, and flash analysis (all pending an implementation)",themes/validation.md §3 for the three Verified rows; not verified for the rest,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",None — Approved,None,PASS,None
KBDL-A11Y-004,Approved,Approved,Confirmed,Confirmed,Not verified,Not verified,authoritative/prompt/decision/standard/prior Approved requirement,"Approved (directly restates WCAG 2.2 SC 2.4.2, Level A, and SC 2.4.6, Level AA)",accessibility.md §6–§45,accessibility.md §6–§45,accessibility.md §6–§45,"WCAG relative-luminance contrast calculation (completed for contrast/focus rows); manual + automated static accessibility review, keyboard testing, screen-reader testing, and flash analysis (all pending an implementation)",themes/validation.md §3 for the three Verified rows; not verified for the rest,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",None — Approved,None,PASS,None
KBDL-A11Y-005,Approved,Approved,Confirmed,Confirmed,Not verified,Not verified,authoritative/prompt/decision/standard/prior Approved requirement,"Approved (directly restates WCAG 2.2 SC 1.3.2 and SC 2.4.3, both Level A)",accessibility.md §6–§45,accessibility.md §6–§45,accessibility.md §6–§45,"WCAG relative-luminance contrast calculation (completed for contrast/focus rows); manual + automated static accessibility review, keyboard testing, screen-reader testing, and flash analysis (all pending an implementation)",themes/validation.md §3 for the three Verified rows; not verified for the rest,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",None — Approved,None,PASS,None
KBDL-A11Y-006,Approved,Approved,Confirmed,Confirmed,Not verified,Not verified,authoritative/prompt/decision/standard/prior Approved requirement,"Approved (directly restates WCAG 2.2 SC 1.4.1, Level A, and the locked component-state-clarity rule)",accessibility.md §6–§45,accessibility.md §6–§45,accessibility.md §6–§45,"WCAG relative-luminance contrast calculation (completed for contrast/focus rows); manual + automated static accessibility review, keyboard testing, screen-reader testing, and flash analysis (all pending an implementation)",themes/validation.md §3 for the three Verified rows; not verified for the rest,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",None — Approved,None,PASS,None
KBDL-A11Y-007,Approved,Approved,Confirmed,Confirmed,Verified,Verified,authoritative/prompt/decision/standard/prior Approved requirement,"Approved (directly restates WCAG 2.2 SC 1.4.3, Level AA)",accessibility.md §6–§45,accessibility.md §6–§45,accessibility.md §6–§45,"WCAG relative-luminance contrast calculation (completed for contrast/focus rows); manual + automated static accessibility review, keyboard testing, screen-reader testing, and flash analysis (all pending an implementation)",themes/validation.md §3 for the three Verified rows; not verified for the rest,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",None — Approved,None,PASS,None
KBDL-A11Y-008,Approved,Approved,Confirmed,Confirmed,Verified,Verified,authoritative/prompt/decision/standard/prior Approved requirement,"Approved (directly restates WCAG 2.2 SC 1.4.11, Level AA)",accessibility.md §6–§45,accessibility.md §6–§45,accessibility.md §6–§45,"WCAG relative-luminance contrast calculation (completed for contrast/focus rows); manual + automated static accessibility review, keyboard testing, screen-reader testing, and flash analysis (all pending an implementation)",themes/validation.md §3 for the three Verified rows; not verified for the rest,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",None — Approved,None,PASS,None
KBDL-A11Y-009,Approved,Approved,Confirmed,Confirmed,Verified,Verified,authoritative/prompt/decision/standard/prior Approved requirement,"Approved (directly restates WCAG 2.2 SC 2.4.7, Level AA)",accessibility.md §6–§45,accessibility.md §6–§45,accessibility.md §6–§45,"WCAG relative-luminance contrast calculation (completed for contrast/focus rows); manual + automated static accessibility review, keyboard testing, screen-reader testing, and flash analysis (all pending an implementation)",themes/validation.md §3 for the three Verified rows; not verified for the rest,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",None — Approved,None,PASS,None
KBDL-A11Y-010,Approved,Approved,Confirmed,Confirmed,Not verified,Not verified,authoritative/prompt/decision/standard/prior Approved requirement,"Approved (directly restates WCAG 2.2 SC 2.4.11, Level AA)",accessibility.md §6–§45,accessibility.md §6–§45,accessibility.md §6–§45,"WCAG relative-luminance contrast calculation (completed for contrast/focus rows); manual + automated static accessibility review, keyboard testing, screen-reader testing, and flash analysis (all pending an implementation)",themes/validation.md §3 for the three Verified rows; not verified for the rest,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",None — Approved,None,PASS,None
