Requirement ID,Field name,Ownership class,Primary basis,Derivation rule,Authoritative expected value,Normative value,Governance resolution,Ledger value,Readable-group value,Readable-group classification,Effective value,Precedence result,Conflict result,Validation result
KBDL-A11Y-001,Requirement ID,A — Normative-owned,Normative record,Parse the ID from the normative record,KBDL-A11Y-001,KBDL-A11Y-001,PASS,KBDL-A11Y-001,MISSING,Missing,KBDL-A11Y-001,PASS,None,PASS
KBDL-A11Y-001,Blueprint section,C — Traceability-owned administrative,Exact readable-group value,Parse exact group heading or explicit per-ID mapping,Text alternatives; captions; semantic structure; landmarks; reading/focus order; color independence; text/non-text contrast; focus visibility/obscuration; text spacing; keyboard operability/traps/bypass; pointer cancellation; dragging/gesture alternatives; motion actuation; reduced-motion cross-reference; flashing; timing/automatic movement; forms/labels/autocomplete; error identification/prevention; status messages; authentication; plain language; consistent navigation/help; media controls cross-reference; data presentation; mobile/virtual-keyboard cross-reference; profile consistency,ABSENT,PASS,Text alternatives; captions; semantic structure; landmarks; reading/focus order; color independence; text/non-text contrast; focus visibility/obscuration; text spacing; keyboard operability/traps/bypass; pointer cancellation; dragging/gesture alternatives; motion actuation; reduced-motion cross-reference; flashing; timing/automatic movement; forms/labels/autocomplete; error identification/prevention; status messages; authentication; plain language; consistent navigation/help; media controls cross-reference; data presentation; mobile/virtual-keyboard cross-reference; profile consistency,Text alternatives; captions; semantic structure; landmarks; reading/focus order; color independence; text/non-text contrast; focus visibility/obscuration; text spacing; keyboard operability/traps/bypass; pointer cancellation; dragging/gesture alternatives; motion actuation; reduced-motion cross-reference; flashing; timing/automatic movement; forms/labels/autocomplete; error identification/prevention; status messages; authentication; plain language; consistent navigation/help; media controls cross-reference; data presentation; mobile/virtual-keyboard cross-reference; profile consistency,Uniform default,Text alternatives; captions; semantic structure; landmarks; reading/focus order; color independence; text/non-text contrast; focus visibility/obscuration; text spacing; keyboard operability/traps/bypass; pointer cancellation; dragging/gesture alternatives; motion actuation; reduced-motion cross-reference; flashing; timing/automatic movement; forms/labels/autocomplete; error identification/prevention; status messages; authentication; plain language; consistent navigation/help; media controls cross-reference; data presentation; mobile/virtual-keyboard cross-reference; profile consistency,PASS,None,PASS
KBDL-A11Y-001,Roadmap prompt,C — Traceability-owned administrative,Approved roadmap/module derivation,Derive base prompt from module/file and validate any remediation annotation,KBDL-006,ABSENT,PASS,KBDL-006,KBDL-006,Uniform default,KBDL-006,PASS,None,PASS
KBDL-A11Y-001,Specification location,A — Normative-owned,Containing normative section,Derive file and containing heading anchor around the requirement record,accessibility.md#6-text-alternatives,ABSENT,PASS,accessibility.md#6-text-alternatives,[accessibility.md §6–§45](accessibility.md#3-wcag-22-level-aa-mapping),Non-overriding summary,accessibility.md#6-text-alternatives,PASS,None,PASS
KBDL-A11Y-001,Lifecycle status,A — Normative-owned,Normative record,Parse explicit lifecycle and compare every lower source,Approved,Approved,PASS,Approved,MISSING,Missing,Approved,PASS,None,PASS
KBDL-A11Y-001,Provenance,A — Normative-owned,Normative record,Parse explicit provenance and compare every lower source,Confirmed,Confirmed,PASS,Confirmed,MISSING,Missing,Confirmed,PASS,None,PASS
KBDL-A11Y-001,Validation classification,A — Normative-owned,Normative record,Parse explicit validation status and compare every lower source,UNRESOLVED,ABSENT,PASS,Not verified,Not verified,Exact per-ID mapping,UNRESOLVED,PASS,None,FAIL
KBDL-A11Y-001,Verified scope,D — Evidence-owned,Evidence scope registry,Require evidence-compatible scope,None,ABSENT,PASS,None,MISSING,Missing,None,PASS,None,PASS
KBDL-A11Y-001,Not-verified scope,D — Evidence-owned,Evidence scope registry,Require honest unexecuted scope,Not verified,ABSENT,PASS,Not verified,MISSING,Missing,Not verified,PASS,None,PASS
KBDL-A11Y-001,Authority,B — Governance-owned,Authority graph,Resolve every component and graph edge,RESOLVED,ABSENT,PASS,"Approved (directly restates WCAG 2.2 SC 1.1.1, Level A, and SC 1.4.5, Level AA)",MISSING,Missing,RESOLVED,PASS,None,PASS
KBDL-A11Y-001,Validation method,D — Evidence-owned,Normative record,Compare method to evidence classification without ledger self-proof,Manual + automated static accessibility check once implemented.,Manual + automated static accessibility check once implemented.,PASS,Manual + automated static accessibility check once implemented,"WCAG relative-luminance contrast calculation (completed for contrast/focus rows); manual + automated static accessibility review, keyboard testing, screen-reader testing, and flash analysis (all pending an implementation).",Non-overriding summary,Manual + automated static accessibility check once implemented.,PASS,None,PASS
KBDL-A11Y-001,Validation evidence,D — Evidence-owned,Resolved evidence/classification relationship,Resolve paths and prevent unsupported execution claims,Not verified — the requirement’s stated validation method has not been executed.,ABSENT,PASS,Not verified — the requirement’s stated validation method has not been executed.,[themes/validation.md §3](themes/validation.md#3-consolidated-contrast-evidence) for the three Verified rows; not verified for the rest.,Non-overriding summary,Not verified — the requirement’s stated validation method has not been executed.,PASS,None,PASS
KBDL-A11Y-001,Known limitation,D — Evidence-owned,Not-verified/excluded scope relationship,Require consistency with validation scope,UNRESOLVED,ABSENT,PASS,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence","This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence.",Non-overriding summary,UNRESOLVED,PASS,None,FAIL
KBDL-A11Y-001,Packet or tracking destination,C — Traceability-owned administrative,Explicit None permitted only for Approved,Resolve file section item owner and readiness class,None — Approved,ABSENT,PASS,None — Approved,MISSING,Missing,None — Approved,PASS,None,PASS
KBDL-A11Y-001,Pending dependencies,C — Traceability-owned administrative,Explicit None,Resolve and classify dependency source,None,ABSENT,PASS,None,MISSING,Missing,None,PASS,None,PASS
KBDL-A11Y-001,Related decision,B — Governance-owned,Decision register,Resolve every cited decision and status,RESOLVED,ABSENT,PASS,None,`KBDL-DEC-010`.,Non-overriding summary,RESOLVED,PASS,None,PASS
KBDL-A11Y-001,Notes or exclusions,C — Traceability-owned administrative,Owned administrative value bounded by prohibited-claim scan,Reject unsupported promotion or completion claims,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,ABSENT,PASS,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,No AAA-level criterion is described as AA anywhere in this set; see [accessibility.md §3](accessibility.md#3-wcag-22-level-aa-mapping) for the exact criterion-to-section mapping.,Non-overriding summary,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,PASS,None,PASS
KBDL-A11Y-002,Requirement ID,A — Normative-owned,Normative record,Parse the ID from the normative record,KBDL-A11Y-002,KBDL-A11Y-002,PASS,KBDL-A11Y-002,MISSING,Missing,KBDL-A11Y-002,PASS,None,PASS
