Requirement ID,Candidate authority expression,Authority classification,AR2 mapping,Resolved decisions,Resolved requirements,Adopted standard basis,Historical approval status,Result,Defect details
KBDL-A11Y-001,"Approved (directly restates WCAG 2.2 SC 1.1.1, Level A, and SC 1.4.5, Level AA)",adopted-standard-derived,None,None,None,adopted-standard-derived,Not applicable,PASS,None
KBDL-A11Y-002,"Approved (directly restates WCAG 2.2 SC 1.2.x, Level A/AA)",adopted-standard-derived,None,None,None,adopted-standard-derived,Not applicable,PASS,None
KBDL-A11Y-003,"Approved (directly restates WCAG 2.2 SC 1.3.1 and SC 4.1.2, both Level A)",adopted-standard-derived,None,None,None,adopted-standard-derived,Not applicable,PASS,None
KBDL-A11Y-004,"Approved (directly restates WCAG 2.2 SC 2.4.2, Level A, and SC 2.4.6, Level AA)",adopted-standard-derived,None,None,None,adopted-standard-derived,Not applicable,PASS,None
KBDL-A11Y-005,"Approved (directly restates WCAG 2.2 SC 1.3.2 and SC 2.4.3, both Level A)",adopted-standard-derived,None,None,None,adopted-standard-derived,Not applicable,PASS,None
KBDL-A11Y-006,"Approved (directly restates WCAG 2.2 SC 1.4.1, Level A, and the locked component-state-clarity rule)",adopted-standard-derived,None,None,None,adopted-standard-derived,Not applicable,PASS,None
KBDL-A11Y-007,"Approved (directly restates WCAG 2.2 SC 1.4.3, Level AA)",adopted-standard-derived,None,None,None,adopted-standard-derived,Not applicable,PASS,None
KBDL-A11Y-008,"Approved (directly restates WCAG 2.2 SC 1.4.11, Level AA)",adopted-standard-derived,None,None,None,adopted-standard-derived,Not applicable,PASS,None
KBDL-A11Y-009,"Approved (directly restates WCAG 2.2 SC 2.4.7, Level AA)",adopted-standard-derived,None,None,None,adopted-standard-derived,Not applicable,PASS,None
KBDL-A11Y-010,"Approved (directly restates WCAG 2.2 SC 2.4.11, Level AA)",adopted-standard-derived,None,None,None,adopted-standard-derived,Not applicable,PASS,None
KBDL-A11Y-012,"Approved (directly restates WCAG 2.2 SC 1.4.4, Level AA)",adopted-standard-derived,None,None,None,adopted-standard-derived,Not applicable,PASS,None
KBDL-A11Y-013,"Approved (directly restates WCAG 2.2 SC 1.4.10, Level AA)",adopted-standard-derived,None,None,None,adopted-standard-derived,Not applicable,PASS,None
KBDL-A11Y-014,"Approved (directly restates WCAG 2.2 SC 1.4.12, Level AA)",adopted-standard-derived,None,None,None,adopted-standard-derived,Not applicable,PASS,None
