Prompt ID,Gap ID,Severity,Missing or conflicting item,Evidence inspected,Why the gap matters,Affected requirements,Required project-owner action,Blocking status
KBDL-001,KBDL-AR-GAP-001,BLOCKING,"Original approval command, timing, mandatory scope, and exclusions are not durably recovered",Released prompt when available; roadmap; decisions; requirements; traceability; validation; R8–R10 evidence; Git history,"Prompt-derived authority cannot be independently established; historical evidence remains unrecovered, while present authority is supplied by a current non-retroactive confirmation effective 2026-07-28",KBDL-GOV-001; KBDL-GOV-002; KBDL-GOV-003,No current authority action; original evidence may still be supplied only as historical evidence,HISTORICAL GAP OPEN; CURRENT AUTHORITY RESOLVED
KBDL-002,KBDL-AR-GAP-002,BLOCKING,"Original approval command, timing, mandatory scope, and exclusions are not durably recovered",Released prompt when available; roadmap; decisions; requirements; traceability; validation; R8–R10 evidence; Git history,"Prompt-derived authority cannot be independently established; historical evidence remains unrecovered, while present authority is supplied by a current non-retroactive confirmation effective 2026-07-28",KBDL-PRN-001; KBDL-PRN-002; KBDL-PRN-003; KBDL-PRN-004; KBDL-PRN-005; KBDL-PRN-006; KBDL-PRN-007; KBDL-PRN-008,No current authority action; original evidence may still be supplied only as historical evidence,HISTORICAL GAP OPEN; CURRENT AUTHORITY RESOLVED
KBDL-003,KBDL-AR-GAP-003,BLOCKING,"Original approval command, timing, mandatory scope, and exclusions are not durably recovered",Released prompt when available; roadmap; decisions; requirements; traceability; validation; R8–R10 evidence; Git history,"Prompt-derived authority cannot be independently established; historical evidence remains unrecovered, while present authority is supplied by a current non-retroactive confirmation effective 2026-07-28",KBDL-FND-001; KBDL-FND-002; KBDL-FND-003; KBDL-FND-004; KBDL-FND-005; KBDL-FND-006; KBDL-FND-007; KBDL-FND-008,No current authority action; original evidence may still be supplied only as historical evidence,HISTORICAL GAP OPEN; CURRENT AUTHORITY RESOLVED
KBDL-004,KBDL-AR-GAP-004,BLOCKING,"Original approval command, timing, mandatory scope, and exclusions are not durably recovered",Released prompt when available; roadmap; decisions; requirements; traceability; validation; R8–R10 evidence; Git history,"Prompt-derived authority cannot be independently established; historical evidence remains unrecovered, while present authority is supplied by a current non-retroactive confirmation effective 2026-07-28",KBDL-THM-001; KBDL-THM-002; KBDL-THM-003; KBDL-THM-004; KBDL-THM-006; KBDL-THM-007; KBDL-THM-008; KBDL-THM-009; KBDL-THM-011; KBDL-THM-012; KBDL-THM-013; KBDL-THM-014; KBDL-THM-015,No current authority action; original evidence may still be supplied only as historical evidence,HISTORICAL GAP OPEN; CURRENT AUTHORITY RESOLVED
KBDL-005,KBDL-AR-GAP-005,BLOCKING,"Original approval command, timing, mandatory scope, and exclusions are not durably recovered",Released prompt when available; roadmap; decisions; requirements; traceability; validation; R8–R10 evidence; Git history,"Prompt-derived authority cannot be independently established; historical evidence remains unrecovered, while present authority is supplied by a current non-retroactive confirmation effective 2026-07-28",KBDL-MOT-001; KBDL-MOT-002; KBDL-MOT-014; KBDL-MOT-015; KBDL-MOT-016; KBDL-MOT-018; KBDL-MOT-021; KBDL-MOT-025; KBDL-MOT-027,No current authority action; original evidence may still be supplied only as historical evidence,HISTORICAL GAP OPEN; CURRENT AUTHORITY RESOLVED
KBDL-005,KBDL-AR-GAP-012,HIGH,Direct later motion-packet approval can be conflated with original implementation-prompt approval,decision-register.md KBDL-DEC-014; motion/README.md,"The two approval scopes and times differ; historical evidence remains unrecovered, while present authority is supplied by a current non-retroactive confirmation effective 2026-07-28",KBDL-MOT-005–011; 013; 020; 028–034,No current action; preserve DEC-014 separation from the KBDL-005 current confirmation,HISTORICAL GAP OPEN; CURRENT AUTHORITY RESOLVED
KBDL-006,KBDL-AR-GAP-006,BLOCKING,"Original approval command, timing, mandatory scope, and exclusions are not durably recovered",Released prompt when available; roadmap; decisions; requirements; traceability; validation; R8–R10 evidence; Git history,"Prompt-derived authority cannot be independently established; historical evidence remains unrecovered, while present authority is supplied by a current non-retroactive confirmation effective 2026-07-28",KBDL-A11Y-019; KBDL-A11Y-036; KBDL-A11Y-038; KBDL-A11Y-039; KBDL-A11Y-040; KBDL-RSP-001; KBDL-RSP-002; KBDL-RSP-003; KBDL-RSP-004; KBDL-RSP-005; KBDL-RSP-010; KBDL-RSP-012; KBDL-RSP-014; KBDL-RSP-017; KBDL-RSP-021; KBDL-RSP-022,No current authority action; original evidence may still be supplied only as historical evidence,HISTORICAL GAP OPEN; CURRENT AUTHORITY RESOLVED
KBDL-007,KBDL-AR-GAP-007,BLOCKING,"Original approval command, timing, mandatory scope, and exclusions are not durably recovered",Released prompt when available; roadmap; decisions; requirements; traceability; validation; R8–R10 evidence; Git history,"Prompt-derived authority cannot be independently established; historical evidence remains unrecovered, while present authority is supplied by a current non-retroactive confirmation effective 2026-07-28",KBDL-CMP-001; KBDL-CMP-004; KBDL-CMP-005; KBDL-CMP-011; KBDL-CMP-012; KBDL-CMP-013; KBDL-CMP-014; KBDL-CMP-023; KBDL-CMP-026; KBDL-CMP-027; KBDL-CMP-030; KBDL-CMP-031; KBDL-CMP-033; KBDL-CMP-034; KBDL-CMP-035; KBDL-CMP-039; KBDL-CMP-040; KBDL-CMP-042; KBDL-CMP-043; KBDL-CMP-044; KBDL-CMP-047; KBDL-CMP-048; KBDL-CMP-049; KBDL-CMP-050; KBDL-CMP-051,No current authority action; original evidence may still be supplied only as historical evidence,HISTORICAL GAP OPEN; CURRENT AUTHORITY RESOLVED
KBDL-008,KBDL-AR-GAP-008,BLOCKING,"Original approval command, timing, mandatory scope, and exclusions are not durably recovered",Released prompt when available; roadmap; decisions; requirements; traceability; validation; R8–R10 evidence; Git history,"Prompt-derived authority cannot be independently established; historical evidence remains unrecovered, while present authority is supplied by a current non-retroactive confirmation effective 2026-07-28",KBDL-CMP-055; KBDL-CMP-060; KBDL-CMP-071; KBDL-CMP-072; KBDL-CMP-088; KBDL-CMP-090; KBDL-CMP-096; KBDL-CMP-098; KBDL-CMP-100; KBDL-CMP-101; KBDL-CMP-103; KBDL-CMP-104,No current authority action; original evidence may still be supplied only as historical evidence,HISTORICAL GAP OPEN; CURRENT AUTHORITY RESOLVED
KBDL-009,KBDL-AR-GAP-009,BLOCKING,"Original approval command, timing, mandatory scope, and exclusions are not durably recovered",Released prompt when available; roadmap; decisions; requirements; traceability; validation; R8–R10 evidence; Git history,"Prompt-derived authority cannot be independently established; historical evidence remains unrecovered, while present authority is supplied by a current non-retroactive confirmation effective 2026-07-28",KBDL-PRO-002; KBDL-PRO-003; KBDL-PRO-004; KBDL-PRO-005; KBDL-PRO-006; KBDL-PRO-007; KBDL-PRO-008; KBDL-PRO-010; KBDL-PRO-011; KBDL-PRO-012; KBDL-PRO-023; KBDL-PRO-024; KBDL-PRO-025; KBDL-PRO-026,No current authority action; original evidence may still be supplied only as historical evidence,HISTORICAL GAP OPEN; CURRENT AUTHORITY RESOLVED
KBDL-010,KBDL-AR-GAP-010,BLOCKING,"Original approval command, timing, mandatory scope, and exclusions are not durably recovered",Released prompt when available; roadmap; decisions; requirements; traceability; validation; R8–R10 evidence; Git history,"Prompt-derived authority cannot be independently established; historical evidence remains unrecovered, while present authority is supplied by a current non-retroactive confirmation effective 2026-07-28",KBDL-CUS-001; KBDL-CUS-002; KBDL-CUS-003; KBDL-CUS-004; KBDL-CUS-005; KBDL-CUS-006; KBDL-CUS-008; KBDL-CUS-009; KBDL-CUS-011; KBDL-CUS-012; KBDL-CUS-013; KBDL-CUS-015; KBDL-CUS-016; KBDL-CUS-018; KBDL-CUS-019; KBDL-CUS-021; KBDL-CUS-022,No current authority action; original evidence may still be supplied only as historical evidence,HISTORICAL GAP OPEN; CURRENT AUTHORITY RESOLVED
KBDL-011,KBDL-AR-GAP-011,BLOCKING,"Original approval command, timing, mandatory scope, and exclusions are not durably recovered",Released prompt when available; roadmap; decisions; requirements; traceability; validation; R8–R10 evidence; Git history,"Prompt-derived authority cannot be independently established; historical evidence remains unrecovered, while present authority is supplied by a current non-retroactive confirmation effective 2026-07-28",KBDL-VAL-001; KBDL-VAL-002; KBDL-VAL-003; KBDL-VAL-004; KBDL-VAL-005; KBDL-VAL-006; KBDL-VAL-007; KBDL-VAL-008; KBDL-VAL-009; KBDL-VAL-010; KBDL-VAL-011; KBDL-VAL-012,No current authority action; original evidence may still be supplied only as historical evidence,HISTORICAL GAP OPEN; CURRENT AUTHORITY RESOLVED
