id,source_file,lifecycle,provenance,validation_status,authority,authority_classification,authority_targets,validation_method,validation_evidence,known_limitation,packet_destination,pending_dependency
KBDL-A11Y-001,accessibility.md,Approved,Confirmed,Not Verified,"Lifecycle authority: Approved (directly restates WCAG 2.2 SC 1.1.1, Level A, and SC 1.4.5, Level AA)",adopted-standard,,Manual + automated static accessibility check once implemented.,,,,
KBDL-A11Y-002,accessibility.md,Approved,Confirmed,Not Verified,"Lifecycle authority: Approved (directly restates WCAG 2.2 SC 1.2.x, Level A/AA)",adopted-standard,,Manual review once implemented.,,,,
KBDL-A11Y-003,accessibility.md,Approved,Confirmed,Not Verified,"Lifecycle authority: Approved (directly restates WCAG 2.2 SC 1.3.1 and SC 4.1.2, both Level A)",adopted-standard,,Automated static accessibility check + manual screen-reader review once implemented.,,,,
KBDL-A11Y-004,accessibility.md,Approved,Confirmed,Not Verified,"Lifecycle authority: Approved (directly restates WCAG 2.2 SC 2.4.2, Level A, and SC 2.4.6, Level AA)",adopted-standard,,Automated static check + manual review once implemented.,,,,
KBDL-A11Y-005,accessibility.md,Approved,Confirmed,Not Verified,"Lifecycle authority: Approved (directly restates WCAG 2.2 SC 1.3.2 and SC 2.4.3, both Level A)",adopted-standard,,Manual keyboard/screen-reader order review once implemented.,,,,
KBDL-A11Y-006,accessibility.md,Approved,Confirmed,Not Verified,"Lifecycle authority: Approved (directly restates WCAG 2.2 SC 1.4.1, Level A, and the locked component-state-clarity rule)",adopted-standard,,Manual review once implemented.,,,,
KBDL-A11Y-007,accessibility.md,Approved,Confirmed,Verified,"Lifecycle authority: Approved (directly restates WCAG 2.2 SC 1.4.3, Level AA)",adopted-standard,,"WCAG relative-luminance contrast calculation (completed for theme role pairs, see cited evidence).",,,,
KBDL-A11Y-008,accessibility.md,Approved,Confirmed,Verified,"Lifecycle authority: Approved (directly restates WCAG 2.2 SC 1.4.11, Level AA)",adopted-standard,,WCAG relative-luminance contrast calculation (completed for documented pairs).,,,,
KBDL-A11Y-009,accessibility.md,Approved,Confirmed,Verified,"Lifecycle authority: Approved (directly restates WCAG 2.2 SC 2.4.7, Level AA)",adopted-standard,,Contrast calculation (completed); manual keyboard review once implemented.,,,,
KBDL-A11Y-010,accessibility.md,Approved,Confirmed,Not Verified,"Lifecycle authority: Approved (directly restates WCAG 2.2 SC 2.4.11, Level AA)",adopted-standard,,Manual keyboard-focus review once implemented.,,,,
KBDL-A11Y-011,accessibility.md,Recommended,Assumed,Not Verified,Lifecycle authority: Recommended (new KBDL policy — no prior theme decision addresses forced-colors mode; explicitly excluded from `KBDL-DEC-013`),approved-decision,KBDL-DEC-013,Manual forced-colors testing once implemented; project-owner review (not yet performed).,,,,
KBDL-A11Y-012,accessibility.md,Approved,Confirmed,Not Verified,"Lifecycle authority: Approved (directly restates WCAG 2.2 SC 1.4.4, Level AA)",adopted-standard,,Manual zoom testing once implemented.,,,,
KBDL-A11Y-013,accessibility.md,Approved,Confirmed,Not Verified,"Lifecycle authority: Approved (directly restates WCAG 2.2 SC 1.4.10, Level AA)",adopted-standard,,Manual reflow testing once implemented.,,,,
KBDL-A11Y-014,accessibility.md,Approved,Confirmed,Not Verified,"Lifecycle authority: Approved (directly restates WCAG 2.2 SC 1.4.12, Level AA)",adopted-standard,,Manual text-spacing override testing once implemented.,,,,
KBDL-A11Y-015,accessibility.md,Approved,Confirmed,Not Verified,"Lifecycle authority: Approved (directly restates WCAG 2.2 SC 1.3.4, Level AA)",adopted-standard,,Manual orientation testing once implemented.,,,,
KBDL-A11Y-016,accessibility.md,Approved,Confirmed,Not Verified,"Lifecycle authority: Approved (directly restates WCAG 2.2 SC 2.1.1, SC 2.1.4, and SC 3.2.1, all Level A)",adopted-standard,,Manual keyboard testing once implemented.,,,,
KBDL-A11Y-017,accessibility.md,Approved,Confirmed,Not Verified,"Lifecycle authority: Approved (directly restates WCAG 2.2 SC 2.1.2, Level A)",adopted-standard,,Manual keyboard testing once implemented.,,,,
KBDL-A11Y-018,accessibility.md,Approved,Confirmed,Not Verified,"Lifecycle authority: Approved (directly restates WCAG 2.2 SC 2.4.1, Level A)",adopted-standard,,Manual keyboard testing once implemented.,,,,
KBDL-A11Y-019,accessibility.md,Approved,Confirmed,Not Applicable,Approved module prompt / user-provided blueprint and recorded provenance,approved-prompt,,Not applicable (umbrella section).,,,,
