Requirement ID,Expected exact location,Expected source,Effective location,Group location role,Invalid anchors,Match
KBDL-A11Y-001,accessibility.md#6-text-alternatives,accessibility.md authoritative block or committed historical registry,accessibility.md#6-text-alternatives,non-overriding summary,None,True
KBDL-A11Y-002,accessibility.md#7-captions-transcripts-and-audio-description,accessibility.md authoritative block or committed historical registry,accessibility.md#7-captions-transcripts-and-audio-description,non-overriding summary,None,True
KBDL-A11Y-003,accessibility.md#8-semantic-structure-and-relationships,accessibility.md authoritative block or committed historical registry,accessibility.md#8-semantic-structure-and-relationships,non-overriding summary,None,True
KBDL-A11Y-004,accessibility.md#9-landmark-and-heading-architecture,accessibility.md authoritative block or committed historical registry,accessibility.md#9-landmark-and-heading-architecture,non-overriding summary,None,True
KBDL-A11Y-005,accessibility.md#10-reading-and-focus-order; responsive.md#12-source-order-and-reading-order,accessibility.md authoritative block or committed historical registry,accessibility.md#10-reading-and-focus-order; responsive.md#12-source-order-and-reading-order,non-overriding summary,None,True
KBDL-A11Y-006,accessibility.md#11-color-independent-communication,accessibility.md authoritative block or committed historical registry,accessibility.md#11-color-independent-communication,non-overriding summary,None,True
KBDL-A11Y-007,accessibility.md#12-text-contrast,accessibility.md authoritative block or committed historical registry,accessibility.md#12-text-contrast,non-overriding summary,None,True
KBDL-A11Y-008,accessibility.md#13-non-text-contrast,accessibility.md authoritative block or committed historical registry,accessibility.md#13-non-text-contrast,non-overriding summary,None,True
KBDL-A11Y-009,accessibility.md#14-focus-visibility,accessibility.md authoritative block or committed historical registry,accessibility.md#14-focus-visibility,non-overriding summary,None,True
KBDL-A11Y-010,accessibility.md#15-focus-not-obscured; responsive.md#18-sticky-and-fixed-regions,accessibility.md authoritative block or committed historical registry,accessibility.md#15-focus-not-obscured; responsive.md#18-sticky-and-fixed-regions,non-overriding summary,None,True
KBDL-A11Y-011,accessibility.md#16-light-dark-forced-colors-and-high-contrast-behavior,accessibility.md authoritative block or committed historical registry,accessibility.md#16-light-dark-forced-colors-and-high-contrast-behavior,non-overriding summary,None,True
KBDL-A11Y-012,accessibility.md#17-resize-text,accessibility.md authoritative block or committed historical registry,accessibility.md#17-resize-text,non-overriding summary,None,True
KBDL-A11Y-013,accessibility.md#18-reflow,accessibility.md authoritative block or committed historical registry,accessibility.md#18-reflow,non-overriding summary,None,True
KBDL-A11Y-014,accessibility.md#19-text-spacing-overrides,accessibility.md authoritative block or committed historical registry,accessibility.md#19-text-spacing-overrides,non-overriding summary,None,True
KBDL-A11Y-015,accessibility.md#20-orientation; responsive.md#20-orientation-changes,accessibility.md authoritative block or committed historical registry,accessibility.md#20-orientation; responsive.md#20-orientation-changes,non-overriding summary,None,True
KBDL-A11Y-016,accessibility.md#21-keyboard-operability,accessibility.md authoritative block or committed historical registry,accessibility.md#21-keyboard-operability,non-overriding summary,None,True
KBDL-A11Y-017,accessibility.md#22-keyboard-traps-and-escape-behavior,accessibility.md authoritative block or committed historical registry,accessibility.md#22-keyboard-traps-and-escape-behavior,non-overriding summary,None,True
KBDL-A11Y-018,accessibility.md#23-bypass-mechanisms,accessibility.md authoritative block or committed historical registry,accessibility.md#23-bypass-mechanisms,non-overriding summary,None,True
KBDL-A11Y-019,accessibility.md#24-pointer-and-touch-behavior,accessibility.md authoritative block or committed historical registry,accessibility.md#24-pointer-and-touch-behavior,non-overriding summary,None,True
KBDL-A11Y-020,accessibility.md#25-target-sizing-and-spacing,accessibility.md authoritative block or committed historical registry,accessibility.md#25-target-sizing-and-spacing,non-overriding summary,None,True
