Requirement ID,Exact location,Derivation,Targets,Invalid targets,Match
KBDL-A11Y-001,accessibility.md#6-text-alternatives,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,accessibility.md#6-text-alternatives,None,True
KBDL-A11Y-002,accessibility.md#7-captions-transcripts-and-audio-description,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,accessibility.md#7-captions-transcripts-and-audio-description,None,True
KBDL-A11Y-003,accessibility.md#8-semantic-structure-and-relationships,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,accessibility.md#8-semantic-structure-and-relationships,None,True
KBDL-A11Y-004,accessibility.md#9-landmark-and-heading-architecture,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,accessibility.md#9-landmark-and-heading-architecture,None,True
KBDL-A11Y-005,accessibility.md#10-reading-and-focus-order; responsive.md#12-source-order-and-reading-order,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,accessibility.md#10-reading-and-focus-order; responsive.md#12-source-order-and-reading-order,None,True
KBDL-A11Y-006,accessibility.md#11-color-independent-communication,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,accessibility.md#11-color-independent-communication,None,True
KBDL-A11Y-007,accessibility.md#12-text-contrast,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,accessibility.md#12-text-contrast,None,True
KBDL-A11Y-008,accessibility.md#13-non-text-contrast,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,accessibility.md#13-non-text-contrast,None,True
KBDL-A11Y-009,accessibility.md#14-focus-visibility,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,accessibility.md#14-focus-visibility,None,True
KBDL-A11Y-010,accessibility.md#15-focus-not-obscured; responsive.md#18-sticky-and-fixed-regions,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,accessibility.md#15-focus-not-obscured; responsive.md#18-sticky-and-fixed-regions,None,True
KBDL-A11Y-011,accessibility.md#16-light-dark-forced-colors-and-high-contrast-behavior,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,accessibility.md#16-light-dark-forced-colors-and-high-contrast-behavior,None,True
KBDL-A11Y-012,accessibility.md#17-resize-text,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,accessibility.md#17-resize-text,None,True
KBDL-A11Y-013,accessibility.md#18-reflow,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,accessibility.md#18-reflow,None,True
KBDL-A11Y-014,accessibility.md#19-text-spacing-overrides,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,accessibility.md#19-text-spacing-overrides,None,True
KBDL-A11Y-015,accessibility.md#20-orientation; responsive.md#20-orientation-changes,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,accessibility.md#20-orientation; responsive.md#20-orientation-changes,None,True
KBDL-A11Y-016,accessibility.md#21-keyboard-operability,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,accessibility.md#21-keyboard-operability,None,True
KBDL-A11Y-017,accessibility.md#22-keyboard-traps-and-escape-behavior,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,accessibility.md#22-keyboard-traps-and-escape-behavior,None,True
KBDL-A11Y-018,accessibility.md#23-bypass-mechanisms,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,accessibility.md#23-bypass-mechanisms,None,True
KBDL-A11Y-019,accessibility.md#24-pointer-and-touch-behavior,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,accessibility.md#24-pointer-and-touch-behavior,None,True
KBDL-A11Y-020,accessibility.md#25-target-sizing-and-spacing,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,accessibility.md#25-target-sizing-and-spacing,None,True
KBDL-A11Y-021,accessibility.md#25-target-sizing-and-spacing; accessibility.md#49-accessibility-decision-packet,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,accessibility.md#25-target-sizing-and-spacing; accessibility.md#49-accessibility-decision-packet,None,True
KBDL-A11Y-022,accessibility.md#26-pointer-cancellation,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,accessibility.md#26-pointer-cancellation,None,True
KBDL-A11Y-023,accessibility.md#27-dragging-and-gesture-alternatives,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,accessibility.md#27-dragging-and-gesture-alternatives,None,True
KBDL-A11Y-024,accessibility.md#28-motion-actuation-alternatives,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,accessibility.md#28-motion-actuation-alternatives,None,True
KBDL-A11Y-025,accessibility.md#29-reduced-motion-and-no-motion-parity,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,accessibility.md#29-reduced-motion-and-no-motion-parity,None,True
KBDL-A11Y-026,accessibility.md#30-flashing-vestibular-and-motion-safety-limits,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,accessibility.md#30-flashing-vestibular-and-motion-safety-limits,None,True
KBDL-A11Y-027,accessibility.md#31-timing-automatic-movement-and-interruptions,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,accessibility.md#31-timing-automatic-movement-and-interruptions,None,True
KBDL-A11Y-028,accessibility.md#32-forms-labels-instructions-and-autocomplete,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,accessibility.md#32-forms-labels-instructions-and-autocomplete,None,True
KBDL-A11Y-029,accessibility.md#33-error-identification-and-recovery,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,accessibility.md#33-error-identification-and-recovery,None,True
KBDL-A11Y-030,accessibility.md#34-error-prevention-for-consequential-actions,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,accessibility.md#34-error-prevention-for-consequential-actions,None,True
KBDL-A11Y-031,accessibility.md#35-status-messages-and-live-communication,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,accessibility.md#35-status-messages-and-live-communication,None,True
KBDL-A11Y-032,accessibility.md#36-authentication-accessibility,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,accessibility.md#36-authentication-accessibility,None,True
KBDL-A11Y-033,accessibility.md#37-plain-language-and-cognitive-accessibility,authoritative Specification location; historical PRN readable-group location; FND related-foundation section; GOV normative heading,accessibility.md#37-plain-language-and-cognitive-accessibility,None,True
