Requirement ID,Complete,Defect
KBDL-A11Y-001,True,None
KBDL-A11Y-002,True,None
KBDL-A11Y-003,True,None
KBDL-A11Y-004,True,None
KBDL-A11Y-005,True,None
KBDL-A11Y-006,True,None
KBDL-A11Y-007,True,None
KBDL-A11Y-008,True,None
KBDL-A11Y-009,True,None
KBDL-A11Y-010,True,None
KBDL-A11Y-011,True,None
KBDL-A11Y-012,True,None
KBDL-A11Y-013,True,None
KBDL-A11Y-014,True,None
KBDL-A11Y-015,True,None
KBDL-A11Y-016,True,None
KBDL-A11Y-017,True,None
KBDL-A11Y-018,True,None
KBDL-A11Y-019,True,None
KBDL-A11Y-020,True,None
KBDL-A11Y-021,True,None
KBDL-A11Y-022,True,None
KBDL-A11Y-023,True,None
KBDL-A11Y-024,True,None
KBDL-A11Y-025,True,None
KBDL-A11Y-026,True,None
KBDL-A11Y-027,True,None
KBDL-A11Y-028,True,None
KBDL-A11Y-029,True,None
KBDL-A11Y-030,True,None
KBDL-A11Y-031,True,None
KBDL-A11Y-032,True,None
KBDL-A11Y-033,True,None
KBDL-A11Y-034,True,None
KBDL-A11Y-035,True,None
KBDL-A11Y-036,True,None
KBDL-A11Y-037,True,None
KBDL-A11Y-038,True,None
KBDL-A11Y-039,True,None
KBDL-A11Y-040,True,None
KBDL-CMP-001,True,None
KBDL-CMP-002,True,None
KBDL-CMP-003,True,None
KBDL-CMP-004,True,None
KBDL-CMP-005,True,None
KBDL-CMP-006,True,None
KBDL-CMP-007,True,None
KBDL-CMP-008,True,None
KBDL-CMP-009,True,None
KBDL-CMP-010,True,None
KBDL-CMP-011,True,None
KBDL-CMP-012,True,None
KBDL-CMP-013,True,None
KBDL-CMP-014,True,None
KBDL-CMP-015,True,None
KBDL-CMP-016,True,None
KBDL-CMP-017,True,None
KBDL-CMP-018,True,None
KBDL-CMP-019,True,None
KBDL-CMP-020,True,None
KBDL-CMP-021,True,None
KBDL-CMP-022,True,None
KBDL-CMP-023,True,None
KBDL-CMP-024,True,None
KBDL-CMP-025,True,None
KBDL-CMP-026,True,None
KBDL-CMP-027,True,None
KBDL-CMP-028,True,None
KBDL-CMP-029,True,None
KBDL-CMP-030,True,None
KBDL-CMP-031,True,None
KBDL-CMP-032,True,None
KBDL-CMP-033,True,None
KBDL-CMP-034,True,None
KBDL-CMP-035,True,None
KBDL-CMP-036,True,None
KBDL-CMP-037,True,None
KBDL-CMP-038,True,None
KBDL-CMP-039,True,None
KBDL-CMP-040,True,None
KBDL-CMP-041,True,None
KBDL-CMP-042,True,None
KBDL-CMP-043,True,None
KBDL-CMP-044,True,None
KBDL-CMP-045,True,None
KBDL-CMP-046,True,None
KBDL-CMP-047,True,None
KBDL-CMP-048,True,None
KBDL-CMP-049,True,None
KBDL-CMP-050,True,None
KBDL-CMP-051,True,None
KBDL-CMP-052,True,None
KBDL-CMP-053,True,None
KBDL-CMP-054,True,None
KBDL-CMP-055,True,None
KBDL-CMP-056,True,None
KBDL-CMP-057,True,None
KBDL-CMP-058,True,None
KBDL-CMP-059,True,None
KBDL-CMP-060,True,None
KBDL-CMP-061,True,None
