Requirement ID,Authority,Targets,Missing targets,Circular
KBDL-A11Y-001,"Lifecycle authority: Approved (directly restates WCAG 2.2 SC 1.1.1, Level A, and SC 1.4.5, Level AA)",None,None,False
KBDL-A11Y-002,"Lifecycle authority: Approved (directly restates WCAG 2.2 SC 1.2.x, Level A/AA)",None,None,False
KBDL-A11Y-003,"Lifecycle authority: Approved (directly restates WCAG 2.2 SC 1.3.1 and SC 4.1.2, both Level A)",None,None,False
KBDL-A11Y-004,"Lifecycle authority: Approved (directly restates WCAG 2.2 SC 2.4.2, Level A, and SC 2.4.6, Level AA)",None,None,False
KBDL-A11Y-005,"Lifecycle authority: Approved (directly restates WCAG 2.2 SC 1.3.2 and SC 2.4.3, both Level A)",None,None,False
KBDL-A11Y-006,"Lifecycle authority: Approved (directly restates WCAG 2.2 SC 1.4.1, Level A, and the locked component-state-clarity rule)",None,None,False
KBDL-A11Y-007,"Lifecycle authority: Approved (directly restates WCAG 2.2 SC 1.4.3, Level AA)",None,None,False
KBDL-A11Y-008,"Lifecycle authority: Approved (directly restates WCAG 2.2 SC 1.4.11, Level AA)",None,None,False
KBDL-A11Y-009,"Lifecycle authority: Approved (directly restates WCAG 2.2 SC 2.4.7, Level AA)",None,None,False
KBDL-A11Y-010,"Lifecycle authority: Approved (directly restates WCAG 2.2 SC 2.4.11, Level AA)",None,None,False
KBDL-A11Y-011,Lifecycle authority: Recommended (new KBDL policy — no prior theme decision addresses forced-colors mode; explicitly excluded from KBDL-DEC-013),KBDL-DEC-013,None,False
KBDL-A11Y-012,"Lifecycle authority: Approved (directly restates WCAG 2.2 SC 1.4.4, Level AA)",None,None,False
KBDL-A11Y-013,"Lifecycle authority: Approved (directly restates WCAG 2.2 SC 1.4.10, Level AA)",None,None,False
KBDL-A11Y-014,"Lifecycle authority: Approved (directly restates WCAG 2.2 SC 1.4.12, Level AA)",None,None,False
KBDL-A11Y-015,"Lifecycle authority: Approved (directly restates WCAG 2.2 SC 1.3.4, Level AA)",None,None,False
KBDL-A11Y-016,"Lifecycle authority: Approved (directly restates WCAG 2.2 SC 2.1.1, SC 2.1.4, and SC 3.2.1, all Level A)",None,None,False
KBDL-A11Y-017,"Lifecycle authority: Approved (directly restates WCAG 2.2 SC 2.1.2, Level A)",None,None,False
KBDL-A11Y-018,"Lifecycle authority: Approved (directly restates WCAG 2.2 SC 2.4.1, Level A)",None,None,False
KBDL-A11Y-019,Lifecycle authority: Approved,None,None,False
KBDL-A11Y-020,"Lifecycle authority: Approved (directly restates WCAG 2.2 SC 2.5.8, Level AA)",None,None,False
KBDL-A11Y-021,"Lifecycle authority: Recommended (new KBDL enhancement, not yet approved)",None,None,False
KBDL-A11Y-022,"Lifecycle authority: Approved (directly restates WCAG 2.2 SC 2.5.2, Level A)",None,None,False
KBDL-A11Y-023,"Lifecycle authority: Approved (directly restates WCAG 2.2 SC 2.5.1, Level A, and SC 2.5.7, Level AA)",None,None,False
KBDL-A11Y-024,"Lifecycle authority: Approved (directly restates WCAG 2.2 SC 2.5.4, Level A)",None,None,False
KBDL-A11Y-025,"Lifecycle authority: Approved (restates KBDL-MOT-022, already Approved under KBDL-DEC-014; not reopened)",KBDL-DEC-014; KBDL-MOT-022,None,False
KBDL-A11Y-026,"Lifecycle authority: Approved (directly restates WCAG 2.2 SC 2.3.1, Level A, and restates the already-Approved KBDL-MOT-023)",KBDL-MOT-023,None,False
KBDL-A11Y-027,"Lifecycle authority: Approved (directly restates WCAG 2.2 SC 2.2.1 and SC 2.2.2, both Level A)",None,None,False
KBDL-A11Y-028,"Lifecycle authority: Approved (directly restates WCAG 2.2 SC 1.3.5, SC 2.5.3, SC 3.2.2, SC 3.3.2, and SC 3.3.7, Levels A/AA as listed)",None,None,False
KBDL-A11Y-029,"Lifecycle authority: Approved (directly restates WCAG 2.2 SC 3.3.1, Level A, and SC 3.3.3, Level AA)",None,None,False
KBDL-A11Y-030,"Lifecycle authority: Approved (directly restates WCAG 2.2 SC 3.3.4, Level AA)",None,None,False
KBDL-A11Y-031,"Lifecycle authority: Approved (directly restates WCAG 2.2 SC 4.1.3, Level AA)",None,None,False
KBDL-A11Y-032,"Lifecycle authority: Approved (directly restates WCAG 2.2 SC 3.3.8, Level AA)",None,None,False
KBDL-A11Y-033,"Lifecycle authority: Approved (directly restates WCAG 2.2 SC 3.1.1, Level A, and KBDL-PRN-003, Consumer Comprehension)",KBDL-PRN-003,None,False
KBDL-A11Y-034,"Lifecycle authority: Approved (directly restates WCAG 2.2 SC 2.4.4, Level A, and SC 3.2.6, Level A)",None,None,False
KBDL-A11Y-035,"Lifecycle authority: Recommended (new KBDL testing-process enhancement, not yet approved)",None,None,False
KBDL-A11Y-036,Lifecycle authority: Approved (cross-reference to already-Approved requirements),None,None,False
KBDL-A11Y-037,Lifecycle authority: Approved (restates KBDL-A11Y-003 applied to tabular data),KBDL-A11Y-003,None,False
KBDL-A11Y-038,Lifecycle authority: Approved (cross-reference),None,None,False
KBDL-A11Y-039,Lifecycle authority: Approved (cross-reference),None,None,False
KBDL-A11Y-040,Lifecycle authority: Approved (directly restates principles.md §9.4),None,None,False
KBDL-CMP-001,Lifecycle authority: Approved (structural completeness requirement),None,None,False
KBDL-CMP-002,Lifecycle authority: Approved (directly restates WCAG 2.2 SC 4.1.2 and the WAI-ARIA First Rule of ARIA Use),None,None,False
KBDL-CMP-003,Lifecycle authority: Approved (directly restates WCAG 2.2 SC 4.1.2 and SC 2.5.3),None,None,False
KBDL-CMP-004,Lifecycle authority: Approved (directly restates the locked component-state-clarity rule),None,None,False
KBDL-CMP-005,Lifecycle authority: Approved (scope-control requirement),None,None,False
KBDL-CMP-006,Lifecycle authority: Approved (directly restates WCAG 2.2 SC 2.4.7 and SC 2.4.11),None,None,False
KBDL-CMP-007,Lifecycle authority: Approved (directly restates WCAG 2.2 SC 2.1.1 and SC 2.1.2),None,None,False
KBDL-CMP-008,Lifecycle authority: Approved (directly restates WCAG 2.2 SC 2.5.2 and SC 2.5.8),None,None,False
KBDL-CMP-009,"Lifecycle authority: Approved (directly restates KBDL-RSP-001, 006, 007, 020)",KBDL-RSP-001,None,False
KBDL-CMP-010,Lifecycle authority: Approved (directly restates KBDL-A11Y-020),KBDL-A11Y-020,None,False
KBDL-CMP-011,Lifecycle authority: Approved (directly restates the approved theme architecture),None,None,False
KBDL-CMP-012,Lifecycle authority: Approved (directly restates the approved foundation architecture),None,None,False
KBDL-CMP-013,"Lifecycle authority: Approved (structural requirement — the obligation to document motion necessity/purpose/hierarchy/parity per component is itself Approved; the *exact* component-specific duration, distance, scale, stagger, easing, choreography, or rendering-technology mapping for any individual component is not newly approved by this requirement where no prior approved KBDL rule already supplies it — such exact mappings remain governed by the existing motion unresolved/not-approval-ready items in motion/README.md §10.3 and this module's own §36)",None,None,False
KBDL-CMP-014,Lifecycle authority: Approved (core restates native-semantics-first and state-model rules),None,None,False
KBDL-CMP-015,Lifecycle authority: Recommended (new component taxonomy),None,None,False
KBDL-CMP-016,Lifecycle authority: Approved (directly restates WCAG 2.2 SC 4.1.2),None,None,False
KBDL-CMP-017,Lifecycle authority: Recommended (new threshold guidance),None,None,False
KBDL-CMP-018,Lifecycle authority: Approved (directly restates WAI-ARIA),None,None,False
KBDL-CMP-019,Lifecycle authority: Approved (directly restates WCAG 2.2 SC 2.4.4),None,None,False
KBDL-CMP-020,Lifecycle authority: Recommended (new composition guidance),None,None,False
KBDL-CMP-021,Lifecycle authority: Approved (directly restates the WAI-ARIA disclosure pattern),None,None,False
KBDL-CMP-022,"Lifecycle authority: Approved (directly restates WCAG 2.2 SC 3.3.2, SC 1.3.5, SC 3.3.7)",None,None,False
KBDL-CMP-023,Lifecycle authority: Approved,None,None,False
KBDL-CMP-024,Lifecycle authority: Approved (directly restates WCAG 2.2 SC 3.3.8),None,None,False
KBDL-CMP-025,Lifecycle authority: Recommended (new component taxonomy),None,None,False
KBDL-CMP-026,Lifecycle authority: Approved,None,None,False
KBDL-CMP-027,Lifecycle authority: Approved (directly restates native-semantics-first),None,None,False
KBDL-CMP-028,Lifecycle authority: Approved (directly restates WAI-ARIA/APG),None,None,False
KBDL-CMP-029,Lifecycle authority: Recommended (new threshold guidance),None,None,False
KBDL-CMP-030,Lifecycle authority: Approved,None,None,False
KBDL-CMP-031,Lifecycle authority: Approved,None,None,False
KBDL-CMP-032,Lifecycle authority: Approved (directly restates WAI-ARIA switch role),None,None,False
KBDL-CMP-033,Lifecycle authority: Approved,None,None,False
KBDL-CMP-034,Lifecycle authority: Approved,None,None,False
KBDL-CMP-035,Lifecycle authority: Approved (behavioral requirement),None,None,False
KBDL-CMP-036,Lifecycle authority: Recommended (new component-level guidance),None,None,False
KBDL-CMP-037,"Lifecycle authority: Approved (directly restates WCAG 2.2 SC 3.3.1, SC 3.3.3, SC 3.3.4, SC 3.3.7, SC 4.1.3)",None,None,False
KBDL-CMP-038,Lifecycle authority: Approved (directly restates WCAG 2.2 SC 2.4.1),None,None,False
KBDL-CMP-039,Lifecycle authority: Approved,None,None,False
KBDL-CMP-040,Lifecycle authority: Approved,None,None,False
KBDL-CMP-041,Lifecycle authority: Recommended (depends on unapproved responsive values),None,None,False
KBDL-CMP-042,Lifecycle authority: Approved,None,None,False
KBDL-CMP-043,Lifecycle authority: Approved,None,None,False
KBDL-CMP-044,Lifecycle authority: Recommended,None,None,False
KBDL-CMP-045,Lifecycle authority: Approved (directly restates the WAI-ARIA tabs pattern),None,None,False
KBDL-CMP-046,Lifecycle authority: Recommended (new component choice),None,None,False
KBDL-CMP-047,Lifecycle authority: Approved,None,None,False
KBDL-CMP-048,Lifecycle authority: Recommended,None,None,False
KBDL-CMP-049,Lifecycle authority: Approved,None,None,False
KBDL-CMP-050,Lifecycle authority: Approved (restates the shared contract applied compositionally),None,None,False
KBDL-CMP-051,Lifecycle authority: Approved (directly restates principles.md §9.4),None,None,False
KBDL-CMP-052,"Lifecycle authority: Approved (scope-control requirement, extends KBDL-CMP-005)",KBDL-CMP-005,None,False
KBDL-CMP-053,"Lifecycle authority: Approved (extends the already-Approved native- semantics-first rule, KBDL-CMP-002, and the adopted ARIA 1.2 region role definition, to this module's surfaces)",KBDL-CMP-002,None,False
KBDL-CMP-054,Lifecycle authority: Approved (restates ARIA 1.2's region role definition),None,None,False
KBDL-CMP-055,"Lifecycle authority: Approved (restates the native HTML prohibition on nested interactive elements and the already-Approved hover- independent-discoverability requirement, responsive.md §24)",None,None,False
KBDL-CMP-056,"Lifecycle authority: Approved (dictated outcome of the already-adopted WCAG 2.2 focus, keyboard, and reading-order rules applied to layered content — a structural scope statement, not new policy)",None,None,False
KBDL-CMP-057,"Lifecycle authority: Approved (restates the already-adopted WCAG 2.2 SC 2.1.1 Keyboard and SC 2.1.2 No Keyboard Trap, and the already- Approved KBDL-007 keyboard contract, KBDL-CMP-007, applied explicitly to non-modal overlays)",KBDL-CMP-007,None,False
KBDL-CMP-058,Lifecycle authority: Approved (dictated outcome of the already-adopted WCAG 2.2 SC 2.4.3 Focus Order — an unset focus target would violate the requirement that focus order remain determinable),None,None,False
KBDL-CMP-059,"Lifecycle authority: Approved (restates the already-adopted WCAG 2.2 SC 2.2.1 Timing Adjustable, extended to this module's dismissible surfaces generally, beyond the Toast-specific case in KBDL-CMP-090)",KBDL-CMP-090,None,False
KBDL-CMP-060,"Lifecycle authority: Approved (restates the already-Approved motion- parity rule, motion/accessibility-performance.md §1)",None,None,False
KBDL-CMP-061,"Lifecycle authority: Approved (restates the locked component-state- clarity rule, principles.md §5.1, and KBDL-CMP-004, applied explicitly to the states this document introduces)",KBDL-CMP-004,None,False
KBDL-CMP-062,"Lifecycle authority: Approved (restates KBDL-CMP-053/002 as an explicit prohibition, distinguishing the general preference from the specific misuse it forbids)",KBDL-CMP-053,None,False
KBDL-CMP-063,"Lifecycle authority: Approved (restates the already-Approved correctness/safety priority, principles.md §4 item 1, as a general baseline; KBDL-CMP-103 states its Offline/ Reconnecting-specific application)",KBDL-CMP-103,None,False
KBDL-CMP-064,Lifecycle authority: Approved (extends the existing KBDL security principle already established in components-core.md §37 as a general baseline; KBDL-CMP-101 and KBDL-CMP-104 state its Error-State- and Permission/Not-Found-specific applications),KBDL-CMP-101; KBDL-CMP-104,None,False
KBDL-CMP-065,"Lifecycle authority: Approved (extends the already-Approved KBDL-007 accessible-naming requirement, KBDL-CMP-003, to this module)",KBDL-CMP-003,None,False
KBDL-CMP-066,"Lifecycle authority: Approved (restates the already-Approved KBDL-007 profile-consistency requirement, KBDL-CMP-051, applied to this module)",KBDL-CMP-051,None,False
KBDL-CMP-067,Lifecycle authority: Recommended (new component-level taxonomy),None,None,False
KBDL-CMP-068,Lifecycle authority: Approved (restates the adopted ARIA disclosure pattern's role/state definitions and the already-Approved KBDL-007 disclosure-trigger contract),None,None,False
KBDL-CMP-069,Lifecycle authority: Recommended (new component-level policy),None,None,False
KBDL-CMP-070,"Lifecycle authority: Approved (restates the already-adopted WCAG 2.2 SC 1.3.1 Info and Relationships and the native-semantics-first rule, KBDL-CMP-002)",KBDL-CMP-002,None,False
KBDL-CMP-071,"the adopted WAI-ARIA 1.2 aria-modal property definition, which specifies that assistive technology should restrict its reading and navigation to the modal element while it is active, directly requires background content to be excluded from that navigation — this is the primary source for ""unreachable by ... screen-reader virtual cursor."" The already-adopted WCAG 2.2 SC 2.4.3 Focus Order and SC 2.4.11 Focus Not Obscured support, but do not by themselves fully dictate, this outcome for pointer/sequential-navigation reachability. The approved KBDL-008 prompt's Overlay Architecture section explicitly requires ""Background inertness"" as a mandatory field for every modal overlay, which is the source for treating this as a complete, single normative rule rather than an inference from the standards alone",None,None,False
KBDL-CMP-072,"""dismissible via Escape"" and ""remains visible while the trigger has hover or focus"" restate the already-adopted WCAG 2.2 SC 1.4.13 Content on Hover or Focus, which dictates exactly these three properties (dismissible, hoverable, persistent). ""Must never be the sole source of its trigger's accessible name"" restates the already- Approved KBDL-007 accessible-naming requirement, KBDL-CMP-003, and the adopted WCAG 2.2 SC 4.1.2 Name, Role, Value — not SC 1.4.13, which does not address naming. ""Contains only non- interactive text"" and ""leaves focus on its trigger"" are not dictated by SC 1.4.13 or the WAI-ARIA tooltip role definition alone (the ARIA 1.2 spec describes tooltip as advisory but does not itself prohibit interactive descendants); these two clauses are normative because the approved KBDL-008 prompt explicitly requires ""Informational, non-interactive purpose"" and ""Interactive-content prohibition"" as mandatory Tooltip fields. This requirement does not treat the APG tooltip pattern (explicitly non-consensus, see §4) as a source for any clause",KBDL-CMP-003,None,False
KBDL-CMP-073,"Lifecycle authority: Recommended (new KBDL-specific timing/placement policy, not dictated by the non-consensus APG tooltip pattern)",None,None,False
KBDL-CMP-074,Lifecycle authority: Recommended (new component-level taxonomy and dismissal policy),None,None,False
KBDL-CMP-075,Lifecycle authority: Approved (restates the adopted WAI-ARIA 1.2 menu role definitions and the already-Approved KBDL-007 trigger contract),None,None,False
KBDL-CMP-076,Lifecycle authority: Recommended (new component-level interaction policy; the underlying APG menu pattern is not automatically Approved),None,None,False
KBDL-CMP-077,Lifecycle authority: Approved (restates the adopted WAI-ARIA 1.2 listbox role definitions and the already-Approved KBDL-007 combobox contract),None,None,False
