Prompt ID,Prompt title,Roadmap position,Exact objective,Mandatory scope,Explicit exclusions,Preconditions,Approval command recovered,Approval command source,Approval timing recovered,Approval timing source,Existing authority basis,Requirements relying on the prompt,Existing implementation commit,Existing validation status,Conflicts found,Missing evidence,Recovery status,Proposed current confirmation,Confirmation effect,Confirmation exclusions,Project-owner decision,Decision date,Decision evidence,Notes
KBDL-001,Specification architecture and governance foundation,13,UNAVAILABLE — exact released prompt text was not present in the repository or available attachment set.,UNAVAILABLE — exact released prompt text was not present in the repository or available attachment set.,UNAVAILABLE — exact released prompt text was not present in the repository or available attachment set.,UNAVAILABLE — exact released prompt text was not present in the repository or available attachment set.,NO,None containing the original implementation-prompt approval command,NO,Sequence context only; not approval proof,Current requirement Authority fields; roadmap/blueprint decisions; later implementation/validation history (secondary only),KBDL-GOV-001; KBDL-GOV-002; KBDL-GOV-003,2d356b4,See per-requirement mapping; unchanged by AR1,Later approval assertions/implementation commits do not contain original command,"Exact original approval command, date/sequence point, approved mandatory scope, and exclusions",UNRECOVERED,"AI-DRAFT FOR SEPARATE PROJECT-OWNER REVIEW — Confirm current, non-retroactive authority for KBDL-001. The exact mandatory scope being confirmed is limited to the normative text, as it exists at baseline 33402250e3fdb27bd8e1cba53c722b7b765daf8a, of these relying requirements: KBDL-GOV-001; KBDL-GOV-002; KBDL-GOV-003. No unavailable historical prompt wording is incorporated or reconstructed. Effective date: date of explicit project-owner decision (pending). Prior implementation history is not rewritten; this does not prove historical approval wording; authority would arise only from the current approval forward. No pending decision-packet item, Recommended or Deferred requirement, implementation conformance, limitation, PRODUCTION READY status, or project completion is approved.",If separately approved: current authority from that decision forward; non-retroactive,No historical-wording proof; no packet/recommendation/implementation/limitation/readiness/completion approval,PENDING,PENDING,PENDING,Released prompt source: Not recovered. Implementation 2d356b4; remediation caa6d5d (R1).
KBDL-002,"Identity, principles, and visual consistency",2,UNAVAILABLE — exact released prompt text was not present in the repository or available attachment set.,UNAVAILABLE — exact released prompt text was not present in the repository or available attachment set.,UNAVAILABLE — exact released prompt text was not present in the repository or available attachment set.,UNAVAILABLE — exact released prompt text was not present in the repository or available attachment set.,NO,None containing the original implementation-prompt approval command,NO,Sequence context only; not approval proof,Current requirement Authority fields; roadmap/blueprint decisions; later implementation/validation history (secondary only),KBDL-PRN-001; KBDL-PRN-002; KBDL-PRN-003; KBDL-PRN-004; KBDL-PRN-005; KBDL-PRN-006; KBDL-PRN-007; KBDL-PRN-008,867306c,See per-requirement mapping; unchanged by AR1,Later approval assertions/implementation commits do not contain original command,"Exact original approval command, date/sequence point, approved mandatory scope, and exclusions",UNRECOVERED,"AI-DRAFT FOR SEPARATE PROJECT-OWNER REVIEW — Confirm current, non-retroactive authority for KBDL-002. The exact mandatory scope being confirmed is limited to the normative text, as it exists at baseline 33402250e3fdb27bd8e1cba53c722b7b765daf8a, of these relying requirements: KBDL-PRN-001; KBDL-PRN-002; KBDL-PRN-003; KBDL-PRN-004; KBDL-PRN-005; KBDL-PRN-006; KBDL-PRN-007; KBDL-PRN-008. No unavailable historical prompt wording is incorporated or reconstructed. Effective date: date of explicit project-owner decision (pending). Prior implementation history is not rewritten; this does not prove historical approval wording; authority would arise only from the current approval forward. No pending decision-packet item, Recommended or Deferred requirement, implementation conformance, limitation, PRODUCTION READY status, or project completion is approved.",If separately approved: current authority from that decision forward; non-retroactive,No historical-wording proof; no packet/recommendation/implementation/limitation/readiness/completion approval,PENDING,PENDING,PENDING,Released prompt source: Not recovered. Implementation 867306c; remediation c0d3b46 (R1).
KBDL-003,Core visual foundations,3,UNAVAILABLE — exact released prompt text was not present in the repository or available attachment set.,UNAVAILABLE — exact released prompt text was not present in the repository or available attachment set.,UNAVAILABLE — exact released prompt text was not present in the repository or available attachment set.,UNAVAILABLE — exact released prompt text was not present in the repository or available attachment set.,NO,None containing the original implementation-prompt approval command,NO,Sequence context only; not approval proof,Current requirement Authority fields; roadmap/blueprint decisions; later implementation/validation history (secondary only),KBDL-FND-001; KBDL-FND-002; KBDL-FND-003; KBDL-FND-004; KBDL-FND-005; KBDL-FND-006; KBDL-FND-007; KBDL-FND-008,bd9f520,See per-requirement mapping; unchanged by AR1,Later approval assertions/implementation commits do not contain original command,"Exact original approval command, date/sequence point, approved mandatory scope, and exclusions",UNRECOVERED,"AI-DRAFT FOR SEPARATE PROJECT-OWNER REVIEW — Confirm current, non-retroactive authority for KBDL-003. The exact mandatory scope being confirmed is limited to the normative text, as it exists at baseline 33402250e3fdb27bd8e1cba53c722b7b765daf8a, of these relying requirements: KBDL-FND-001; KBDL-FND-002; KBDL-FND-003; KBDL-FND-004; KBDL-FND-005; KBDL-FND-006; KBDL-FND-007; KBDL-FND-008. No unavailable historical prompt wording is incorporated or reconstructed. Effective date: date of explicit project-owner decision (pending). Prior implementation history is not rewritten; this does not prove historical approval wording; authority would arise only from the current approval forward. No pending decision-packet item, Recommended or Deferred requirement, implementation conformance, limitation, PRODUCTION READY status, or project completion is approved.",If separately approved: current authority from that decision forward; non-retroactive,No historical-wording proof; no packet/recommendation/implementation/limitation/readiness/completion approval,PENDING,PENDING,PENDING,Released prompt source: Not recovered. Implementation bd9f520; remediation 4ecd814 (R1); f3fbb98/6d6d1ec decision record.
KBDL-004,Adaptive theme system,4,UNAVAILABLE — exact released prompt text was not present in the repository or available attachment set.,UNAVAILABLE — exact released prompt text was not present in the repository or available attachment set.,UNAVAILABLE — exact released prompt text was not present in the repository or available attachment set.,UNAVAILABLE — exact released prompt text was not present in the repository or available attachment set.,NO,None containing the original implementation-prompt approval command,NO,Sequence context only; not approval proof,Current requirement Authority fields; roadmap/blueprint decisions; later implementation/validation history (secondary only),KBDL-THM-001; KBDL-THM-002; KBDL-THM-003; KBDL-THM-004; KBDL-THM-006; KBDL-THM-007; KBDL-THM-008; KBDL-THM-009; KBDL-THM-011; KBDL-THM-012; KBDL-THM-013; KBDL-THM-014; KBDL-THM-015,74d1d8f,See per-requirement mapping; unchanged by AR1,Later approval assertions/implementation commits do not contain original command,"Exact original approval command, date/sequence point, approved mandatory scope, and exclusions",UNRECOVERED,"AI-DRAFT FOR SEPARATE PROJECT-OWNER REVIEW — Confirm current, non-retroactive authority for KBDL-004. The exact mandatory scope being confirmed is limited to the normative text, as it exists at baseline 33402250e3fdb27bd8e1cba53c722b7b765daf8a, of these relying requirements: KBDL-THM-001; KBDL-THM-002; KBDL-THM-003; KBDL-THM-004; KBDL-THM-006; KBDL-THM-007; KBDL-THM-008; KBDL-THM-009; KBDL-THM-011; KBDL-THM-012; KBDL-THM-013; KBDL-THM-014; KBDL-THM-015. No unavailable historical prompt wording is incorporated or reconstructed. Effective date: date of explicit project-owner decision (pending). Prior implementation history is not rewritten; this does not prove historical approval wording; authority would arise only from the current approval forward. No pending decision-packet item, Recommended or Deferred requirement, implementation conformance, limitation, PRODUCTION READY status, or project completion is approved.",If separately approved: current authority from that decision forward; non-retroactive,No historical-wording proof; no packet/recommendation/implementation/limitation/readiness/completion approval,PENDING,PENDING,PENDING,Released prompt source: Not recovered. Implementation 74d1d8f; remediation 978aedd/b3e26b1/568ff92/743532a (R1–R4); cad8307 decision record.
KBDL-005,Expressive motion language,5,UNAVAILABLE — exact released prompt text was not present in the repository or available attachment set.,UNAVAILABLE — exact released prompt text was not present in the repository or available attachment set.,UNAVAILABLE — exact released prompt text was not present in the repository or available attachment set.,UNAVAILABLE — exact released prompt text was not present in the repository or available attachment set.,NO,None containing the original implementation-prompt approval command,NO,Sequence context only; not approval proof,Current requirement Authority fields; roadmap/blueprint decisions; later implementation/validation history (secondary only); KBDL-DEC-014 directly approves the later fifteen-item motion packet only,KBDL-MOT-001; KBDL-MOT-002; KBDL-MOT-014; KBDL-MOT-015; KBDL-MOT-016; KBDL-MOT-018; KBDL-MOT-021; KBDL-MOT-025; KBDL-MOT-027,ea32ce3,See per-requirement mapping; unchanged by AR1,KBDL-005 later direct decision approval is distinct,"Exact original approval command, date/sequence point, approved mandatory scope, and exclusions",UNRECOVERED,"AI-DRAFT FOR SEPARATE PROJECT-OWNER REVIEW — Confirm current, non-retroactive authority for KBDL-005. The exact mandatory scope being confirmed is limited to the normative text, as it exists at baseline 33402250e3fdb27bd8e1cba53c722b7b765daf8a, of these relying requirements: KBDL-MOT-001; KBDL-MOT-002; KBDL-MOT-014; KBDL-MOT-015; KBDL-MOT-016; KBDL-MOT-018; KBDL-MOT-021; KBDL-MOT-025; KBDL-MOT-027. No unavailable historical prompt wording is incorporated or reconstructed. Effective date: date of explicit project-owner decision (pending). Prior implementation history is not rewritten; this does not prove historical approval wording; authority would arise only from the current approval forward. No pending decision-packet item, Recommended or Deferred requirement, implementation conformance, limitation, PRODUCTION READY status, or project completion is approved.",If separately approved: current authority from that decision forward; non-retroactive,No historical-wording proof; no packet/recommendation/implementation/limitation/readiness/completion approval,PENDING,PENDING,PENDING,Released prompt source: Not recovered. Implementation ea32ce3; remediation 5aba999/a90b544 (R1–R2); e6916ac decision record.
KBDL-006,Responsive behavior and accessibility,6–7,UNAVAILABLE — exact released prompt text was not present in the repository or available attachment set.,UNAVAILABLE — exact released prompt text was not present in the repository or available attachment set.,UNAVAILABLE — exact released prompt text was not present in the repository or available attachment set.,UNAVAILABLE — exact released prompt text was not present in the repository or available attachment set.,NO,None containing the original implementation-prompt approval command,NO,Sequence context only; not approval proof,Current requirement Authority fields; roadmap/blueprint decisions; later implementation/validation history (secondary only),KBDL-A11Y-019; KBDL-A11Y-036; KBDL-A11Y-038; KBDL-A11Y-039; KBDL-A11Y-040; KBDL-RSP-001; KBDL-RSP-002; KBDL-RSP-003; KBDL-RSP-004; KBDL-RSP-005; KBDL-RSP-010; KBDL-RSP-012; KBDL-RSP-014; KBDL-RSP-017; KBDL-RSP-021; KBDL-RSP-022,14ef110,See per-requirement mapping; unchanged by AR1,Later approval assertions/implementation commits do not contain original command,"Exact original approval command, date/sequence point, approved mandatory scope, and exclusions",UNRECOVERED,"AI-DRAFT FOR SEPARATE PROJECT-OWNER REVIEW — Confirm current, non-retroactive authority for KBDL-006. The exact mandatory scope being confirmed is limited to the normative text, as it exists at baseline 33402250e3fdb27bd8e1cba53c722b7b765daf8a, of these relying requirements: KBDL-A11Y-019; KBDL-A11Y-036; KBDL-A11Y-038; KBDL-A11Y-039; KBDL-A11Y-040; KBDL-RSP-001; KBDL-RSP-002; KBDL-RSP-003; KBDL-RSP-004; KBDL-RSP-005; KBDL-RSP-010; KBDL-RSP-012; KBDL-RSP-014; KBDL-RSP-017; KBDL-RSP-021; KBDL-RSP-022. No unavailable historical prompt wording is incorporated or reconstructed. Effective date: date of explicit project-owner decision (pending). Prior implementation history is not rewritten; this does not prove historical approval wording; authority would arise only from the current approval forward. No pending decision-packet item, Recommended or Deferred requirement, implementation conformance, limitation, PRODUCTION READY status, or project completion is approved.",If separately approved: current authority from that decision forward; non-retroactive,No historical-wording proof; no packet/recommendation/implementation/limitation/readiness/completion approval,PENDING,PENDING,PENDING,Released prompt source: Not recovered. Implementation 14ef110; remediation 0c5789e (R1).
KBDL-007,"Core action, form, and navigation components",8,UNAVAILABLE — exact released prompt text was not present in the repository or available attachment set.,UNAVAILABLE — exact released prompt text was not present in the repository or available attachment set.,UNAVAILABLE — exact released prompt text was not present in the repository or available attachment set.,UNAVAILABLE — exact released prompt text was not present in the repository or available attachment set.,NO,None containing the original implementation-prompt approval command,NO,Sequence context only; not approval proof,Current requirement Authority fields; roadmap/blueprint decisions; later implementation/validation history (secondary only),KBDL-CMP-001; KBDL-CMP-004; KBDL-CMP-005; KBDL-CMP-011; KBDL-CMP-012; KBDL-CMP-013; KBDL-CMP-014; KBDL-CMP-023; KBDL-CMP-026; KBDL-CMP-027; KBDL-CMP-030; KBDL-CMP-031; KBDL-CMP-033; KBDL-CMP-034; KBDL-CMP-035; KBDL-CMP-039; KBDL-CMP-040; KBDL-CMP-042; KBDL-CMP-043; KBDL-CMP-044; KBDL-CMP-047; KBDL-CMP-048; KBDL-CMP-049; KBDL-CMP-050; KBDL-CMP-051,332ae95,See per-requirement mapping; unchanged by AR1,Later approval assertions/implementation commits do not contain original command,"Exact original approval command, date/sequence point, approved mandatory scope, and exclusions",UNRECOVERED,"AI-DRAFT FOR SEPARATE PROJECT-OWNER REVIEW — Confirm current, non-retroactive authority for KBDL-007. The exact mandatory scope being confirmed is limited to the normative text, as it exists at baseline 33402250e3fdb27bd8e1cba53c722b7b765daf8a, of these relying requirements: KBDL-CMP-001; KBDL-CMP-004; KBDL-CMP-005; KBDL-CMP-011; KBDL-CMP-012; KBDL-CMP-013; KBDL-CMP-014; KBDL-CMP-023; KBDL-CMP-026; KBDL-CMP-027; KBDL-CMP-030; KBDL-CMP-031; KBDL-CMP-033; KBDL-CMP-034; KBDL-CMP-035; KBDL-CMP-039; KBDL-CMP-040; KBDL-CMP-042; KBDL-CMP-043; KBDL-CMP-044; KBDL-CMP-047; KBDL-CMP-048; KBDL-CMP-049; KBDL-CMP-050; KBDL-CMP-051. No unavailable historical prompt wording is incorporated or reconstructed. Effective date: date of explicit project-owner decision (pending). Prior implementation history is not rewritten; this does not prove historical approval wording; authority would arise only from the current approval forward. No pending decision-packet item, Recommended or Deferred requirement, implementation conformance, limitation, PRODUCTION READY status, or project completion is approved.",If separately approved: current authority from that decision forward; non-retroactive,No historical-wording proof; no packet/recommendation/implementation/limitation/readiness/completion approval,PENDING,PENDING,PENDING,Released prompt source: Not recovered. Implementation 332ae95; remediation 513dd7e/f45fd47/ee46f5a (R1–R3).
KBDL-008,"Surface, overlay, feedback, and system-state components",9,UNAVAILABLE — exact released prompt text was not present in the repository or available attachment set.,UNAVAILABLE — exact released prompt text was not present in the repository or available attachment set.,UNAVAILABLE — exact released prompt text was not present in the repository or available attachment set.,UNAVAILABLE — exact released prompt text was not present in the repository or available attachment set.,NO,None containing the original implementation-prompt approval command,NO,Sequence context only; not approval proof,Current requirement Authority fields; roadmap/blueprint decisions; later implementation/validation history (secondary only),KBDL-CMP-055; KBDL-CMP-060; KBDL-CMP-071; KBDL-CMP-072; KBDL-CMP-088; KBDL-CMP-090; KBDL-CMP-096; KBDL-CMP-098; KBDL-CMP-100; KBDL-CMP-101; KBDL-CMP-103; KBDL-CMP-104,393a980,See per-requirement mapping; unchanged by AR1,Later approval assertions/implementation commits do not contain original command,"Exact original approval command, date/sequence point, approved mandatory scope, and exclusions",UNRECOVERED,"AI-DRAFT FOR SEPARATE PROJECT-OWNER REVIEW — Confirm current, non-retroactive authority for KBDL-008. The exact mandatory scope being confirmed is limited to the normative text, as it exists at baseline 33402250e3fdb27bd8e1cba53c722b7b765daf8a, of these relying requirements: KBDL-CMP-055; KBDL-CMP-060; KBDL-CMP-071; KBDL-CMP-072; KBDL-CMP-088; KBDL-CMP-090; KBDL-CMP-096; KBDL-CMP-098; KBDL-CMP-100; KBDL-CMP-101; KBDL-CMP-103; KBDL-CMP-104. No unavailable historical prompt wording is incorporated or reconstructed. Effective date: date of explicit project-owner decision (pending). Prior implementation history is not rewritten; this does not prove historical approval wording; authority would arise only from the current approval forward. No pending decision-packet item, Recommended or Deferred requirement, implementation conformance, limitation, PRODUCTION READY status, or project completion is approved.",If separately approved: current authority from that decision forward; non-retroactive,No historical-wording proof; no packet/recommendation/implementation/limitation/readiness/completion approval,PENDING,PENDING,PENDING,Released prompt source: Not recovered. Implementation 393a980; remediation c7d3da5/5cf9060 (R1–R2).
KBDL-009,Project profiles,10,UNAVAILABLE — exact released prompt text was not present in the repository or available attachment set.,UNAVAILABLE — exact released prompt text was not present in the repository or available attachment set.,UNAVAILABLE — exact released prompt text was not present in the repository or available attachment set.,UNAVAILABLE — exact released prompt text was not present in the repository or available attachment set.,NO,None containing the original implementation-prompt approval command,NO,Sequence context only; not approval proof,Current requirement Authority fields; roadmap/blueprint decisions; later implementation/validation history (secondary only),KBDL-PRO-002; KBDL-PRO-003; KBDL-PRO-004; KBDL-PRO-005; KBDL-PRO-006; KBDL-PRO-007; KBDL-PRO-008; KBDL-PRO-010; KBDL-PRO-011; KBDL-PRO-012; KBDL-PRO-023; KBDL-PRO-024; KBDL-PRO-025; KBDL-PRO-026,254b935,See per-requirement mapping; unchanged by AR1,Later approval assertions/implementation commits do not contain original command,"Exact original approval command, date/sequence point, approved mandatory scope, and exclusions",UNRECOVERED,"AI-DRAFT FOR SEPARATE PROJECT-OWNER REVIEW — Confirm current, non-retroactive authority for KBDL-009. The exact mandatory scope being confirmed is limited to the normative text, as it exists at baseline 33402250e3fdb27bd8e1cba53c722b7b765daf8a, of these relying requirements: KBDL-PRO-002; KBDL-PRO-003; KBDL-PRO-004; KBDL-PRO-005; KBDL-PRO-006; KBDL-PRO-007; KBDL-PRO-008; KBDL-PRO-010; KBDL-PRO-011; KBDL-PRO-012; KBDL-PRO-023; KBDL-PRO-024; KBDL-PRO-025; KBDL-PRO-026. No unavailable historical prompt wording is incorporated or reconstructed. Effective date: date of explicit project-owner decision (pending). Prior implementation history is not rewritten; this does not prove historical approval wording; authority would arise only from the current approval forward. No pending decision-packet item, Recommended or Deferred requirement, implementation conformance, limitation, PRODUCTION READY status, or project completion is approved.",If separately approved: current authority from that decision forward; non-retroactive,No historical-wording proof; no packet/recommendation/implementation/limitation/readiness/completion approval,PENDING,PENDING,PENDING,Released prompt source: Not recovered. Implementation 254b935; remediation 8dc232c/3503d95/907708c (R1–R3).
KBDL-010,Manual customization,11,Exact text retained at `sources/kbdl-010-released-prompt.md#objective`.,Exact text retained at `sources/kbdl-010-released-prompt.md#exact-scope`.,Exact text retained at `sources/kbdl-010-released-prompt.md#out-of-scope`.,Exact text retained at `sources/kbdl-010-released-prompt.md#preconditions`.,NO,None containing the original implementation-prompt approval command,NO,Sequence context only; not approval proof,Current requirement Authority fields; roadmap/blueprint decisions; later implementation/validation history (secondary only),KBDL-CUS-001; KBDL-CUS-002; KBDL-CUS-003; KBDL-CUS-004; KBDL-CUS-005; KBDL-CUS-006; KBDL-CUS-008; KBDL-CUS-009; KBDL-CUS-011; KBDL-CUS-012; KBDL-CUS-013; KBDL-CUS-015; KBDL-CUS-016; KBDL-CUS-018; KBDL-CUS-019; KBDL-CUS-021; KBDL-CUS-022,12080da,See per-requirement mapping; unchanged by AR1,Later approval assertions/implementation commits do not contain original command,"Exact original approval command, date/sequence point, approved mandatory scope, and exclusions",UNRECOVERED,"AI-DRAFT FOR SEPARATE PROJECT-OWNER REVIEW — Confirm current, non-retroactive authority for KBDL-010. The exact mandatory scope being confirmed is limited to the normative text, as it exists at baseline 33402250e3fdb27bd8e1cba53c722b7b765daf8a, of these relying requirements: KBDL-CUS-001; KBDL-CUS-002; KBDL-CUS-003; KBDL-CUS-004; KBDL-CUS-005; KBDL-CUS-006; KBDL-CUS-008; KBDL-CUS-009; KBDL-CUS-011; KBDL-CUS-012; KBDL-CUS-013; KBDL-CUS-015; KBDL-CUS-016; KBDL-CUS-018; KBDL-CUS-019; KBDL-CUS-021; KBDL-CUS-022. No unavailable historical prompt wording is incorporated or reconstructed. Effective date: date of explicit project-owner decision (pending). Prior implementation history is not rewritten; this does not prove historical approval wording; authority would arise only from the current approval forward. No pending decision-packet item, Recommended or Deferred requirement, implementation conformance, limitation, PRODUCTION READY status, or project completion is approved.",If separately approved: current authority from that decision forward; non-retroactive,No historical-wording proof; no packet/recommendation/implementation/limitation/readiness/completion approval,PENDING,PENDING,PENDING,Released prompt source: sources/kbdl-010-released-prompt.md. Implementation 12080da; remediation 55b6ba6 (R1).
