Requirement ID,Field name,Group heading,Value classification,Parsed value,Raw group field
KBDL-GOV-001,Blueprint section,Specification architecture,Exact per-ID mapping,Specification architecture and governance foundation,Specification architecture and governance foundation
KBDL-GOV-001,Roadmap prompt,Specification architecture,Exact per-ID mapping,KBDL-001,KBDL-001
KBDL-GOV-001,Specification location,Specification architecture,Exact per-ID mapping,[governance.md § KBDL-GOV-001](governance.md#kbdl-gov-001--specification-architecture-is-established),[governance.md § KBDL-GOV-001](governance.md#kbdl-gov-001--specification-architecture-is-established)
KBDL-GOV-001,Lifecycle status,Specification architecture,Missing,MISSING,MISSING
KBDL-GOV-001,Provenance,Specification architecture,Missing,MISSING,MISSING
KBDL-GOV-001,Validation classification,Specification architecture,Exact per-ID mapping,Verified,Verified
KBDL-GOV-001,Authority,Specification architecture,Missing,MISSING,MISSING
KBDL-GOV-001,Validation method,Specification architecture,Exact per-ID mapping,"Manual review — heading hierarchy, relative-link resolution, and heading-anchor correctness checked across all KBDL-001 files.","Manual review — heading hierarchy, relative-link resolution, and heading-anchor correctness checked across all KBDL-001 files."
KBDL-GOV-001,Validation evidence,Specification architecture,Exact per-ID mapping,Manual review recorded in commit `2d356b4` (KBDL-001 initial commit); re-checked for this remediation in commit-to-follow (see [decision-register.md § KBDL-DEC-011](decision-register.md#kbdl-dec-011--status-model-correction-approval-vs-provenance-vs-validation)).,Manual review recorded in commit `2d356b4` (KBDL-001 initial commit); re-checked for this remediation in commit-to-follow (see [decision-register.md § KBDL-DEC-011](decision-register.md#kbdl-dec-011--status-model-correction-approval-vs-provenance-vs-validation)).
KBDL-GOV-001,Known limitation,Specification architecture,Exact per-ID mapping,"No automated Markdown linter or link checker was available in this environment; verification is manual, not tool-based.","No automated Markdown linter or link checker was available in this environment; verification is manual, not tool-based."
KBDL-GOV-001,Packet or tracking destination,Specification architecture,Missing,MISSING,MISSING
KBDL-GOV-001,Pending dependencies,Specification architecture,Missing,MISSING,MISSING
KBDL-GOV-001,Related decision,Specification architecture,Exact per-ID mapping,Not applicable,Not applicable
KBDL-GOV-001,Notes or exclusions,Specification architecture,Exact per-ID mapping,Demonstrates the requirement-ID convention.,Demonstrates the requirement-ID convention.
KBDL-GOV-002,Blueprint section,Accessibility baseline protection,Exact per-ID mapping,WCAG 2.2 AA baseline with enhanced motion safety (locked-rule protection),WCAG 2.2 AA baseline with enhanced motion safety (locked-rule protection)
KBDL-GOV-002,Roadmap prompt,Accessibility baseline protection,Exact per-ID mapping,KBDL-001,KBDL-001
