Requirement ID,Clause number,Method clause,Evidence source,Required result,Execution result,Coverage result,Self-referential,Remaining Not-verified scope,Overall result
KBDL-A11Y-007,1,"WCAG relative-luminance contrast calculation (completed for theme role pairs, see cited evidence)",themes/validation.md#3-consolidated-contrast-evidence,52,PASS,COMPLETE,False,None,PASS
KBDL-A11Y-008,1,WCAG relative-luminance contrast calculation (completed for documented pairs),themes/validation.md#3-consolidated-contrast-evidence,52,PASS,COMPLETE,False,None,PASS
KBDL-A11Y-009,1,Contrast calculation (completed),themes/validation.md#3-consolidated-contrast-evidence,52,PASS,COMPLETE,False,None,PASS
KBDL-A11Y-009,2,manual keyboard review once implemented,themes/validation.md#3-consolidated-contrast-evidence,52,PASS,COMPLETE,False,None,PASS
KBDL-FND-009,1,"Contrast calculation (completed, see evidence)",foundations/color.md#4-contrast-evidence-illustrative-not-a-theme-mapping,5.59:1,PASS,COMPLETE,False,Verified for the contrast calculations only (see color.md §4); Not verified for suitability as a final brand palette,PASS
KBDL-FND-009,2,brand suitability review (not yet performed),foundations/color.md#4-contrast-evidence-illustrative-not-a-theme-mapping,5.59:1,PASS,COMPLETE,False,Verified for the contrast calculations only (see color.md §4); Not verified for suitability as a final brand palette,PASS
KBDL-GOV-001,1,"Manual review — heading hierarchy, relative-link resolution,",2d356b427f60e6737dd971bcafe231b15dfdf6e0,commit exists,PASS,COMPLETE,False,None,PASS
KBDL-GOV-001,2,heading-anchor correctness checked across all KBDL-001 files,2d356b427f60e6737dd971bcafe231b15dfdf6e0,commit exists,PASS,COMPLETE,False,None,PASS
KBDL-GOV-003,1,"Manual review against this prompt's required governance topics (ownership, proposal, review, approval, scope-change, exception, deprecation, versioning, documentation-update, accessibility/motion/responsive review, conformance-review, conflict-resolution, restoration, evidence)",2d356b427f60e6737dd971bcafe231b15dfdf6e0,commit exists,PASS,COMPLETE,False,None,PASS
KBDL-THM-002,1,"Parity-matrix completeness check (performed, see validation.md)",themes/semantic-roles.md#parity-matrix-corrected-under-kbdl-004-r1,72,PASS,COMPLETE,False,None,PASS
KBDL-THM-007,1,"WCAG relative-luminance contrast calculation (completed, see validation.md)",themes/validation.md#3-consolidated-contrast-evidence,52,PASS,COMPLETE,False,Verified for the opaque contrast pairs listed in light-theme.md and validation.md; Not verified for the excluded opacity values or for suitability beyond the tested pairs,PASS
KBDL-THM-007,2,"project-owner approval (recorded, see [KBDL-DEC-013](../decision-register.md#kbdl-dec-013--kbdl-004-theme-decisions-approved))",themes/validation.md#3-consolidated-contrast-evidence,52,PASS,COMPLETE,False,Verified for the opaque contrast pairs listed in light-theme.md and validation.md; Not verified for the excluded opacity values or for suitability beyond the tested pairs,PASS
KBDL-THM-008,1,"WCAG relative-luminance contrast calculation (completed, see validation.md)",themes/validation.md#3-consolidated-contrast-evidence,52,PASS,COMPLETE,False,Verified for the opaque contrast pairs listed in dark-theme.md and validation.md; Not verified for the excluded opacity values or for suitability beyond the tested pairs,PASS
KBDL-THM-008,2,"project-owner approval (recorded, see [KBDL-DEC-013](../decision-register.md#kbdl-dec-013--kbdl-004-theme-decisions-approved))",themes/validation.md#3-consolidated-contrast-evidence,52,PASS,COMPLETE,False,Verified for the opaque contrast pairs listed in dark-theme.md and validation.md; Not verified for the excluded opacity values or for suitability beyond the tested pairs,PASS
KBDL-THM-009,1,"WCAG relative-luminance contrast calculation (completed, see validation.md)",themes/validation.md#3-consolidated-contrast-evidence,52,PASS,COMPLETE,False,Verified for the contrast pairs listed (see validation.md); Not verified for suitability beyond the tested pairs,PASS
KBDL-THM-009,2,"project-owner approval (recorded, see [KBDL-DEC-013](../decision-register.md#kbdl-dec-013--kbdl-004-theme-decisions-approved))",themes/validation.md#3-consolidated-contrast-evidence,52,PASS,COMPLETE,False,Verified for the contrast pairs listed (see validation.md); Not verified for suitability beyond the tested pairs,PASS
KBDL-THM-010,1,"Manual review of worst-case text-over-gradient contrast (performed for the documented example, see validation.md)",themes/adaptation.md#43-worked-example--worst-case-contrast-corrected-kbdl-004-r1,both,PASS,COMPLETE,False,Verified for the opaque caption-band pair and both gradient endpoints (see validation.md); Not verified for any translucent variant,PASS
KBDL-THM-010,2,"project-owner approval (recorded, see [KBDL-DEC-013](../decision-register.md#kbdl-dec-013--kbdl-004-theme-decisions-approved))",themes/adaptation.md#43-worked-example--worst-case-contrast-corrected-kbdl-004-r1,both,PASS,COMPLETE,False,Verified for the opaque caption-band pair and both gradient endpoints (see validation.md); Not verified for any translucent variant,PASS
