id,lifecycle,tracked,source_file
KBDL-A11Y-011,Recommended,True,accessibility.md
KBDL-A11Y-021,Recommended,True,accessibility.md
KBDL-A11Y-035,Recommended,True,accessibility.md
KBDL-CMP-015,Recommended,True,components-core.md
KBDL-CMP-017,Recommended,True,components-core.md
KBDL-CMP-020,Recommended,True,components-core.md
KBDL-CMP-025,Recommended,True,components-core.md
KBDL-CMP-029,Recommended,True,components-core.md
KBDL-CMP-036,Recommended,True,components-core.md
KBDL-CMP-041,Recommended,True,components-core.md
KBDL-CMP-044,Recommended,True,components-core.md
KBDL-CMP-046,Recommended,True,components-core.md
KBDL-CMP-048,Recommended,True,components-core.md
KBDL-CMP-067,Recommended,True,components-system.md
KBDL-CMP-069,Recommended,True,components-system.md
KBDL-CMP-073,Recommended,True,components-system.md
KBDL-CMP-074,Recommended,True,components-system.md
KBDL-CMP-076,Recommended,True,components-system.md
KBDL-CMP-080,Recommended,True,components-system.md
KBDL-CMP-083,Recommended,True,components-system.md
KBDL-CMP-085,Recommended,True,components-system.md
KBDL-CMP-089,Recommended,True,components-system.md
KBDL-CMP-091,Recommended,True,components-system.md
KBDL-CMP-099,Recommended,True,components-system.md
KBDL-CMP-102,Recommended,True,components-system.md
KBDL-CMP-105,Recommended,True,components-system.md
KBDL-CMP-106,Recommended,True,components-system.md
KBDL-CMP-108,Recommended,True,components-system.md
KBDL-CMP-110,Recommended,True,components-system.md
KBDL-CMP-111,Recommended,True,components-system.md
KBDL-CUS-023,Recommended,True,customization.md
KBDL-CUS-024,Recommended,True,customization.md
KBDL-CUS-025,Recommended,True,customization.md
KBDL-CUS-026,Recommended,True,customization.md
KBDL-CUS-027,Recommended,True,customization.md
KBDL-CUS-028,Recommended,True,customization.md
KBDL-CUS-029,Recommended,True,customization.md
KBDL-CUS-030,Deferred,True,customization.md
KBDL-PRO-009,Recommended,True,profiles.md
KBDL-PRO-016,Recommended,True,profiles.md
KBDL-PRO-017,Recommended,True,profiles.md
KBDL-PRO-018,Recommended,True,profiles.md
KBDL-PRO-027,Recommended,True,profiles.md
KBDL-PRO-028,Recommended,True,profiles.md
KBDL-PRO-029,Recommended,True,profiles.md
KBDL-RSP-002,Recommended,True,responsive.md
KBDL-RSP-003,Recommended,True,responsive.md
KBDL-RSP-004,Recommended,True,responsive.md
KBDL-RSP-005,Recommended,True,responsive.md
KBDL-RSP-008,Recommended,True,responsive.md
KBDL-RSP-011,Recommended,True,responsive.md
