Prompt ID,Requirement ID,Exact authority clause,Authority dependency,Additional authority source,Lifecycle,Validation status,Source file
KBDL-006,KBDL-A11Y-019,Project-owner-approved KBDL-006 implementation prompt; authoritative provenance: Confirmed,SOLE PROMPT,None recorded,Approved,Not applicable,accessibility.md
KBDL-006,KBDL-A11Y-036,Approved (cross-reference to already-Approved requirements); project-owner-approved KBDL-006 implementation prompt,SOLE PROMPT,None recorded,Approved,Not applicable,accessibility.md
KBDL-006,KBDL-A11Y-038,Approved (cross-reference); project-owner-approved KBDL-006 implementation prompt,SOLE PROMPT,None recorded,Approved,Not applicable,accessibility.md
KBDL-006,KBDL-A11Y-039,Approved (cross-reference); project-owner-approved KBDL-006 implementation prompt,SOLE PROMPT,None recorded,Approved,Not applicable,accessibility.md
KBDL-006,KBDL-A11Y-040,Approved (directly restates principles.md §9.4); project-owner-approved KBDL-006 implementation prompt,SOLE PROMPT,None recorded,Approved,Not verified,accessibility.md
KBDL-007,KBDL-CMP-001,Approved (structural completeness requirement); project-owner-approved KBDL-007/008 implementation prompt,SOLE PROMPT,None recorded,Approved,Not verified,components-core.md
KBDL-007,KBDL-CMP-004,Approved (directly restates the locked component-state-clarity rule); project-owner-approved KBDL-007/008 implementation prompt,SOLE PROMPT,None recorded,Approved,Not verified,components-core.md
KBDL-007,KBDL-CMP-005,Approved (scope-control requirement); project-owner-approved KBDL-007/008 implementation prompt,SOLE PROMPT,None recorded,Approved,Not applicable,components-core.md
KBDL-007,KBDL-CMP-011,Approved (directly restates the approved theme architecture); project-owner-approved KBDL-007/008 implementation prompt,SOLE PROMPT,None recorded,Approved,Not verified,components-core.md
KBDL-007,KBDL-CMP-012,Approved (directly restates the approved foundation architecture); project-owner-approved KBDL-007/008 implementation prompt,SOLE PROMPT,None recorded,Approved,Not verified,components-core.md
KBDL-007,KBDL-CMP-013,"Approved (structural requirement — the obligation to document motion necessity/purpose/hierarchy/parity per component is itself Approved; the *exact* component-specific duration, distance, scale, stagger, easing, choreography, or rendering-technology mapping for any individual component is not newly approved by this requirement where no prior approved KBDL rule already supplies it — such exact mappings remain governed by the existing motion unresolved/not-approval-ready items in motion/README.md §10.3 and this module's own §36); project-owner-approved KBDL-007/008 implementation prompt",MIXED,prior/existing Approved requirements,Approved,Not verified,components-core.md
KBDL-007,KBDL-CMP-014,Approved (core restates native-semantics-first and state-model rules); project-owner-approved KBDL-007/008 implementation prompt,SOLE PROMPT,None recorded,Approved,Not verified,components-core.md
KBDL-007,KBDL-CMP-023,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,SOLE PROMPT,None recorded,Approved,Not verified,components-core.md
KBDL-007,KBDL-CMP-026,Project-owner-approved KBDL-007/008 implementation prompt; authoritative provenance: Confirmed,SOLE PROMPT,None recorded,Approved,Not verified,components-core.md
