Requirement ID,Field,Current candidate value,Candidate source,Permitted authoritative source type,Authoritative source found,Resolution result,Defect category,Reason unresolved,Owner decision required,Prohibited automatic correction
KBDL-A11Y-001,Validation classification,Not verified,traceability-metadata.csv (candidate only),A — Normative-owned,None,UNRESOLVED,UNRESOLVED_FIELD_SOURCE,Normative record,Approve an independent source or preserve Not verified,Ledger/readable-group self-proof
KBDL-A11Y-001,Known limitation,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",traceability-metadata.csv (candidate only),D — Evidence-owned,None,UNRESOLVED,UNRESOLVED_FIELD_SOURCE,Not-verified/excluded scope relationship,Approve an independent source or preserve Not verified,Ledger/readable-group self-proof
KBDL-A11Y-002,Known limitation,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",traceability-metadata.csv (candidate only),D — Evidence-owned,None,UNRESOLVED,UNRESOLVED_FIELD_SOURCE,Not-verified/excluded scope relationship,Approve an independent source or preserve Not verified,Ledger/readable-group self-proof
KBDL-A11Y-003,Known limitation,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",traceability-metadata.csv (candidate only),D — Evidence-owned,None,UNRESOLVED,UNRESOLVED_FIELD_SOURCE,Not-verified/excluded scope relationship,Approve an independent source or preserve Not verified,Ledger/readable-group self-proof
KBDL-A11Y-004,Validation classification,Not verified,traceability-metadata.csv (candidate only),A — Normative-owned,None,UNRESOLVED,UNRESOLVED_FIELD_SOURCE,Normative record,Approve an independent source or preserve Not verified,Ledger/readable-group self-proof
KBDL-A11Y-004,Known limitation,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",traceability-metadata.csv (candidate only),D — Evidence-owned,None,UNRESOLVED,UNRESOLVED_FIELD_SOURCE,Not-verified/excluded scope relationship,Approve an independent source or preserve Not verified,Ledger/readable-group self-proof
KBDL-A11Y-005,Known limitation,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",traceability-metadata.csv (candidate only),D — Evidence-owned,None,UNRESOLVED,UNRESOLVED_FIELD_SOURCE,Not-verified/excluded scope relationship,Approve an independent source or preserve Not verified,Ledger/readable-group self-proof
KBDL-A11Y-006,Known limitation,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",traceability-metadata.csv (candidate only),D — Evidence-owned,None,UNRESOLVED,UNRESOLVED_FIELD_SOURCE,Not-verified/excluded scope relationship,Approve an independent source or preserve Not verified,Ledger/readable-group self-proof
KBDL-A11Y-007,Validation evidence,themes/validation.md §3 for the three Verified rows; not verified for the rest,traceability-metadata.csv (candidate only),D — Evidence-owned,None,UNRESOLVED,UNRESOLVED_FIELD_SOURCE,Resolved evidence/classification relationship,Approve an independent source or preserve Not verified,Ledger/readable-group self-proof
KBDL-A11Y-008,Authority,"Approved (directly restates WCAG 2.2 SC 1.4.11, Level AA)",traceability-metadata.csv (candidate only),B — Governance-owned,None,UNRESOLVED,UNRESOLVED_FIELD_SOURCE,Authority graph,Approve an independent source or preserve Not verified,Ledger/readable-group self-proof
