Requirement ID,Containing normative location,Explicit normative location,Readable-group supported locations,Exact expected locations,Ledger location,All anchors resolve,Exact comparison,Result
KBDL-A11Y-001,accessibility.md#47-normative-requirements,accessibility.md#6-text-alternatives,accessibility.md#6-text-alternatives,accessibility.md#6-text-alternatives,accessibility.md#6-text-alternatives,True,True,PASS
KBDL-A11Y-002,accessibility.md#47-normative-requirements,accessibility.md#7-captions-transcripts-and-audio-description,accessibility.md#7-captions-transcripts-and-audio-description,accessibility.md#7-captions-transcripts-and-audio-description,accessibility.md#7-captions-transcripts-and-audio-description,True,True,PASS
KBDL-A11Y-003,accessibility.md#47-normative-requirements,accessibility.md#8-semantic-structure-and-relationships,accessibility.md#8-semantic-structure-and-relationships,accessibility.md#8-semantic-structure-and-relationships,accessibility.md#8-semantic-structure-and-relationships,True,True,PASS
KBDL-A11Y-004,accessibility.md#47-normative-requirements,accessibility.md#9-landmark-and-heading-architecture,accessibility.md#9-landmark-and-heading-architecture,accessibility.md#9-landmark-and-heading-architecture,accessibility.md#9-landmark-and-heading-architecture,True,True,PASS
KBDL-A11Y-005,accessibility.md#47-normative-requirements,accessibility.md#10-reading-and-focus-order,accessibility.md#10-reading-and-focus-order; responsive.md#12-source-order-and-reading-order,accessibility.md#10-reading-and-focus-order; responsive.md#12-source-order-and-reading-order,accessibility.md#10-reading-and-focus-order; responsive.md#12-source-order-and-reading-order,True,True,PASS
KBDL-A11Y-006,accessibility.md#47-normative-requirements,accessibility.md#11-color-independent-communication,accessibility.md#11-color-independent-communication,accessibility.md#11-color-independent-communication,accessibility.md#11-color-independent-communication,True,True,PASS
KBDL-A11Y-007,accessibility.md#47-normative-requirements,accessibility.md#12-text-contrast,accessibility.md#12-text-contrast,accessibility.md#12-text-contrast,accessibility.md#12-text-contrast,True,True,PASS
KBDL-A11Y-008,accessibility.md#47-normative-requirements,accessibility.md#13-non-text-contrast,accessibility.md#13-non-text-contrast,accessibility.md#13-non-text-contrast,accessibility.md#13-non-text-contrast,True,True,PASS
KBDL-A11Y-009,accessibility.md#47-normative-requirements,accessibility.md#14-focus-visibility,accessibility.md#14-focus-visibility,accessibility.md#14-focus-visibility,accessibility.md#14-focus-visibility,True,True,PASS
KBDL-A11Y-010,accessibility.md#47-normative-requirements,accessibility.md#15-focus-not-obscured,accessibility.md#15-focus-not-obscured; responsive.md#18-sticky-and-fixed-regions,accessibility.md#15-focus-not-obscured; responsive.md#18-sticky-and-fixed-regions,accessibility.md#15-focus-not-obscured; responsive.md#18-sticky-and-fixed-regions,True,True,PASS
KBDL-A11Y-011,accessibility.md#47-normative-requirements,accessibility.md#16-light-dark-forced-colors-and-high-contrast-behavior,accessibility.md#16-light-dark-forced-colors-and-high-contrast-behavior,accessibility.md#16-light-dark-forced-colors-and-high-contrast-behavior,accessibility.md#16-light-dark-forced-colors-and-high-contrast-behavior,True,True,PASS
KBDL-A11Y-012,accessibility.md#47-normative-requirements,accessibility.md#17-resize-text,accessibility.md#17-resize-text,accessibility.md#17-resize-text,accessibility.md#17-resize-text,True,True,PASS
KBDL-A11Y-013,accessibility.md#47-normative-requirements,accessibility.md#18-reflow,accessibility.md#18-reflow,accessibility.md#18-reflow,accessibility.md#18-reflow,True,True,PASS
KBDL-A11Y-014,accessibility.md#47-normative-requirements,accessibility.md#19-text-spacing-overrides,accessibility.md#19-text-spacing-overrides,accessibility.md#19-text-spacing-overrides,accessibility.md#19-text-spacing-overrides,True,True,PASS
KBDL-A11Y-015,accessibility.md#47-normative-requirements,accessibility.md#20-orientation,accessibility.md#20-orientation; responsive.md#20-orientation-changes,accessibility.md#20-orientation; responsive.md#20-orientation-changes,accessibility.md#20-orientation; responsive.md#20-orientation-changes,True,True,PASS
KBDL-A11Y-016,accessibility.md#47-normative-requirements,accessibility.md#21-keyboard-operability,accessibility.md#21-keyboard-operability,accessibility.md#21-keyboard-operability,accessibility.md#21-keyboard-operability,True,True,PASS
KBDL-A11Y-017,accessibility.md#47-normative-requirements,accessibility.md#22-keyboard-traps-and-escape-behavior,accessibility.md#22-keyboard-traps-and-escape-behavior,accessibility.md#22-keyboard-traps-and-escape-behavior,accessibility.md#22-keyboard-traps-and-escape-behavior,True,True,PASS
KBDL-A11Y-018,accessibility.md#47-normative-requirements,accessibility.md#23-bypass-mechanisms,accessibility.md#23-bypass-mechanisms,accessibility.md#23-bypass-mechanisms,accessibility.md#23-bypass-mechanisms,True,True,PASS
KBDL-A11Y-019,accessibility.md#47-normative-requirements,accessibility.md#24-pointer-and-touch-behavior,accessibility.md#24-pointer-and-touch-behavior,accessibility.md#24-pointer-and-touch-behavior,accessibility.md#24-pointer-and-touch-behavior,True,True,PASS
KBDL-A11Y-020,accessibility.md#47-normative-requirements,accessibility.md#25-target-sizing-and-spacing,accessibility.md#25-target-sizing-and-spacing,accessibility.md#25-target-sizing-and-spacing,accessibility.md#25-target-sizing-and-spacing,True,True,PASS
KBDL-A11Y-021,accessibility.md#47-normative-requirements,accessibility.md#25-target-sizing-and-spacing,accessibility.md#25-target-sizing-and-spacing; accessibility.md#49-accessibility-decision-packet,accessibility.md#25-target-sizing-and-spacing; accessibility.md#49-accessibility-decision-packet,accessibility.md#25-target-sizing-and-spacing; accessibility.md#49-accessibility-decision-packet,True,True,PASS
KBDL-A11Y-022,accessibility.md#47-normative-requirements,accessibility.md#26-pointer-cancellation,accessibility.md#26-pointer-cancellation,accessibility.md#26-pointer-cancellation,accessibility.md#26-pointer-cancellation,True,True,PASS
KBDL-A11Y-023,accessibility.md#47-normative-requirements,accessibility.md#27-dragging-and-gesture-alternatives,accessibility.md#27-dragging-and-gesture-alternatives,accessibility.md#27-dragging-and-gesture-alternatives,accessibility.md#27-dragging-and-gesture-alternatives,True,True,PASS
KBDL-A11Y-024,accessibility.md#47-normative-requirements,accessibility.md#28-motion-actuation-alternatives,accessibility.md#28-motion-actuation-alternatives,accessibility.md#28-motion-actuation-alternatives,accessibility.md#28-motion-actuation-alternatives,True,True,PASS
KBDL-A11Y-025,accessibility.md#47-normative-requirements,accessibility.md#29-reduced-motion-and-no-motion-parity,accessibility.md#29-reduced-motion-and-no-motion-parity,accessibility.md#29-reduced-motion-and-no-motion-parity,accessibility.md#29-reduced-motion-and-no-motion-parity,True,True,PASS
KBDL-A11Y-026,accessibility.md#47-normative-requirements,accessibility.md#30-flashing-vestibular-and-motion-safety-limits,accessibility.md#30-flashing-vestibular-and-motion-safety-limits,accessibility.md#30-flashing-vestibular-and-motion-safety-limits,accessibility.md#30-flashing-vestibular-and-motion-safety-limits,True,True,PASS
KBDL-A11Y-027,accessibility.md#47-normative-requirements,accessibility.md#31-timing-automatic-movement-and-interruptions,accessibility.md#31-timing-automatic-movement-and-interruptions,accessibility.md#31-timing-automatic-movement-and-interruptions,accessibility.md#31-timing-automatic-movement-and-interruptions,True,True,PASS
KBDL-A11Y-028,accessibility.md#47-normative-requirements,accessibility.md#32-forms-labels-instructions-and-autocomplete,accessibility.md#32-forms-labels-instructions-and-autocomplete,accessibility.md#32-forms-labels-instructions-and-autocomplete,accessibility.md#32-forms-labels-instructions-and-autocomplete,True,True,PASS
KBDL-A11Y-029,accessibility.md#47-normative-requirements,accessibility.md#33-error-identification-and-recovery,accessibility.md#33-error-identification-and-recovery,accessibility.md#33-error-identification-and-recovery,accessibility.md#33-error-identification-and-recovery,True,True,PASS
KBDL-A11Y-030,accessibility.md#47-normative-requirements,accessibility.md#34-error-prevention-for-consequential-actions,accessibility.md#34-error-prevention-for-consequential-actions,accessibility.md#34-error-prevention-for-consequential-actions,accessibility.md#34-error-prevention-for-consequential-actions,True,True,PASS
KBDL-A11Y-031,accessibility.md#47-normative-requirements,accessibility.md#35-status-messages-and-live-communication,accessibility.md#35-status-messages-and-live-communication,accessibility.md#35-status-messages-and-live-communication,accessibility.md#35-status-messages-and-live-communication,True,True,PASS
KBDL-A11Y-032,accessibility.md#47-normative-requirements,accessibility.md#36-authentication-accessibility,accessibility.md#36-authentication-accessibility,accessibility.md#36-authentication-accessibility,accessibility.md#36-authentication-accessibility,True,True,PASS
KBDL-A11Y-033,accessibility.md#47-normative-requirements,accessibility.md#37-plain-language-and-cognitive-accessibility,accessibility.md#37-plain-language-and-cognitive-accessibility,accessibility.md#37-plain-language-and-cognitive-accessibility,accessibility.md#37-plain-language-and-cognitive-accessibility,True,True,PASS
KBDL-A11Y-034,accessibility.md#47-normative-requirements,accessibility.md#38-consistent-navigation-identification-and-help,accessibility.md#38-consistent-navigation-identification-and-help,accessibility.md#38-consistent-navigation-identification-and-help,accessibility.md#38-consistent-navigation-identification-and-help,True,True,PASS
