Requirement ID,Lifecycle,Authority source,Effective authority,Targets,Missing targets,Resolved
KBDL-A11Y-001,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement","Approved (directly restates WCAG 2.2 SC 1.1.1, Level A, and SC 1.4.5, Level AA)",None,None,True
KBDL-A11Y-002,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement","Approved (directly restates WCAG 2.2 SC 1.2.x, Level A/AA)",None,None,True
KBDL-A11Y-003,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement","Approved (directly restates WCAG 2.2 SC 1.3.1 and SC 4.1.2, both Level A)",None,None,True
KBDL-A11Y-004,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement","Approved (directly restates WCAG 2.2 SC 2.4.2, Level A, and SC 2.4.6, Level AA)",None,None,True
KBDL-A11Y-005,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement","Approved (directly restates WCAG 2.2 SC 1.3.2 and SC 2.4.3, both Level A)",None,None,True
KBDL-A11Y-006,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement","Approved (directly restates WCAG 2.2 SC 1.4.1, Level A, and the locked component-state-clarity rule)",None,None,True
KBDL-A11Y-007,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement","Approved (directly restates WCAG 2.2 SC 1.4.3, Level AA)",None,None,True
KBDL-A11Y-008,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement","Approved (directly restates WCAG 2.2 SC 1.4.11, Level AA)",None,None,True
KBDL-A11Y-009,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement","Approved (directly restates WCAG 2.2 SC 2.4.7, Level AA)",None,None,True
KBDL-A11Y-010,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement","Approved (directly restates WCAG 2.2 SC 2.4.11, Level AA)",None,None,True
KBDL-A11Y-011,Recommended,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement",Recommended (new KBDL policy — no prior theme decision addresses forced-colors mode; explicitly excluded from KBDL-DEC-013),KBDL-DEC-013,None,True
KBDL-A11Y-012,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement","Approved (directly restates WCAG 2.2 SC 1.4.4, Level AA)",None,None,True
KBDL-A11Y-013,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement","Approved (directly restates WCAG 2.2 SC 1.4.10, Level AA)",None,None,True
KBDL-A11Y-014,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement","Approved (directly restates WCAG 2.2 SC 1.4.12, Level AA)",None,None,True
KBDL-A11Y-015,Approved,"Authoritative field, lifecycle rationale, approved module prompt, decision, standard, or prior Approved requirement","Approved (directly restates WCAG 2.2 SC 1.3.4, Level AA)",None,None,True
