Requirement ID,Validation method,Validation evidence,Known limitation,Method/evidence conflict,Limitation conflict
KBDL-A11Y-001,Manual + automated static accessibility check once implemented,themes/validation.md §3 for the three Verified rows; not verified for the rest,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",False,False
KBDL-A11Y-002,Manual review once implemented,themes/validation.md §3 for the three Verified rows; not verified for the rest,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",False,False
KBDL-A11Y-003,Automated static accessibility check + manual screen-reader review once implemented,themes/validation.md §3 for the three Verified rows; not verified for the rest,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",False,False
KBDL-A11Y-004,Automated static check + manual review once implemented,themes/validation.md §3 for the three Verified rows; not verified for the rest,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",False,False
KBDL-A11Y-005,Manual keyboard/screen-reader order review once implemented,themes/validation.md §3 for the three Verified rows; not verified for the rest,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",False,False
KBDL-A11Y-006,Manual review once implemented,themes/validation.md §3 for the three Verified rows; not verified for the rest,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",False,False
KBDL-A11Y-007,"WCAG relative-luminance contrast calculation (completed for theme role pairs, see cited evidence)",themes/validation.md §3 for the three Verified rows; not verified for the rest,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",False,False
KBDL-A11Y-008,WCAG relative-luminance contrast calculation (completed for documented pairs),themes/validation.md §3 for the three Verified rows; not verified for the rest,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",False,False
KBDL-A11Y-009,Contrast calculation (completed); manual keyboard review once implemented,themes/validation.md §3 for the three Verified rows; not verified for the rest,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",False,False
KBDL-A11Y-010,Manual keyboard-focus review once implemented,themes/validation.md §3 for the three Verified rows; not verified for the rest,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",False,False
