Requirement ID,Derived Not-verified/excluded scope,Known limitation,Semantic relationship terms,Result
KBDL-A11Y-001,not verified not verified,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",not; require; implement; evidence,PASS
KBDL-A11Y-002,not verified not verified,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",not; require; implement; evidence,PASS
KBDL-A11Y-003,not verified not verified,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",not; require; implement; evidence,PASS
KBDL-A11Y-004,not verified not verified,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",not; require; implement; evidence,PASS
KBDL-A11Y-005,not verified not verified,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",not; require; implement; evidence,PASS
KBDL-A11Y-006,not verified not verified,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",not; require; implement; evidence,PASS
KBDL-A11Y-007,none verified,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",not; require; implement; evidence,PASS
KBDL-A11Y-008,none verified,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",not; require; implement; evidence,PASS
KBDL-A11Y-009,none verified,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",not; require; implement; evidence,PASS
KBDL-A11Y-010,not verified not verified,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",not; require; implement; evidence,PASS
KBDL-A11Y-011,not verified not verified,Forced-colors/high-contrast mode is currently unaddressed elsewhere in the specification and was explicitly excluded from the KBDL-004 theme approval (KBDL-DEC-013); these three requirements must not be treated as Approved until reviewed,unaddressed; exclude; approval; require; not,PASS
KBDL-A11Y-012,not verified not verified,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",not; require; implement; evidence,PASS
KBDL-A11Y-013,not verified not verified,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",not; require; implement; evidence,PASS
KBDL-A11Y-014,not verified not verified,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",not; require; implement; evidence,PASS
KBDL-A11Y-015,not verified not verified,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",not; require; implement; evidence,PASS
KBDL-A11Y-016,not verified not verified,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",not; require; implement; evidence,PASS
KBDL-A11Y-017,not verified not verified,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",not; require; implement; evidence,PASS
KBDL-A11Y-018,not verified not verified,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",not; require; implement; evidence,PASS
KBDL-A11Y-019,none not applicable,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",not; require; implement; evidence,PASS
KBDL-A11Y-020,not verified not verified,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",not; require; implement; evidence,PASS
KBDL-A11Y-021,none not applicable,Forced-colors/high-contrast mode is currently unaddressed elsewhere in the specification and was explicitly excluded from the KBDL-004 theme approval (KBDL-DEC-013); these three requirements must not be treated as Approved until reviewed,unaddressed; exclude; approval; require; not,PASS
KBDL-A11Y-022,not verified not verified,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",not; require; implement; evidence,PASS
KBDL-A11Y-023,not verified not verified,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",not; require; implement; evidence,PASS
KBDL-A11Y-024,not verified not verified,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",not; require; implement; evidence,PASS
