Requirement ID,Source file,Lifecycle match,Provenance match,Validation-scope match,Authority match,Packet match,Dependency match,Location match
KBDL-A11Y-001,accessibility.md,True,True,True,True,True,True,True
KBDL-A11Y-002,accessibility.md,True,True,True,True,True,True,True
KBDL-A11Y-003,accessibility.md,True,True,True,True,True,True,True
KBDL-A11Y-004,accessibility.md,True,True,True,True,True,True,True
KBDL-A11Y-005,accessibility.md,True,True,True,True,True,True,True
KBDL-A11Y-006,accessibility.md,True,True,True,True,True,True,True
KBDL-A11Y-007,accessibility.md,True,True,True,True,True,True,True
KBDL-A11Y-008,accessibility.md,True,True,True,True,True,True,True
KBDL-A11Y-009,accessibility.md,True,True,True,True,True,True,True
KBDL-A11Y-010,accessibility.md,True,True,True,True,True,True,True
KBDL-A11Y-011,accessibility.md,True,True,True,True,True,True,True
KBDL-A11Y-012,accessibility.md,True,True,True,True,True,True,True
KBDL-A11Y-013,accessibility.md,True,True,True,True,True,True,True
KBDL-A11Y-014,accessibility.md,True,True,True,True,True,True,True
KBDL-A11Y-015,accessibility.md,True,True,True,True,True,True,True
KBDL-A11Y-016,accessibility.md,True,True,True,True,True,True,True
KBDL-A11Y-017,accessibility.md,True,True,True,True,True,True,True
KBDL-A11Y-018,accessibility.md,True,True,True,True,True,True,True
KBDL-A11Y-019,accessibility.md,True,True,True,True,True,True,True
KBDL-A11Y-020,accessibility.md,True,True,True,True,True,True,True
KBDL-A11Y-021,accessibility.md,True,True,True,True,True,True,True
KBDL-A11Y-022,accessibility.md,True,True,True,True,True,True,True
KBDL-A11Y-023,accessibility.md,True,True,True,True,True,True,True
KBDL-A11Y-024,accessibility.md,True,True,True,True,True,True,True
KBDL-A11Y-025,accessibility.md,True,True,True,True,True,True,True
KBDL-A11Y-026,accessibility.md,True,True,True,True,True,True,True
KBDL-A11Y-027,accessibility.md,True,True,True,True,True,True,True
KBDL-A11Y-028,accessibility.md,True,True,True,True,True,True,True
KBDL-A11Y-029,accessibility.md,True,True,True,True,True,True,True
KBDL-A11Y-030,accessibility.md,True,True,True,True,True,True,True
KBDL-A11Y-031,accessibility.md,True,True,True,True,True,True,True
KBDL-A11Y-032,accessibility.md,True,True,True,True,True,True,True
KBDL-A11Y-033,accessibility.md,True,True,True,True,True,True,True
KBDL-A11Y-034,accessibility.md,True,True,True,True,True,True,True
KBDL-A11Y-035,accessibility.md,True,True,True,True,True,True,True
KBDL-A11Y-036,accessibility.md,True,True,True,True,True,True,True
KBDL-A11Y-037,accessibility.md,True,True,True,True,True,True,True
KBDL-A11Y-038,accessibility.md,True,True,True,True,True,True,True
KBDL-A11Y-039,accessibility.md,True,True,True,True,True,True,True
KBDL-A11Y-040,accessibility.md,True,True,True,True,True,True,True
KBDL-CMP-001,components-core.md,True,True,True,True,True,True,True
KBDL-CMP-002,components-core.md,True,True,True,True,True,True,True
KBDL-CMP-003,components-core.md,True,True,True,True,True,True,True
KBDL-CMP-004,components-core.md,True,True,True,True,True,True,True
KBDL-CMP-005,components-core.md,True,True,True,True,True,True,True
KBDL-CMP-006,components-core.md,True,True,True,True,True,True,True
KBDL-CMP-007,components-core.md,True,True,True,True,True,True,True
KBDL-CMP-008,components-core.md,True,True,True,True,True,True,True
KBDL-CMP-009,components-core.md,True,True,True,True,True,True,True
KBDL-CMP-010,components-core.md,True,True,True,True,True,True,True
KBDL-CMP-011,components-core.md,True,True,True,True,True,True,True
KBDL-CMP-012,components-core.md,True,True,True,True,True,True,True
KBDL-CMP-013,components-core.md,True,True,True,True,True,True,True
KBDL-CMP-014,components-core.md,True,True,True,True,True,True,True
KBDL-CMP-015,components-core.md,True,True,True,True,True,True,True
KBDL-CMP-016,components-core.md,True,True,True,True,True,True,True
KBDL-CMP-017,components-core.md,True,True,True,True,True,True,True
KBDL-CMP-018,components-core.md,True,True,True,True,True,True,True
KBDL-CMP-019,components-core.md,True,True,True,True,True,True,True
KBDL-CMP-020,components-core.md,True,True,True,True,True,True,True
KBDL-CMP-021,components-core.md,True,True,True,True,True,True,True
KBDL-CMP-022,components-core.md,True,True,True,True,True,True,True
KBDL-CMP-023,components-core.md,True,True,True,True,True,True,True
KBDL-CMP-024,components-core.md,True,True,True,True,True,True,True
KBDL-CMP-025,components-core.md,True,True,True,True,True,True,True
KBDL-CMP-026,components-core.md,True,True,True,True,True,True,True
KBDL-CMP-027,components-core.md,True,True,True,True,True,True,True
KBDL-CMP-028,components-core.md,True,True,True,True,True,True,True
KBDL-CMP-029,components-core.md,True,True,True,True,True,True,True
KBDL-CMP-030,components-core.md,True,True,True,True,True,True,True
KBDL-CMP-031,components-core.md,True,True,True,True,True,True,True
KBDL-CMP-032,components-core.md,True,True,True,True,True,True,True
KBDL-CMP-033,components-core.md,True,True,True,True,True,True,True
KBDL-CMP-034,components-core.md,True,True,True,True,True,True,True
KBDL-CMP-035,components-core.md,True,True,True,True,True,True,True
KBDL-CMP-036,components-core.md,True,True,True,True,True,True,True
KBDL-CMP-037,components-core.md,True,True,True,True,True,True,True
KBDL-CMP-038,components-core.md,True,True,True,True,True,True,True
KBDL-CMP-039,components-core.md,True,True,True,True,True,True,True
KBDL-CMP-040,components-core.md,True,True,True,True,True,True,True
KBDL-CMP-041,components-core.md,True,True,True,True,True,True,True
KBDL-CMP-042,components-core.md,True,True,True,True,True,True,True
KBDL-CMP-043,components-core.md,True,True,True,True,True,True,True
KBDL-CMP-044,components-core.md,True,True,True,True,True,True,True
KBDL-CMP-045,components-core.md,True,True,True,True,True,True,True
KBDL-CMP-046,components-core.md,True,True,True,True,True,True,True
KBDL-CMP-047,components-core.md,True,True,True,True,True,True,True
KBDL-CMP-048,components-core.md,True,True,True,True,True,True,True
KBDL-CMP-049,components-core.md,True,True,True,True,True,True,True
KBDL-CMP-050,components-core.md,True,True,True,True,True,True,True
KBDL-CMP-051,components-core.md,True,True,True,True,True,True,True
