Requirement ID,Validation classification,Evidence value,Referenced paths,Resolved paths,Result
KBDL-A11Y-001,Not verified,Not verified — the requirement’s stated validation method has not been executed.,None,None,PASS
KBDL-A11Y-002,Not verified,Not verified — the requirement’s stated validation method has not been executed.,None,None,PASS
KBDL-A11Y-003,Not verified,Not verified — the requirement’s stated validation method has not been executed.,None,None,PASS
KBDL-A11Y-004,Not verified,Not verified — the requirement’s stated validation method has not been executed.,None,None,PASS
KBDL-A11Y-005,Not verified,Not verified — the requirement’s stated validation method has not been executed.,None,None,PASS
KBDL-A11Y-006,Not verified,Not verified — the requirement’s stated validation method has not been executed.,None,None,PASS
KBDL-A11Y-007,Verified,themes/validation.md §3 for the three Verified rows; not verified for the rest,themes/validation.md,docs/kbdl/themes/validation.md,PASS
KBDL-A11Y-008,Verified,themes/validation.md §3 for the three Verified rows; not verified for the rest,themes/validation.md,docs/kbdl/themes/validation.md,PASS
KBDL-A11Y-009,Verified,themes/validation.md §3 for the three Verified rows; not verified for the rest,themes/validation.md,docs/kbdl/themes/validation.md,PASS
KBDL-A11Y-010,Not verified,Not verified — the requirement’s stated validation method has not been executed.,None,None,PASS
KBDL-A11Y-011,Not verified,Not verified — the requirement’s stated validation method has not been executed.,None,None,PASS
KBDL-A11Y-012,Not verified,Not verified — the requirement’s stated validation method has not been executed.,None,None,PASS
KBDL-A11Y-013,Not verified,Not verified — the requirement’s stated validation method has not been executed.,None,None,PASS
KBDL-A11Y-014,Not verified,Not verified — the requirement’s stated validation method has not been executed.,None,None,PASS
KBDL-A11Y-015,Not verified,Not verified — the requirement’s stated validation method has not been executed.,None,None,PASS
KBDL-A11Y-016,Not verified,Not verified — the requirement’s stated validation method has not been executed.,None,None,PASS
KBDL-A11Y-017,Not verified,Not verified — the requirement’s stated validation method has not been executed.,None,None,PASS
KBDL-A11Y-018,Not verified,Not verified — the requirement’s stated validation method has not been executed.,None,None,PASS
KBDL-A11Y-019,Not applicable,Not applicable — no executed implementation claim is asserted for this requirement.,None,None,PASS
KBDL-A11Y-020,Not verified,Not verified — the requirement’s stated validation method has not been executed.,None,None,PASS
KBDL-A11Y-021,Not applicable,Not applicable — no executed implementation claim is asserted for this requirement.,None,None,PASS
KBDL-A11Y-022,Not verified,Not verified — the requirement’s stated validation method has not been executed.,None,None,PASS
KBDL-A11Y-023,Not verified,Not verified — the requirement’s stated validation method has not been executed.,None,None,PASS
