Requirement ID,Referenced target,Reference classification,Classification basis,Graph edge
KBDL-A11Y-025,KBDL-DEC-014,Authority edge,Decision cited in authority expression,Yes
KBDL-A11Y-025,KBDL-MOT-022,Authority edge,"approved (restates kbdl-mot-022, already approved under kbdl-dec-014; not reopened)",Yes
KBDL-A11Y-026,KBDL-MOT-023,Authority edge,"approved (directly restates wcag 2.2 sc 2.3.1, level a, and restates the already-approved kbdl-mot-023)",Yes
KBDL-A11Y-033,KBDL-PRN-003,Authority edge,"approved (directly restates wcag 2.2 sc 3.1.1, level a, and kbdl-prn-003, consumer comprehension)",Yes
KBDL-A11Y-037,KBDL-A11Y-003,Authority edge,approved (restates kbdl-a11y-003 applied to tabular data),Yes
KBDL-CMP-009,KBDL-RSP-001,Authority edge,"approved (directly restates kbdl-rsp-001, 006, 007, 020)",Yes
KBDL-CMP-010,KBDL-A11Y-020,Authority edge,approved (directly restates kbdl-a11y-020),Yes
KBDL-CMP-052,KBDL-CMP-005,Authority edge,"approved (scope-control requirement, extends kbdl-cmp-005)",Yes
KBDL-CMP-053,KBDL-CMP-002,Authority edge,"approved (extends the already-approved native- semantics-first rule, kbdl-cmp-002, and the adopted aria 1.2 region role definition, to this module's surfaces)",Yes
KBDL-CMP-057,KBDL-CMP-007,Authority edge,"adopted wcag 2.2 sc 2.1.1 keyboard and sc 2.1.2 no keyboard trap, and the already- approved kbdl-007 keyboard contract, kbdl-cmp-007, applied explicitly to non-modal overlays)",Yes
KBDL-CMP-059,KBDL-CMP-090,Authority edge,"sc 2.2.1 timing adjustable, extended to this module's dismissible surfaces generally, beyond the toast-specific case in kbdl-cmp-090)",Yes
KBDL-CMP-061,KBDL-CMP-004,Authority edge,"approved (restates the locked component-state- clarity rule, principles.md §5.1, and kbdl-cmp-004, applied explicitly to the states this document introduces)",Yes
KBDL-CMP-062,KBDL-CMP-053,Authority edge,"approved (restates kbdl-cmp-053/002 as an explicit prohibition, distinguishing the general preference from the specific misuse it forbids)",Yes
KBDL-CMP-063,KBDL-CMP-103,Authority edge,"approved (restates the already-approved correctness/safety priority, principles.md §4 item 1, as a general baseline; kbdl-cmp-103 states its offline/ reconnecting-specific application)",Yes
KBDL-CMP-064,KBDL-CMP-101,Context-only reference,oved (extends the existing kbdl security principle already established in components-core.md §37 as a general baseline; kbdl-cmp-101 and kbdl-cmp-104 state its error-state- and permission/not-found-specific applications),No
KBDL-CMP-064,KBDL-CMP-104,Context-only reference,existing kbdl security principle already established in components-core.md §37 as a general baseline; kbdl-cmp-101 and kbdl-cmp-104 state its error-state- and permission/not-found-specific applications),No
KBDL-CMP-065,KBDL-CMP-003,Authority edge,"approved (extends the already-approved kbdl-007 accessible-naming requirement, kbdl-cmp-003, to this module)",Yes
KBDL-CMP-066,KBDL-CMP-051,Authority edge,"approved (restates the already-approved kbdl-007 profile-consistency requirement, kbdl-cmp-051, applied to this module)",Yes
KBDL-CMP-070,KBDL-CMP-002,Authority edge,"approved (restates the already-adopted wcag 2.2 sc 1.3.1 info and relationships and the native-semantics-first rule, kbdl-cmp-002)",Yes
KBDL-CMP-072,KBDL-CMP-003,Authority edge,"he sole source of its trigger's accessible name"" restates the already- approved kbdl-007 accessible-naming requirement, kbdl-cmp-003, and the adopted wcag 2.2 sc 4.1.2 name, role, value — not sc 1.4.13, which does not address naming. ""contains only non",Yes
KBDL-CMP-079,KBDL-CMP-071,Authority edge,"approved (restates kbdl-cmp-071 and the already-adopted wcag 2.2 sc 2.1.2 no keyboard trap, applied to the definition of modality itself — this is the",Yes
KBDL-CMP-082,KBDL-CMP-005,Authority edge,"approved (scope-control requirement, restates kbdl-cmp-005/kbdl-cmp-052)",Yes
KBDL-CMP-082,KBDL-CMP-052,Authority edge,"approved (scope-control requirement, restates kbdl-cmp-005/kbdl-cmp-052)",Yes
KBDL-CMP-086,KBDL-A11Y-031,Authority edge,approved (restates kbdl-a11y-031 and the adopted wai-aria 1.2 live-region role definitions),Yes
KBDL-CMP-087,KBDL-CMP-004,Authority edge,approved (restates kbdl-cmp-004's already- approved state-clarity rule and the adopted wcag 2.2 sc 1.4.1 use of color),Yes
KBDL-CMP-090,KBDL-A11Y-031,Authority edge,"(which governs user-adjustable time limits on content generally, not the specific toast/persistent-path pattern) or by kbdl-a11y-031 (which requires programmatic determinability, not a persistence guarantee); these two clauses are normative because the",Yes
KBDL-CMP-092,KBDL-A11Y-031,Authority edge,approved (restates kbdl-a11y-031 and the adopted wai-aria 1.2 status/log role and aria-live/aria-atomic definitions),Yes
KBDL-CMP-096,KBDL-A11Y-031,Authority edge,"decorative content. ""an equivalent loading announcement must be available through a separate status mechanism"" restates kbdl-a11y-031. ""must not expose meaningless placeholder shapes as if they were content"" is not itself dictated by either of those sou",Yes
KBDL-CMP-097,KBDL-A11Y-031,Authority edge,"approved (restates kbdl-a11y-031 and the locked component-state-clarity rule, principles.md §5.1)",Yes
KBDL-CMP-101,KBDL-CMP-064,Authority edge,"ples.md §3. the prohibition on exposing stack traces, internal exception details, credentials, or private data restates kbdl-cmp-064",Yes
KBDL-CUS-001,KBDL-DEC-004,Authority edge,Decision cited in authority expression,Yes
KBDL-CUS-005,KBDL-PRN-005,Authority edge,"kbdl-prn-005, kbdl-pro-005, and mandatory kbdl-010 prompt",Yes
KBDL-CUS-005,KBDL-PRO-005,Authority edge,"kbdl-prn-005, kbdl-pro-005, and mandatory kbdl-010 prompt",Yes
KBDL-CUS-007,KBDL-GOV-002,Authority edge,"kbdl-gov-002, governance exception process, and mandatory kbdl-010 classes e/f",Yes
KBDL-CUS-010,KBDL-DEC-004,Authority edge,Decision cited in authority expression,Yes
KBDL-CUS-014,KBDL-THM-003,Authority edge,"approved kbdl-thm-003, 005, 006, 013, 014 plus mandatory kbdl-010 boundary",Yes
KBDL-CUS-017,KBDL-GOV-002,Authority edge,"kbdl-gov-002, approved accessibility requirements, and mandatory kbdl-010 boundary",Yes
KBDL-CUS-020,KBDL-PRO-001,Authority edge,"approved kbdl-pro-001–008, 010–015, 019–026 plus mandatory kbdl-010 boundary",Yes
KBDL-FND-009,KBDL-DEC-012,Authority edge,Decision cited in authority expression,Yes
KBDL-FND-010,KBDL-DEC-012,Authority edge,Decision cited in authority expression,Yes
KBDL-FND-011,KBDL-DEC-012,Authority edge,Decision cited in authority expression,Yes
KBDL-FND-012,KBDL-DEC-012,Authority edge,Decision cited in authority expression,Yes
KBDL-GOV-001,KBDL-DEC-002,Authority edge,Decision cited in authority expression,Yes
KBDL-GOV-002,KBDL-DEC-010,Authority edge,Decision cited in authority expression,Yes
KBDL-GOV-003,KBDL-DEC-011,Authority edge,Decision cited in authority expression,Yes
KBDL-MOT-003,KBDL-PRN-002,Authority edge,approved (directly extends kbdl-prn-002),Yes
KBDL-MOT-004,KBDL-MOT-006,Authority edge,"approved (structural requirement; the categories' exact intensity defaults remain recommended, see kbdl-mot-006)",Yes
KBDL-MOT-005,KBDL-DEC-014,Authority edge,Decision cited in authority expression,Yes
KBDL-MOT-006,KBDL-DEC-014,Authority edge,Decision cited in authority expression,Yes
KBDL-MOT-007,KBDL-DEC-014,Authority edge,Decision cited in authority expression,Yes
