Requirement ID,Field name,Higher source value,Lower source value,Rule source,Computed result
KBDL-A11Y-001,Requirement ID,KBDL-A11Y-001,KBDL-A11Y-001,Normative requirement record,PASS
KBDL-A11Y-001,Blueprint section,Text alternatives; captions; semantic structure; landmarks; reading/focus order; color independence; text/non-text contrast; focus visibility/obscuration; text spacing; keyboard operability/traps/bypass; pointer cancellation; dragging/gesture alternatives; motion actuation; reduced-motion cross-reference; flashing; timing/automatic movement; forms/labels/autocomplete; error identification/prevention; status messages; authentication; plain language; consistent navigation/help; media controls cross-reference; data presentation; mobile/virtual-keyboard cross-reference; profile consistency,Text alternatives; captions; semantic structure; landmarks; reading/focus order; color independence; text/non-text contrast; focus visibility/obscuration; text spacing; keyboard operability/traps/bypass; pointer cancellation; dragging/gesture alternatives; motion actuation; reduced-motion cross-reference; flashing; timing/automatic movement; forms/labels/autocomplete; error identification/prevention; status messages; authentication; plain language; consistent navigation/help; media controls cross-reference; data presentation; mobile/virtual-keyboard cross-reference; profile consistency,Readable traceability group,PASS
KBDL-A11Y-001,Roadmap prompt,KBDL-006,KBDL-006,Approved roadmap and module ownership,PASS
KBDL-A11Y-001,Specification location,accessibility.md#6-text-alternatives,accessibility.md#6-text-alternatives,Containing normative Markdown section,PASS
KBDL-A11Y-001,Lifecycle status,Approved,Approved,Normative requirement record,PASS
KBDL-A11Y-001,Provenance,Confirmed,Confirmed,Normative requirement record,PASS
KBDL-A11Y-001,Validation classification,UNRESOLVED,Not verified,Normative requirement record,PASS
KBDL-A11Y-001,Verified scope,None,None,Executed evidence and stated scope,PASS
KBDL-A11Y-001,Not-verified scope,Not verified,Not verified,Unexecuted or excluded scope,PASS
KBDL-A11Y-001,Authority,RESOLVED,"Approved (directly restates WCAG 2.2 SC 1.1.1, Level A, and SC 1.4.5, Level AA)",AR2 confirmation approved decision standard or Approved requirement,PASS
KBDL-A11Y-001,Validation method,Manual + automated static accessibility check once implemented.,Manual + automated static accessibility check once implemented,Normative method or independently approved evidence-method registry,PASS
KBDL-A11Y-001,Validation evidence,Not verified — the requirement’s stated validation method has not been executed.,Not verified — the requirement’s stated validation method has not been executed.,Existing evidence source or honest Not verified record,PASS
KBDL-A11Y-001,Known limitation,UNRESOLVED,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence",Actual excluded or unverified scope,PASS
KBDL-A11Y-001,Packet or tracking destination,None — Approved,None — Approved,Exact packet or tracking section,PASS
KBDL-A11Y-001,Pending dependencies,None,None,Normative record packet or deferred tracking,PASS
KBDL-A11Y-001,Related decision,RESOLVED,None,Approved decision register,PASS
KBDL-A11Y-001,Notes or exclusions,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,Higher-priority exclusion or bounded administrative note,PASS
KBDL-A11Y-002,Requirement ID,KBDL-A11Y-002,KBDL-A11Y-002,Normative requirement record,PASS
