Defect ID,Requirement ID,Category,Details
MISSING_STANDARD_BASIS:KBDL-A11Y-008,KBDL-A11Y-008,MISSING_STANDARD_BASIS,generic standard reference lacks an exact governing clause
MISSING_STANDARD_BASIS:KBDL-A11Y-010,KBDL-A11Y-010,MISSING_STANDARD_BASIS,generic standard reference lacks an exact governing clause
MISSING_STANDARD_BASIS:KBDL-A11Y-013,KBDL-A11Y-013,MISSING_STANDARD_BASIS,generic standard reference lacks an exact governing clause
MISSING_STANDARD_BASIS:KBDL-A11Y-014,KBDL-A11Y-014,MISSING_STANDARD_BASIS,generic standard reference lacks an exact governing clause
MISSING_STANDARD_BASIS:KBDL-CMP-018,KBDL-CMP-018,MISSING_STANDARD_BASIS,generic standard reference lacks an exact governing clause
MISSING_STANDARD_BASIS:KBDL-CMP-021,KBDL-CMP-021,MISSING_STANDARD_BASIS,generic standard reference lacks an exact governing clause
MISSING_STANDARD_BASIS:KBDL-CMP-028,KBDL-CMP-028,MISSING_STANDARD_BASIS,generic standard reference lacks an exact governing clause
MISSING_STANDARD_BASIS:KBDL-CMP-032,KBDL-CMP-032,MISSING_STANDARD_BASIS,generic standard reference lacks an exact governing clause
MISSING_STANDARD_BASIS:KBDL-CMP-045,KBDL-CMP-045,MISSING_STANDARD_BASIS,generic standard reference lacks an exact governing clause
MISSING_STANDARD_BASIS:KBDL-CMP-054,KBDL-CMP-054,MISSING_STANDARD_BASIS,generic standard reference lacks an exact governing clause
MISSING_STANDARD_BASIS:KBDL-CMP-056,KBDL-CMP-056,MISSING_STANDARD_BASIS,generic standard reference lacks an exact governing clause
MISSING_STANDARD_BASIS:KBDL-CMP-068,KBDL-CMP-068,MISSING_STANDARD_BASIS,generic standard reference lacks an exact governing clause
MISSING_STANDARD_BASIS:KBDL-CMP-075,KBDL-CMP-075,MISSING_STANDARD_BASIS,generic standard reference lacks an exact governing clause
MISSING_STANDARD_BASIS:KBDL-CMP-077,KBDL-CMP-077,MISSING_STANDARD_BASIS,generic standard reference lacks an exact governing clause
MISSING_STANDARD_BASIS:KBDL-CMP-081,KBDL-CMP-081,MISSING_STANDARD_BASIS,generic standard reference lacks an exact governing clause
MISSING_STANDARD_BASIS:KBDL-CMP-094,KBDL-CMP-094,MISSING_STANDARD_BASIS,generic standard reference lacks an exact governing clause
MISSING_STANDARD_BASIS:KBDL-CMP-095,KBDL-CMP-095,MISSING_STANDARD_BASIS,generic standard reference lacks an exact governing clause
MISSING_STANDARD_BASIS:KBDL-RSP-006,KBDL-RSP-006,MISSING_STANDARD_BASIS,generic standard reference lacks an exact governing clause
MISSING_STANDARD_BASIS:KBDL-RSP-013,KBDL-RSP-013,MISSING_STANDARD_BASIS,generic standard reference lacks an exact governing clause
MISSING_STANDARD_BASIS:KBDL-RSP-019,KBDL-RSP-019,MISSING_STANDARD_BASIS,generic standard reference lacks an exact governing clause
STANDARD_CLAUSE_MISMATCH:KBDL-A11Y-008,KBDL-A11Y-008,STANDARD_CLAUSE_MISMATCH,generic standard keyword without exact governing clause
STANDARD_CLAUSE_MISMATCH:KBDL-A11Y-010,KBDL-A11Y-010,STANDARD_CLAUSE_MISMATCH,generic standard keyword without exact governing clause
STANDARD_CLAUSE_MISMATCH:KBDL-A11Y-013,KBDL-A11Y-013,STANDARD_CLAUSE_MISMATCH,generic standard keyword without exact governing clause
STANDARD_CLAUSE_MISMATCH:KBDL-A11Y-014,KBDL-A11Y-014,STANDARD_CLAUSE_MISMATCH,generic standard keyword without exact governing clause
STANDARD_CLAUSE_MISMATCH:KBDL-CMP-018,KBDL-CMP-018,STANDARD_CLAUSE_MISMATCH,generic standard keyword without exact governing clause
STANDARD_CLAUSE_MISMATCH:KBDL-CMP-021,KBDL-CMP-021,STANDARD_CLAUSE_MISMATCH,generic standard keyword without exact governing clause
STANDARD_CLAUSE_MISMATCH:KBDL-CMP-028,KBDL-CMP-028,STANDARD_CLAUSE_MISMATCH,generic standard keyword without exact governing clause
STANDARD_CLAUSE_MISMATCH:KBDL-CMP-032,KBDL-CMP-032,STANDARD_CLAUSE_MISMATCH,generic standard keyword without exact governing clause
STANDARD_CLAUSE_MISMATCH:KBDL-CMP-045,KBDL-CMP-045,STANDARD_CLAUSE_MISMATCH,generic standard keyword without exact governing clause
STANDARD_CLAUSE_MISMATCH:KBDL-CMP-054,KBDL-CMP-054,STANDARD_CLAUSE_MISMATCH,generic standard keyword without exact governing clause
STANDARD_CLAUSE_MISMATCH:KBDL-CMP-056,KBDL-CMP-056,STANDARD_CLAUSE_MISMATCH,generic standard keyword without exact governing clause
STANDARD_CLAUSE_MISMATCH:KBDL-CMP-068,KBDL-CMP-068,STANDARD_CLAUSE_MISMATCH,generic standard keyword without exact governing clause
STANDARD_CLAUSE_MISMATCH:KBDL-CMP-075,KBDL-CMP-075,STANDARD_CLAUSE_MISMATCH,generic standard keyword without exact governing clause
STANDARD_CLAUSE_MISMATCH:KBDL-CMP-077,KBDL-CMP-077,STANDARD_CLAUSE_MISMATCH,generic standard keyword without exact governing clause
STANDARD_CLAUSE_MISMATCH:KBDL-CMP-081,KBDL-CMP-081,STANDARD_CLAUSE_MISMATCH,generic standard keyword without exact governing clause
STANDARD_CLAUSE_MISMATCH:KBDL-CMP-094,KBDL-CMP-094,STANDARD_CLAUSE_MISMATCH,generic standard keyword without exact governing clause
STANDARD_CLAUSE_MISMATCH:KBDL-CMP-095,KBDL-CMP-095,STANDARD_CLAUSE_MISMATCH,generic standard keyword without exact governing clause
STANDARD_CLAUSE_MISMATCH:KBDL-RSP-006,KBDL-RSP-006,STANDARD_CLAUSE_MISMATCH,generic standard keyword without exact governing clause
STANDARD_CLAUSE_MISMATCH:KBDL-RSP-013,KBDL-RSP-013,STANDARD_CLAUSE_MISMATCH,generic standard keyword without exact governing clause
STANDARD_CLAUSE_MISMATCH:KBDL-RSP-019,KBDL-RSP-019,STANDARD_CLAUSE_MISMATCH,generic standard keyword without exact governing clause
CIRCULAR_AUTHORITY:KBDL-MOT-007,KBDL-MOT-007,CIRCULAR_AUTHORITY,KBDL-MOT-007 -> KBDL-MOT-008 -> KBDL-MOT-007
LIMITATION_MISMATCH:KBDL-A11Y-001,KBDL-A11Y-001,LIMITATION_MISMATCH,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence"
LIMITATION_MISMATCH:KBDL-A11Y-002,KBDL-A11Y-002,LIMITATION_MISMATCH,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence"
LIMITATION_MISMATCH:KBDL-A11Y-003,KBDL-A11Y-003,LIMITATION_MISMATCH,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence"
LIMITATION_MISMATCH:KBDL-A11Y-004,KBDL-A11Y-004,LIMITATION_MISMATCH,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence"
LIMITATION_MISMATCH:KBDL-A11Y-005,KBDL-A11Y-005,LIMITATION_MISMATCH,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence"
LIMITATION_MISMATCH:KBDL-A11Y-006,KBDL-A11Y-006,LIMITATION_MISMATCH,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence"
LIMITATION_MISMATCH:KBDL-A11Y-010,KBDL-A11Y-010,LIMITATION_MISMATCH,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence"
LIMITATION_MISMATCH:KBDL-A11Y-011,KBDL-A11Y-011,LIMITATION_MISMATCH,Forced-colors/high-contrast mode is currently unaddressed elsewhere in the specification and was explicitly excluded from the KBDL-004 theme approval (KBDL-DEC-013); these three requirements must not be treated as Approved until reviewed
LIMITATION_MISMATCH:KBDL-A11Y-012,KBDL-A11Y-012,LIMITATION_MISMATCH,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence"
LIMITATION_MISMATCH:KBDL-A11Y-013,KBDL-A11Y-013,LIMITATION_MISMATCH,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence"
LIMITATION_MISMATCH:KBDL-A11Y-014,KBDL-A11Y-014,LIMITATION_MISMATCH,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence"
LIMITATION_MISMATCH:KBDL-A11Y-015,KBDL-A11Y-015,LIMITATION_MISMATCH,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence"
LIMITATION_MISMATCH:KBDL-A11Y-016,KBDL-A11Y-016,LIMITATION_MISMATCH,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence"
LIMITATION_MISMATCH:KBDL-A11Y-017,KBDL-A11Y-017,LIMITATION_MISMATCH,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence"
LIMITATION_MISMATCH:KBDL-A11Y-018,KBDL-A11Y-018,LIMITATION_MISMATCH,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence"
LIMITATION_MISMATCH:KBDL-A11Y-020,KBDL-A11Y-020,LIMITATION_MISMATCH,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence"
LIMITATION_MISMATCH:KBDL-A11Y-022,KBDL-A11Y-022,LIMITATION_MISMATCH,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence"
LIMITATION_MISMATCH:KBDL-A11Y-023,KBDL-A11Y-023,LIMITATION_MISMATCH,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence"
LIMITATION_MISMATCH:KBDL-A11Y-024,KBDL-A11Y-024,LIMITATION_MISMATCH,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence"
LIMITATION_MISMATCH:KBDL-A11Y-025,KBDL-A11Y-025,LIMITATION_MISMATCH,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence"
LIMITATION_MISMATCH:KBDL-A11Y-026,KBDL-A11Y-026,LIMITATION_MISMATCH,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence"
LIMITATION_MISMATCH:KBDL-A11Y-027,KBDL-A11Y-027,LIMITATION_MISMATCH,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence"
LIMITATION_MISMATCH:KBDL-A11Y-028,KBDL-A11Y-028,LIMITATION_MISMATCH,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence"
LIMITATION_MISMATCH:KBDL-A11Y-029,KBDL-A11Y-029,LIMITATION_MISMATCH,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence"
LIMITATION_MISMATCH:KBDL-A11Y-030,KBDL-A11Y-030,LIMITATION_MISMATCH,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence"
LIMITATION_MISMATCH:KBDL-A11Y-031,KBDL-A11Y-031,LIMITATION_MISMATCH,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence"
LIMITATION_MISMATCH:KBDL-A11Y-032,KBDL-A11Y-032,LIMITATION_MISMATCH,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence"
LIMITATION_MISMATCH:KBDL-A11Y-033,KBDL-A11Y-033,LIMITATION_MISMATCH,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence"
LIMITATION_MISMATCH:KBDL-A11Y-034,KBDL-A11Y-034,LIMITATION_MISMATCH,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence"
LIMITATION_MISMATCH:KBDL-A11Y-037,KBDL-A11Y-037,LIMITATION_MISMATCH,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence"
LIMITATION_MISMATCH:KBDL-A11Y-040,KBDL-A11Y-040,LIMITATION_MISMATCH,"This document does not claim full WCAG conformance, screen-reader compatibility, or real-device support — those require an implementation and recorded test evidence"
LIMITATION_MISMATCH:KBDL-CMP-001,KBDL-CMP-001,LIMITATION_MISMATCH,Implementation-dependent; cannot be tested until real components exist
LIMITATION_MISMATCH:KBDL-CMP-002,KBDL-CMP-002,LIMITATION_MISMATCH,Implementation-dependent; cannot be tested until real components exist
LIMITATION_MISMATCH:KBDL-CMP-003,KBDL-CMP-003,LIMITATION_MISMATCH,Implementation-dependent; cannot be tested until real components exist
LIMITATION_MISMATCH:KBDL-CMP-004,KBDL-CMP-004,LIMITATION_MISMATCH,Implementation-dependent; cannot be tested until real components exist
LIMITATION_MISMATCH:KBDL-CMP-006,KBDL-CMP-006,LIMITATION_MISMATCH,Implementation-dependent; cannot be tested until real components exist
LIMITATION_MISMATCH:KBDL-CMP-007,KBDL-CMP-007,LIMITATION_MISMATCH,Implementation-dependent; cannot be tested until real components exist
LIMITATION_MISMATCH:KBDL-CMP-008,KBDL-CMP-008,LIMITATION_MISMATCH,Implementation-dependent; cannot be tested until real components exist
LIMITATION_MISMATCH:KBDL-CMP-009,KBDL-CMP-009,LIMITATION_MISMATCH,Implementation-dependent; cannot be tested until real components exist
LIMITATION_MISMATCH:KBDL-CMP-010,KBDL-CMP-010,LIMITATION_MISMATCH,Implementation-dependent; cannot be tested until real components exist
LIMITATION_MISMATCH:KBDL-CMP-011,KBDL-CMP-011,LIMITATION_MISMATCH,Implementation-dependent; cannot be tested until real components exist
LIMITATION_MISMATCH:KBDL-CMP-012,KBDL-CMP-012,LIMITATION_MISMATCH,Implementation-dependent; cannot be tested until real components exist
LIMITATION_MISMATCH:KBDL-CMP-013,KBDL-CMP-013,LIMITATION_MISMATCH,Implementation-dependent; cannot be tested until real components exist
LIMITATION_MISMATCH:KBDL-CMP-014,KBDL-CMP-014,LIMITATION_MISMATCH,Implementation-dependent
LIMITATION_MISMATCH:KBDL-CMP-016,KBDL-CMP-016,LIMITATION_MISMATCH,Implementation-dependent
LIMITATION_MISMATCH:KBDL-CMP-018,KBDL-CMP-018,LIMITATION_MISMATCH,Implementation-dependent
LIMITATION_MISMATCH:KBDL-CMP-019,KBDL-CMP-019,LIMITATION_MISMATCH,Implementation-dependent
LIMITATION_MISMATCH:KBDL-CMP-021,KBDL-CMP-021,LIMITATION_MISMATCH,Implementation-dependent
LIMITATION_MISMATCH:KBDL-CMP-022,KBDL-CMP-022,LIMITATION_MISMATCH,Implementation-dependent
LIMITATION_MISMATCH:KBDL-CMP-023,KBDL-CMP-023,LIMITATION_MISMATCH,Implementation-dependent
LIMITATION_MISMATCH:KBDL-CMP-024,KBDL-CMP-024,LIMITATION_MISMATCH,Implementation-dependent
LIMITATION_MISMATCH:KBDL-CMP-026,KBDL-CMP-026,LIMITATION_MISMATCH,Implementation-dependent
LIMITATION_MISMATCH:KBDL-CMP-027,KBDL-CMP-027,LIMITATION_MISMATCH,Implementation-dependent
LIMITATION_MISMATCH:KBDL-CMP-028,KBDL-CMP-028,LIMITATION_MISMATCH,Implementation-dependent
LIMITATION_MISMATCH:KBDL-CMP-030,KBDL-CMP-030,LIMITATION_MISMATCH,Implementation-dependent
LIMITATION_MISMATCH:KBDL-CMP-031,KBDL-CMP-031,LIMITATION_MISMATCH,Implementation-dependent
LIMITATION_MISMATCH:KBDL-CMP-032,KBDL-CMP-032,LIMITATION_MISMATCH,Implementation-dependent
LIMITATION_MISMATCH:KBDL-CMP-033,KBDL-CMP-033,LIMITATION_MISMATCH,Implementation-dependent
LIMITATION_MISMATCH:KBDL-CMP-034,KBDL-CMP-034,LIMITATION_MISMATCH,Implementation-dependent
LIMITATION_MISMATCH:KBDL-CMP-035,KBDL-CMP-035,LIMITATION_MISMATCH,Implementation-dependent
LIMITATION_MISMATCH:KBDL-CMP-037,KBDL-CMP-037,LIMITATION_MISMATCH,Implementation-dependent
LIMITATION_MISMATCH:KBDL-CMP-038,KBDL-CMP-038,LIMITATION_MISMATCH,KBDL-CMP-041 additionally depends on the unapproved KBDL-RSP-002/008 and cannot be approved independently of them
LIMITATION_MISMATCH:KBDL-CMP-039,KBDL-CMP-039,LIMITATION_MISMATCH,KBDL-CMP-041 additionally depends on the unapproved KBDL-RSP-002/008 and cannot be approved independently of them
LIMITATION_MISMATCH:KBDL-CMP-040,KBDL-CMP-040,LIMITATION_MISMATCH,KBDL-CMP-041 additionally depends on the unapproved KBDL-RSP-002/008 and cannot be approved independently of them
LIMITATION_MISMATCH:KBDL-CMP-042,KBDL-CMP-042,LIMITATION_MISMATCH,KBDL-CMP-041 additionally depends on the unapproved KBDL-RSP-002/008 and cannot be approved independently of them
LIMITATION_MISMATCH:KBDL-CMP-043,KBDL-CMP-043,LIMITATION_MISMATCH,KBDL-CMP-041 additionally depends on the unapproved KBDL-RSP-002/008 and cannot be approved independently of them
LIMITATION_MISMATCH:KBDL-CMP-045,KBDL-CMP-045,LIMITATION_MISMATCH,KBDL-CMP-041 additionally depends on the unapproved KBDL-RSP-002/008 and cannot be approved independently of them
LIMITATION_MISMATCH:KBDL-CMP-047,KBDL-CMP-047,LIMITATION_MISMATCH,KBDL-CMP-041 additionally depends on the unapproved KBDL-RSP-002/008 and cannot be approved independently of them
LIMITATION_MISMATCH:KBDL-CMP-049,KBDL-CMP-049,LIMITATION_MISMATCH,KBDL-CMP-041 additionally depends on the unapproved KBDL-RSP-002/008 and cannot be approved independently of them
LIMITATION_MISMATCH:KBDL-CMP-051,KBDL-CMP-051,LIMITATION_MISMATCH,Implementation-dependent; cannot be tested until real components exist
LIMITATION_MISMATCH:KBDL-CMP-053,KBDL-CMP-053,LIMITATION_MISMATCH,Implementation-dependent
LIMITATION_MISMATCH:KBDL-CMP-054,KBDL-CMP-054,LIMITATION_MISMATCH,Implementation-dependent
LIMITATION_MISMATCH:KBDL-CMP-055,KBDL-CMP-055,LIMITATION_MISMATCH,Implementation-dependent
LIMITATION_MISMATCH:KBDL-CMP-057,KBDL-CMP-057,LIMITATION_MISMATCH,KBDL-CMP-083 additionally notes that navigation-drawer use remains bound by the unapproved KBDL-CMP-041 (KBDL-007) regardless of this item's own approval
LIMITATION_MISMATCH:KBDL-CMP-058,KBDL-CMP-058,LIMITATION_MISMATCH,KBDL-CMP-083 additionally notes that navigation-drawer use remains bound by the unapproved KBDL-CMP-041 (KBDL-007) regardless of this item's own approval
LIMITATION_MISMATCH:KBDL-CMP-059,KBDL-CMP-059,LIMITATION_MISMATCH,KBDL-CMP-083 additionally notes that navigation-drawer use remains bound by the unapproved KBDL-CMP-041 (KBDL-007) regardless of this item's own approval
LIMITATION_MISMATCH:KBDL-CMP-060,KBDL-CMP-060,LIMITATION_MISMATCH,KBDL-CMP-083 additionally notes that navigation-drawer use remains bound by the unapproved KBDL-CMP-041 (KBDL-007) regardless of this item's own approval
LIMITATION_MISMATCH:KBDL-CMP-061,KBDL-CMP-061,LIMITATION_MISMATCH,Implementation-dependent
LIMITATION_MISMATCH:KBDL-CMP-062,KBDL-CMP-062,LIMITATION_MISMATCH,Implementation-dependent
LIMITATION_MISMATCH:KBDL-CMP-063,KBDL-CMP-063,LIMITATION_MISMATCH,KBDL-CMP-105 additionally cites the unapproved KBDL-RSP-011 as related context; KBDL-CMP-111 additionally depends on the eventual KBDL-RSP-002 value for its exact trigger point
LIMITATION_MISMATCH:KBDL-CMP-064,KBDL-CMP-064,LIMITATION_MISMATCH,KBDL-CMP-105 additionally cites the unapproved KBDL-RSP-011 as related context; KBDL-CMP-111 additionally depends on the eventual KBDL-RSP-002 value for its exact trigger point
LIMITATION_MISMATCH:KBDL-CMP-065,KBDL-CMP-065,LIMITATION_MISMATCH,Implementation-dependent
LIMITATION_MISMATCH:KBDL-CMP-066,KBDL-CMP-066,LIMITATION_MISMATCH,KBDL-CMP-105 additionally cites the unapproved KBDL-RSP-011 as related context; KBDL-CMP-111 additionally depends on the eventual KBDL-RSP-002 value for its exact trigger point
LIMITATION_MISMATCH:KBDL-CMP-068,KBDL-CMP-068,LIMITATION_MISMATCH,Implementation-dependent
LIMITATION_MISMATCH:KBDL-CMP-070,KBDL-CMP-070,LIMITATION_MISMATCH,Implementation-dependent
LIMITATION_MISMATCH:KBDL-CMP-071,KBDL-CMP-071,LIMITATION_MISMATCH,KBDL-CMP-083 additionally notes that navigation-drawer use remains bound by the unapproved KBDL-CMP-041 (KBDL-007) regardless of this item's own approval
LIMITATION_MISMATCH:KBDL-CMP-072,KBDL-CMP-072,LIMITATION_MISMATCH,KBDL-CMP-083 additionally notes that navigation-drawer use remains bound by the unapproved KBDL-CMP-041 (KBDL-007) regardless of this item's own approval
LIMITATION_MISMATCH:KBDL-CMP-075,KBDL-CMP-075,LIMITATION_MISMATCH,KBDL-CMP-083 additionally notes that navigation-drawer use remains bound by the unapproved KBDL-CMP-041 (KBDL-007) regardless of this item's own approval
LIMITATION_MISMATCH:KBDL-CMP-077,KBDL-CMP-077,LIMITATION_MISMATCH,KBDL-CMP-083 additionally notes that navigation-drawer use remains bound by the unapproved KBDL-CMP-041 (KBDL-007) regardless of this item's own approval
LIMITATION_MISMATCH:KBDL-CMP-078,KBDL-CMP-078,LIMITATION_MISMATCH,KBDL-CMP-083 additionally notes that navigation-drawer use remains bound by the unapproved KBDL-CMP-041 (KBDL-007) regardless of this item's own approval
LIMITATION_MISMATCH:KBDL-CMP-079,KBDL-CMP-079,LIMITATION_MISMATCH,KBDL-CMP-083 additionally notes that navigation-drawer use remains bound by the unapproved KBDL-CMP-041 (KBDL-007) regardless of this item's own approval
LIMITATION_MISMATCH:KBDL-CMP-081,KBDL-CMP-081,LIMITATION_MISMATCH,KBDL-CMP-083 additionally notes that navigation-drawer use remains bound by the unapproved KBDL-CMP-041 (KBDL-007) regardless of this item's own approval
LIMITATION_MISMATCH:KBDL-CMP-084,KBDL-CMP-084,LIMITATION_MISMATCH,KBDL-CMP-083 additionally notes that navigation-drawer use remains bound by the unapproved KBDL-CMP-041 (KBDL-007) regardless of this item's own approval
LIMITATION_MISMATCH:KBDL-CMP-086,KBDL-CMP-086,LIMITATION_MISMATCH,Implementation-dependent
LIMITATION_MISMATCH:KBDL-CMP-087,KBDL-CMP-087,LIMITATION_MISMATCH,Implementation-dependent
LIMITATION_MISMATCH:KBDL-CMP-088,KBDL-CMP-088,LIMITATION_MISMATCH,Implementation-dependent
LIMITATION_MISMATCH:KBDL-CMP-090,KBDL-CMP-090,LIMITATION_MISMATCH,Implementation-dependent
LIMITATION_MISMATCH:KBDL-CMP-092,KBDL-CMP-092,LIMITATION_MISMATCH,Implementation-dependent
LIMITATION_MISMATCH:KBDL-CMP-093,KBDL-CMP-093,LIMITATION_MISMATCH,Implementation-dependent
LIMITATION_MISMATCH:KBDL-CMP-094,KBDL-CMP-094,LIMITATION_MISMATCH,Implementation-dependent
LIMITATION_MISMATCH:KBDL-CMP-095,KBDL-CMP-095,LIMITATION_MISMATCH,Implementation-dependent
LIMITATION_MISMATCH:KBDL-CMP-096,KBDL-CMP-096,LIMITATION_MISMATCH,Implementation-dependent
LIMITATION_MISMATCH:KBDL-CMP-097,KBDL-CMP-097,LIMITATION_MISMATCH,KBDL-CMP-105 additionally cites the unapproved KBDL-RSP-011 as related context; KBDL-CMP-111 additionally depends on the eventual KBDL-RSP-002 value for its exact trigger point
LIMITATION_MISMATCH:KBDL-CMP-098,KBDL-CMP-098,LIMITATION_MISMATCH,Implementation-dependent
LIMITATION_MISMATCH:KBDL-CMP-100,KBDL-CMP-100,LIMITATION_MISMATCH,KBDL-CMP-105 additionally cites the unapproved KBDL-RSP-011 as related context; KBDL-CMP-111 additionally depends on the eventual KBDL-RSP-002 value for its exact trigger point
LIMITATION_MISMATCH:KBDL-CMP-101,KBDL-CMP-101,LIMITATION_MISMATCH,KBDL-CMP-105 additionally cites the unapproved KBDL-RSP-011 as related context; KBDL-CMP-111 additionally depends on the eventual KBDL-RSP-002 value for its exact trigger point
LIMITATION_MISMATCH:KBDL-CMP-103,KBDL-CMP-103,LIMITATION_MISMATCH,KBDL-CMP-105 additionally cites the unapproved KBDL-RSP-011 as related context; KBDL-CMP-111 additionally depends on the eventual KBDL-RSP-002 value for its exact trigger point
LIMITATION_MISMATCH:KBDL-CMP-104,KBDL-CMP-104,LIMITATION_MISMATCH,KBDL-CMP-105 additionally cites the unapproved KBDL-RSP-011 as related context; KBDL-CMP-111 additionally depends on the eventual KBDL-RSP-002 value for its exact trigger point
LIMITATION_MISMATCH:KBDL-CMP-107,KBDL-CMP-107,LIMITATION_MISMATCH,KBDL-CMP-105 additionally cites the unapproved KBDL-RSP-011 as related context; KBDL-CMP-111 additionally depends on the eventual KBDL-RSP-002 value for its exact trigger point
LIMITATION_MISMATCH:KBDL-CMP-109,KBDL-CMP-109,LIMITATION_MISMATCH,KBDL-CMP-105 additionally cites the unapproved KBDL-RSP-011 as related context; KBDL-CMP-111 additionally depends on the eventual KBDL-RSP-002 value for its exact trigger point
LIMITATION_MISMATCH:KBDL-CUS-001,KBDL-CUS-001,LIMITATION_MISMATCH,No project customization exists to test
LIMITATION_MISMATCH:KBDL-CUS-002,KBDL-CUS-002,LIMITATION_MISMATCH,Project records are not available
LIMITATION_MISMATCH:KBDL-CUS-003,KBDL-CUS-003,LIMITATION_MISMATCH,Classification has not been applied to a real request
LIMITATION_MISMATCH:KBDL-CUS-004,KBDL-CUS-004,LIMITATION_MISMATCH,Implementation choices are project-specific
LIMITATION_MISMATCH:KBDL-CUS-005,KBDL-CUS-005,LIMITATION_MISMATCH,Actual assets require project review
