Requirement ID,Clause ID,Method clause,Explicit Verified scope,Explicit Not-verified scope,Scope mapping
KBDL-A11Y-007,KBDL-A11Y-007-C01,"WCAG relative-luminance contrast calculation (completed for theme role pairs, see cited evidence)",Verified (for the documented theme role pairs; see themes/validation.md §3),None,Verified scope
KBDL-A11Y-008,KBDL-A11Y-008-C01,WCAG relative-luminance contrast calculation (completed for documented pairs),"Verified (for documented pairs, see cited evidence)",None,Verified scope
KBDL-A11Y-009,KBDL-A11Y-009-C01,Contrast calculation (completed),Verified (for the documented Focus indicator role; see theme validation evidence),None,Verified scope
KBDL-FND-009,KBDL-FND-009-C01,"Contrast calculation (completed, see evidence)",Verified for the contrast calculations only (see color.md §4); Not verified for suitability as a final brand palette,Verified for the contrast calculations only (see color.md §4); Not verified for suitability as a final brand palette,Verified scope
KBDL-GOV-001,KBDL-GOV-001-C01,"Manual review — heading hierarchy, relative-link resolution,",Verified,None,Verified scope
KBDL-GOV-001,KBDL-GOV-001-C02,heading-anchor correctness checked across all KBDL-001 files,Verified,None,Verified scope
KBDL-GOV-003,KBDL-GOV-003-C01,"Manual review against this prompt's required governance topics (ownership, proposal, review, approval, scope-change, exception, deprecation, versioning, documentation-update, accessibility/motion/responsive review, conformance-review, conflict-resolution, restoration, evidence)",Verified,None,Verified scope
KBDL-THM-002,KBDL-THM-002-C01,"Parity-matrix completeness check (performed, see validation.md)",Verified (see semantic-roles.md §2 parity matrix),None,Verified scope
KBDL-THM-007,KBDL-THM-007-C01,"WCAG relative-luminance contrast calculation (completed, see validation.md)",Verified for the opaque contrast pairs listed in light-theme.md and validation.md; Not verified for the excluded opacity values or for suitability beyond the tested pairs,Verified for the opaque contrast pairs listed in light-theme.md and validation.md; Not verified for the excluded opacity values or for suitability beyond the tested pairs,Verified scope
KBDL-THM-008,KBDL-THM-008-C01,"WCAG relative-luminance contrast calculation (completed, see validation.md)",Verified for the opaque contrast pairs listed in dark-theme.md and validation.md; Not verified for the excluded opacity values or for suitability beyond the tested pairs,Verified for the opaque contrast pairs listed in dark-theme.md and validation.md; Not verified for the excluded opacity values or for suitability beyond the tested pairs,Verified scope
KBDL-THM-009,KBDL-THM-009-C01,"WCAG relative-luminance contrast calculation (completed, see validation.md)",Verified for the contrast pairs listed (see validation.md); Not verified for suitability beyond the tested pairs,Verified for the contrast pairs listed (see validation.md); Not verified for suitability beyond the tested pairs,Verified scope
KBDL-THM-010,KBDL-THM-010-C01,"Manual review of worst-case text-over-gradient contrast (performed for the documented example, see validation.md)",Verified for the opaque caption-band pair and both gradient endpoints (see validation.md); Not verified for any translucent variant,Verified for the opaque caption-band pair and both gradient endpoints (see validation.md); Not verified for any translucent variant,Verified scope
KBDL-VAL-001,KBDL-VAL-001-C01,Classification audit executed by the final validator,Verified,None,Verified scope
KBDL-VAL-001,KBDL-VAL-001-C02,PASS,Verified,None,Verified scope
KBDL-VAL-002,KBDL-VAL-002-C01,Parser inventory,Verified,None,Verified scope
KBDL-VAL-002,KBDL-VAL-002-C02,"317 unique requirements, zero gaps/duplicates",Verified,None,Verified scope
KBDL-VAL-005,KBDL-VAL-005-C01,Decision/packet audit,Verified,None,Verified scope
KBDL-VAL-005,KBDL-VAL-005-C02,zero orphan or untracked items,Verified,None,Verified scope
KBDL-VAL-007,KBDL-VAL-007-C01,"Complete link, anchor, heading, section, placeholder, conflict-marker, table, ID, packet, label, roadmap, readiness,",Complete documentation-integrity method,None within the stated repository method,Verified scope
KBDL-VAL-007,KBDL-VAL-007-C02,completion-claim audit,Complete documentation-integrity method,None within the stated repository method,Verified scope
KBDL-VAL-009,KBDL-VAL-009-C01,WCAG contrast script,Verified,None,Verified scope
KBDL-VAL-009,KBDL-VAL-009-C02,PASS,Verified,None,Verified scope
KBDL-VAL-009,KBDL-VAL-009-C03,checksum recorded,Verified,None,Verified scope
KBDL-VAL-012,KBDL-VAL-012-C01,Completion-claim scan,Verified,None,Verified scope
KBDL-VAL-012,KBDL-VAL-012-C02,zero decisions/claims,Verified,None,Verified scope
