Requirement ID,Clause ID,Method clause,Explicit Verified scope,Explicit Not-verified scope,Scope mapping,Verified claim,Required method,Evidence source,Evidence type,Exact execution command or review record,Inputs,Actual result,Pass condition,Coverage analysis,Independence analysis,Remaining Not-verified scope,Result
KBDL-A11Y-007,KBDL-A11Y-007-C01,"WCAG relative-luminance contrast calculation (completed for theme role pairs, see cited evidence)",Verified (for the documented theme role pairs; see themes/validation.md §3),None,Verified scope,Verified (for the documented theme role pairs; see themes/validation.md §3),"WCAG relative-luminance contrast calculation (completed for theme role pairs, see cited evidence)",evidence/kbdl-011-r12/artifacts/contrast-execution.txt,calculation,evidence/kbdl-011-r12/artifacts/contrast-execution.txt,Recorded normative values/files,PASS,Evidence type and scope semantically cover this clause,Clause-specific,Not self-referential,None,PASS
KBDL-A11Y-008,KBDL-A11Y-008-C01,WCAG relative-luminance contrast calculation (completed for documented pairs),"Verified (for documented pairs, see cited evidence)",None,Verified scope,"Verified (for documented pairs, see cited evidence)",WCAG relative-luminance contrast calculation (completed for documented pairs),evidence/kbdl-011-r12/artifacts/contrast-execution.txt,calculation,evidence/kbdl-011-r12/artifacts/contrast-execution.txt,Recorded normative values/files,PASS,Evidence type and scope semantically cover this clause,Clause-specific,Not self-referential,None,PASS
KBDL-A11Y-009,KBDL-A11Y-009-C01,Contrast calculation (completed),Verified (for the documented Focus indicator role; see theme validation evidence),None,Verified scope,Verified (for the documented Focus indicator role; see theme validation evidence),Contrast calculation (completed),evidence/kbdl-011-r12/artifacts/contrast-execution.txt,calculation,evidence/kbdl-011-r12/artifacts/contrast-execution.txt,Recorded normative values/files,PASS,Evidence type and scope semantically cover this clause,Clause-specific,Not self-referential,None,PASS
KBDL-FND-009,KBDL-FND-009-C01,"Contrast calculation (completed, see evidence)",Verified for the contrast calculations only (see color.md §4); Not verified for suitability as a final brand palette,Verified for the contrast calculations only (see color.md §4); Not verified for suitability as a final brand palette,Verified scope,Verified for the contrast calculations only (see color.md §4); Not verified for suitability as a final brand palette,"Contrast calculation (completed, see evidence)",evidence/kbdl-011-r12/artifacts/contrast-execution.txt,calculation,evidence/kbdl-011-r12/artifacts/contrast-execution.txt,Recorded normative values/files,PASS,Evidence type and scope semantically cover this clause,Clause-specific,Not self-referential,Verified for the contrast calculations only (see color.md §4); Not verified for suitability as a final brand palette,PASS
KBDL-GOV-001,KBDL-GOV-001-C01,"Manual review — heading hierarchy, relative-link resolution,",Verified,None,Verified scope,Verified,"Manual review — heading hierarchy, relative-link resolution,",evidence/kbdl-011-r12/artifacts/manual-review-governance.md,documentation review,evidence/kbdl-011-r12/artifacts/manual-review-governance.md,Recorded normative values/files,PASS,Evidence type and scope semantically cover this clause,Clause-specific,Not self-referential,None,PASS
KBDL-GOV-001,KBDL-GOV-001-C02,heading-anchor correctness checked across all KBDL-001 files,Verified,None,Verified scope,Verified,heading-anchor correctness checked across all KBDL-001 files,evidence/kbdl-011-r12/artifacts/manual-review-governance.md,documentation review,evidence/kbdl-011-r12/artifacts/manual-review-governance.md,Recorded normative values/files,PASS,Evidence type and scope semantically cover this clause,Clause-specific,Not self-referential,None,PASS
KBDL-GOV-003,KBDL-GOV-003-C01,"Manual review against this prompt's required governance topics (ownership, proposal, review, approval, scope-change, exception, deprecation, versioning, documentation-update, accessibility/motion/responsive review, conformance-review, conflict-resolution, restoration, evidence)",Verified,None,Verified scope,Verified,"Manual review against this prompt's required governance topics (ownership, proposal, review, approval, scope-change, exception, deprecation, versioning, documentation-update, accessibility/motion/responsive review, conformance-review, conflict-resolution, restoration, evidence)",evidence/kbdl-011-r12/artifacts/manual-review-governance.md,documentation review,evidence/kbdl-011-r12/artifacts/manual-review-governance.md,Recorded normative values/files,PASS,Evidence type and scope semantically cover this clause,Clause-specific,Not self-referential,None,PASS
KBDL-THM-002,KBDL-THM-002-C01,"Parity-matrix completeness check (performed, see validation.md)",Verified (see semantic-roles.md §2 parity matrix),None,Verified scope,Verified (see semantic-roles.md §2 parity matrix),"Parity-matrix completeness check (performed, see validation.md)",UNRESOLVED,prior validator method inspection,UNRESOLVED,Recorded normative values/files,UNRESOLVED,Evidence type and scope semantically cover this clause,No independently inspected underlying method,Unresolved,None,UNRESOLVED
KBDL-THM-007,KBDL-THM-007-C01,"WCAG relative-luminance contrast calculation (completed, see validation.md)",Verified for the opaque contrast pairs listed in light-theme.md and validation.md; Not verified for the excluded opacity values or for suitability beyond the tested pairs,Verified for the opaque contrast pairs listed in light-theme.md and validation.md; Not verified for the excluded opacity values or for suitability beyond the tested pairs,Verified scope,Verified for the opaque contrast pairs listed in light-theme.md and validation.md; Not verified for the excluded opacity values or for suitability beyond the tested pairs,"WCAG relative-luminance contrast calculation (completed, see validation.md)",evidence/kbdl-011-r12/artifacts/contrast-execution.txt,calculation,evidence/kbdl-011-r12/artifacts/contrast-execution.txt,Recorded normative values/files,PASS,Evidence type and scope semantically cover this clause,Clause-specific,Not self-referential,Verified for the opaque contrast pairs listed in light-theme.md and validation.md; Not verified for the excluded opacity values or for suitability beyond the tested pairs,PASS
KBDL-THM-008,KBDL-THM-008-C01,"WCAG relative-luminance contrast calculation (completed, see validation.md)",Verified for the opaque contrast pairs listed in dark-theme.md and validation.md; Not verified for the excluded opacity values or for suitability beyond the tested pairs,Verified for the opaque contrast pairs listed in dark-theme.md and validation.md; Not verified for the excluded opacity values or for suitability beyond the tested pairs,Verified scope,Verified for the opaque contrast pairs listed in dark-theme.md and validation.md; Not verified for the excluded opacity values or for suitability beyond the tested pairs,"WCAG relative-luminance contrast calculation (completed, see validation.md)",evidence/kbdl-011-r12/artifacts/contrast-execution.txt,calculation,evidence/kbdl-011-r12/artifacts/contrast-execution.txt,Recorded normative values/files,PASS,Evidence type and scope semantically cover this clause,Clause-specific,Not self-referential,Verified for the opaque contrast pairs listed in dark-theme.md and validation.md; Not verified for the excluded opacity values or for suitability beyond the tested pairs,PASS
