Requirement ID,Authoritative file,Block SHA-256,Direct fields parsed,Direct fields unresolved,Result,Defect details
KBDL-A11Y-001,accessibility.md,259153afa1f005f9b1e387a0d8d8452e820383eb24ca22be36211be0c4f973a3,Specification location; Lifecycle status; Provenance; Validation classification; Validation method,Blueprint section; Roadmap prompt; Verified scope; Not-verified scope; Authority; Validation evidence; Known limitation; Packet or tracking destination; Pending dependencies; Related decision; Notes or exclusions,PASS,None
KBDL-A11Y-002,accessibility.md,1a7c09b7232a4e1a8fc7cc444e7906a8bf6bc33c3d0d0dff18162755489cdbb7,Specification location; Lifecycle status; Provenance; Validation classification; Validation method,Blueprint section; Roadmap prompt; Verified scope; Not-verified scope; Authority; Validation evidence; Known limitation; Packet or tracking destination; Pending dependencies; Related decision; Notes or exclusions,PASS,None
KBDL-A11Y-003,accessibility.md,164716c252b4c9e04fb42664a222260568ed88319e0254faa88c1a4b88baaaae,Specification location; Lifecycle status; Provenance; Validation classification; Validation method,Blueprint section; Roadmap prompt; Verified scope; Not-verified scope; Authority; Validation evidence; Known limitation; Packet or tracking destination; Pending dependencies; Related decision; Notes or exclusions,PASS,None
KBDL-A11Y-004,accessibility.md,57dc6a52aa9b6b650901387b58aaa4664447f32f7052ad946970c8a5fa40aad8,Specification location; Lifecycle status; Provenance; Validation classification; Validation method,Blueprint section; Roadmap prompt; Verified scope; Not-verified scope; Authority; Validation evidence; Known limitation; Packet or tracking destination; Pending dependencies; Related decision; Notes or exclusions,PASS,None
KBDL-A11Y-005,accessibility.md,8b35f99327a5c341b3bace6bf082fa2caef37a635c2e66ba9cfe584ede81c740,Specification location; Lifecycle status; Provenance; Validation classification; Validation method,Blueprint section; Roadmap prompt; Verified scope; Not-verified scope; Authority; Validation evidence; Known limitation; Packet or tracking destination; Pending dependencies; Related decision; Notes or exclusions,PASS,None
KBDL-A11Y-006,accessibility.md,f5c1c4dae2835ad3a6cfa46c824f28d48e92a1ae0a0cc8a2369d0eaa445ededb,Specification location; Lifecycle status; Provenance; Validation classification; Validation method,Blueprint section; Roadmap prompt; Verified scope; Not-verified scope; Authority; Validation evidence; Known limitation; Packet or tracking destination; Pending dependencies; Related decision; Notes or exclusions,PASS,None
KBDL-A11Y-007,accessibility.md,6086bcc26f899e4a8bebe310fda3ddeed0a4f3a621bba31457e6f5a89f719d13,Specification location; Lifecycle status; Provenance; Validation classification; Validation method,Blueprint section; Roadmap prompt; Verified scope; Not-verified scope; Authority; Validation evidence; Known limitation; Packet or tracking destination; Pending dependencies; Related decision; Notes or exclusions,PASS,None
KBDL-A11Y-008,accessibility.md,94fecd4aa1381aec24fb537514b800a1511bbbbcec090f34100d1c1721fe8b78,Specification location; Lifecycle status; Provenance; Validation classification; Validation method,Blueprint section; Roadmap prompt; Verified scope; Not-verified scope; Authority; Validation evidence; Known limitation; Packet or tracking destination; Pending dependencies; Related decision; Notes or exclusions,PASS,None
KBDL-A11Y-009,accessibility.md,3020345f4cb9e06d80ef6eb5145e3af985d527e1231e147a641d918121b535b4,Specification location; Lifecycle status; Provenance; Validation classification; Validation method,Blueprint section; Roadmap prompt; Verified scope; Not-verified scope; Authority; Validation evidence; Known limitation; Packet or tracking destination; Pending dependencies; Related decision; Notes or exclusions,PASS,None
KBDL-A11Y-010,accessibility.md,2005acc0a4b5979eb8188bec141ee08aca320ba2f8d135e9d1e8b9db4a6a759e,Specification location; Lifecycle status; Provenance; Validation classification; Validation method,Blueprint section; Roadmap prompt; Verified scope; Not-verified scope; Authority; Validation evidence; Known limitation; Packet or tracking destination; Pending dependencies; Related decision; Notes or exclusions,PASS,None
KBDL-A11Y-011,accessibility.md,22adf7ba4ca8b9c145249952c149dd8f72a5c5ad81423383a91f01614b973504,Specification location; Lifecycle status; Provenance; Validation classification; Validation method,Blueprint section; Roadmap prompt; Verified scope; Not-verified scope; Authority; Validation evidence; Known limitation; Packet or tracking destination; Pending dependencies; Related decision; Notes or exclusions,PASS,None
