Requirement ID,Lifecycle/readiness class,Ledger packet destination,Resolved source,Contingent,Deferred,Result
KBDL-A11Y-001,Approved,None — Approved,Explicit None permitted only for Approved,False,False,PASS
KBDL-A11Y-002,Approved,None — Approved,Explicit None permitted only for Approved,False,False,PASS
KBDL-A11Y-003,Approved,None — Approved,Explicit None permitted only for Approved,False,False,PASS
KBDL-A11Y-004,Approved,None — Approved,Explicit None permitted only for Approved,False,False,PASS
KBDL-A11Y-005,Approved,None — Approved,Explicit None permitted only for Approved,False,False,PASS
KBDL-A11Y-006,Approved,None — Approved,Explicit None permitted only for Approved,False,False,PASS
KBDL-A11Y-007,Approved,None — Approved,Explicit None permitted only for Approved,False,False,PASS
KBDL-A11Y-008,Approved,None — Approved,Explicit None permitted only for Approved,False,False,PASS
KBDL-A11Y-009,Approved,None — Approved,Explicit None permitted only for Approved,False,False,PASS
KBDL-A11Y-010,Approved,None — Approved,Explicit None permitted only for Approved,False,False,PASS
KBDL-A11Y-011,Recommended,accessibility.md — 49.2 Recommended Decisions — Ready for Approval — item 2,profiles.md; traceability-matrix.md; components-core.md; components-system.md,False,False,PASS
KBDL-A11Y-012,Approved,None — Approved,Explicit None permitted only for Approved,False,False,PASS
KBDL-A11Y-013,Approved,None — Approved,Explicit None permitted only for Approved,False,False,PASS
KBDL-A11Y-014,Approved,None — Approved,Explicit None permitted only for Approved,False,False,PASS
KBDL-A11Y-015,Approved,None — Approved,Explicit None permitted only for Approved,False,False,PASS
KBDL-A11Y-016,Approved,None — Approved,Explicit None permitted only for Approved,False,False,PASS
KBDL-A11Y-017,Approved,None — Approved,Explicit None permitted only for Approved,False,False,PASS
KBDL-A11Y-018,Approved,None — Approved,Explicit None permitted only for Approved,False,False,PASS
KBDL-A11Y-019,Approved,None — Approved,Explicit None permitted only for Approved,False,False,PASS
KBDL-A11Y-020,Approved,None — Approved,Explicit None permitted only for Approved,False,False,PASS
KBDL-A11Y-021,Recommended,accessibility.md — 49.2 Recommended Decisions — Ready for Approval — item 1,profiles.md; traceability-matrix.md; responsive.md; components-core.md; components-system.md,False,False,PASS
KBDL-A11Y-022,Approved,None — Approved,Explicit None permitted only for Approved,False,False,PASS
KBDL-A11Y-023,Approved,None — Approved,Explicit None permitted only for Approved,False,False,PASS
KBDL-A11Y-024,Approved,None — Approved,Explicit None permitted only for Approved,False,False,PASS
KBDL-A11Y-025,Approved,None — Approved,Explicit None permitted only for Approved,False,False,PASS
KBDL-A11Y-026,Approved,None — Approved,Explicit None permitted only for Approved,False,False,PASS
KBDL-A11Y-027,Approved,None — Approved,Explicit None permitted only for Approved,False,False,PASS
KBDL-A11Y-028,Approved,None — Approved,Explicit None permitted only for Approved,False,False,PASS
KBDL-A11Y-029,Approved,None — Approved,Explicit None permitted only for Approved,False,False,PASS
KBDL-A11Y-030,Approved,None — Approved,Explicit None permitted only for Approved,False,False,PASS
KBDL-A11Y-031,Approved,None — Approved,Explicit None permitted only for Approved,False,False,PASS
KBDL-A11Y-032,Approved,None — Approved,Explicit None permitted only for Approved,False,False,PASS
KBDL-A11Y-033,Approved,None — Approved,Explicit None permitted only for Approved,False,False,PASS
KBDL-A11Y-034,Approved,None — Approved,Explicit None permitted only for Approved,False,False,PASS
KBDL-A11Y-035,Recommended,accessibility.md — 49.2 Recommended Decisions — Ready for Approval — item 3,profiles.md; traceability-matrix.md; components-core.md; components-system.md,False,False,PASS
KBDL-A11Y-036,Approved,None — Approved,Explicit None permitted only for Approved,False,False,PASS
KBDL-A11Y-037,Approved,None — Approved,Explicit None permitted only for Approved,False,False,PASS
KBDL-A11Y-038,Approved,None — Approved,Explicit None permitted only for Approved,False,False,PASS
KBDL-A11Y-039,Approved,None — Approved,Explicit None permitted only for Approved,False,False,PASS
KBDL-A11Y-040,Approved,None — Approved,Explicit None permitted only for Approved,False,False,PASS
KBDL-CMP-001,Approved,None — Approved,Explicit None permitted only for Approved,False,False,PASS
KBDL-CMP-002,Approved,None — Approved,Explicit None permitted only for Approved,False,False,PASS
KBDL-CMP-003,Approved,None — Approved,Explicit None permitted only for Approved,False,False,PASS
KBDL-CMP-004,Approved,None — Approved,Explicit None permitted only for Approved,False,False,PASS
KBDL-CMP-005,Approved,None — Approved,Explicit None permitted only for Approved,False,False,PASS
KBDL-CMP-006,Approved,None — Approved,Explicit None permitted only for Approved,False,False,PASS
KBDL-CMP-007,Approved,None — Approved,Explicit None permitted only for Approved,False,False,PASS
KBDL-CMP-008,Approved,None — Approved,Explicit None permitted only for Approved,False,False,PASS
KBDL-CMP-009,Approved,None — Approved,Explicit None permitted only for Approved,False,False,PASS
KBDL-CMP-010,Approved,None — Approved,Explicit None permitted only for Approved,False,False,PASS
KBDL-CMP-011,Approved,None — Approved,Explicit None permitted only for Approved,False,False,PASS
KBDL-CMP-012,Approved,None — Approved,Explicit None permitted only for Approved,False,False,PASS
