Metric,Value,Computation basis
R16 raw findings (defects.csv rows),693,"wc -l docs/kbdl/evidence/kbdl-011-r16/artifacts/defects.csv minus header"
defects.csv category: UNRESOLVED_FIELD_SOURCE,335,"count of rows where Category=UNRESOLVED_FIELD_SOURCE"
defects.csv category: LIMITATION_MISMATCH,229,"count of rows where Category=LIMITATION_MISMATCH (same 229 requirements as the Known-limitation field rows within UNRESOLVED_FIELD_SOURCE; documented shared/overlapping finding, not a new canonical issue)"
defects.csv category: LOCATION_MISMATCH,63,"count of rows where Category=LOCATION_MISMATCH; independent of unresolved-field-sources.csv (location is not one of its five tracked fields); new canonical issues"
defects.csv category: EVIDENCE_SCOPE_RELATIONSHIP,11,"count of rows where Category=EVIDENCE_SCOPE_RELATIONSHIP; subset of the 14 Validation-evidence field rows within UNRESOLVED_FIELD_SOURCE; documented shared/overlapping finding, not a new canonical issue"
defects.csv category: MISSING_STANDARD_BASIS,20,"count of rows where Category=MISSING_STANDARD_BASIS; independent of unresolved-field-sources.csv; new canonical issues"
defects.csv category: STANDARD_CLAUSE_MISMATCH,20,"count of rows where Category=STANDARD_CLAUSE_MISMATCH; identical requirement set to MISSING_STANDARD_BASIS; documented shared/overlapping finding, not a new canonical issue"
defects.csv category: EVIDENCE_MISMATCH,14,"count of rows where Category=EVIDENCE_MISMATCH; identical requirement set to the Validation-evidence field rows within UNRESOLVED_FIELD_SOURCE; documented shared/overlapping finding, not a new canonical issue"
defects.csv category: CIRCULAR_AUTHORITY,1,"count of rows where Category=CIRCULAR_AUTHORITY; maps to the single MOT authority-cycle canonical issue"
Sum of defects.csv categories,693,"335+229+63+11+20+20+14+1 = 693, reconciles exactly with the raw row count"
unresolved-field-sources.csv rows (=UNRESOLVED_FIELD_SOURCE),335,"wc -l docs/kbdl/evidence/kbdl-011-r16/artifacts/unresolved-field-sources.csv minus header"
  of which Field=Validation classification,59,"count grouped by Field column"
  of which Field=Authority,21,"count grouped by Field column"
  of which Field=Validation evidence,14,"count grouped by Field column"
  of which Field=Validation method,12,"count grouped by Field column"
  of which Field=Known limitation,229,"count grouped by Field column"
exact-location-audit.csv rows with Result != PASS,63,"count grouped by Result column"
standard-clause-audit.csv / MISSING_STANDARD_BASIS distinct requirements,20,"distinct Requirement ID values in the MISSING_STANDARD_BASIS defect rows"
authority-cycle-audit.csv rows (edges),2,"wc -l docs/kbdl/evidence/kbdl-011-r16/artifacts/authority-cycle-audit.csv minus header"
Canonical non-relationship issues (field/location/standard),418,"335 (unresolved-field-sources) + 63 (exact-location) + 20 (standard-clause) = 418; verified as one row per distinct (Requirement ID, Field) pair in issue-register.csv"
MOT authority-edge issues,2,"one per directed edge in authority-cycle-audit.csv (KBDL-MOT-007 -> KBDL-MOT-008; KBDL-MOT-008 -> KBDL-MOT-007)"
MOT authority-cycle issue,1,"one cycle-level canonical issue, distinct from the two edge issues, per SMR1 section 10"
Canonical resolution issues (total),421,"418 + 2 + 1 = 421; equals the row count of issue-register.csv (verified: wc -l issue-register.csv minus header = 421)"
Distinct affected requirements (union of all 7 category buckets plus MOT cycle requirements),289,"set union of Requirement ID across unresolved-field-sources.csv, exact-location-audit.csv (Result!=PASS), MISSING_STANDARD_BASIS defect requirements, and {KBDL-MOT-007, KBDL-MOT-008}; matches the R16-reported Failed effective records count of 289 exactly"
Distinct requirement-field count (non-MOT canonical issues),418,"same figure as Canonical non-relationship issues above; each row is one distinct requirement + one distinct field/location/standard-clause relationship"
Distinct owner-decision count,421,"one owner-decision field required per canonical issue row in issue-register.csv (all currently literally PENDING)"
Overlap count (raw defects.csv rows that duplicate an already-counted canonical issue),274,"693 raw rows - 419 raw rows that establish a canonical issue for the first time (335 UNRESOLVED_FIELD_SOURCE + 63 LOCATION_MISMATCH + 20 MISSING_STANDARD_BASIS + 1 CIRCULAR_AUTHORITY = 419) = 274; the 274 are: 229 LIMITATION_MISMATCH + 11 EVIDENCE_SCOPE_RELATIONSHIP + 20 STANDARD_CLAUSE_MISMATCH + 14 EVIDENCE_MISMATCH = 274"
Cross-category dependency count (requirements appearing in more than one of the 7 field/location/standard/cycle buckets),91,"count of distinct Requirement ID values whose bucket-membership set (validation_classification / authority / validation_evidence / validation_method / known_limitation / exact_location / standard_clause / mot_cycle) has size > 1"
Unmapped findings,0,"every one of the 693 defects.csv rows maps to exactly one of the 421 canonical issues or is documented as sharing an already-counted canonical issue; verified programmatically by scripts/reconciliation_compute.py"
Duplicate canonical issues,0,"all 421 Resolution issue IDs in issue-register.csv are unique; verified programmatically"
Preselected owner decisions,0,"every Owner decision / Owner decision date / Owner evidence cell in issue-register.csv is literally the string PENDING; verified programmatically as of the original KBDL-011-SMR1 packet-preparation commit 662ee28"
Total durably recorded owner decisions,4,"3 Batch H + 1 Batch A = 4; each backed by a durable owner-decision record (*-owner-decision-record.md) and verified programmatically by scripts/decision_state.py"
Batch H recorded decisions,3,"SMR1-MOTEDGE-0001, SMR1-MOTEDGE-0002, SMR1-MOTCYCLE-0001; each backed by batch-h-owner-decision-record.md; historical count fixed at 3 as of KBDL-011-SMR1-BH-R1, unchanged by later batches"
Batch A recorded decisions,1,"SMR1-VC-0001; backed by batch-a-smr1-vc-0001-owner-decision-record.md; recorded by KBDL-011-SMR1-BA-OD1-DR1"
Other owner decisions remaining PENDING,417,"421 canonical issues - 4 durably recorded decisions (3 Batch H + 1 Batch A) = 417; verified programmatically"
